t,ap,cp,v
1738580399,91.36,90.65,18251
1738580453,91.36,90.65,18251
1738580516,91.36,90.65,18251
1738580579,91.36,90.65,18251
1738580638,91.33,91.09,20051
1738580697,91.33,90.94,20061
1738580754,91.33,90.94,20066
1738580817,91.33,90.94,20066
1738580877,91.33,90.94,20081
1738580934,91.33,90.94,20081
1738580997,91.33,90.94,20081
1738581059,91.33,90.94,20081
1738581111,91.33,90.94,20081
1738581179,91.33,90.94,20081
1738581237,91.33,91.18,20086
1738581295,91.32,91.01,20136
1738581358,91.32,91.18,20146
1738581417,91.32,91.18,20146
1738581475,91.32,91.18,20281
1738581536,91.32,91.18,20281
1738581597,91.32,91.18,20281
1738581655,91.32,91.18,20281
1738581719,91.32,91.18,20281
1738581779,91.32,91.18,20281
1738581839,91.32,91.21,20744
1738581897,91.32,91.21,20744
1738581959,91.32,91.21,20744
1738582003,91.32,91.21,20744
1738582079,91.32,91.21,20744
1738582139,91.32,91.21,20744
1738582195,91.32,91.11,20892
1738582259,91.32,91.02,20894
1738582317,91.32,90.99,20996
1738582377,91.31,90.95,21353
1738582434,91.31,90.95,21353
1738582499,91.31,90.95,21353
1738582557,91.31,90.95,21353
1738582615,91.31,90.95,21353
1738582679,91.31,90.95,21353
1738582736,91.31,90.95,21353
1738582793,91.31,90.95,21353
1738582858,91.31,90.95,21353
1738582915,91.30,90.65,21705
1738582979,91.30,90.65,21717
1738583028,91.30,90.65,21717
1738583089,91.30,90.65,21747
1738583154,91.30,90.65,21747
1738583218,91.30,90.65,21747
1738583279,91.30,90.65,21747
1738583338,91.30,90.65,21747
1738583398,91.30,90.86,21750
1738583457,91.30,90.79,21791
1738583512,91.30,90.79,21791
1738583579,91.30,90.79,21791
1738583639,91.30,90.79,21791
1738583699,91.30,90.79,21791
1738583758,91.30,90.79,21793
1738583803,91.29,90.79,21893
1738583868,91.29,90.79,21893
1738583935,91.29,90.79,21893
1738583993,91.29,90.79,21893
1738584058,91.29,90.61,21894
1738584116,91.29,90.61,21894
1738584179,91.29,90.61,21894
1738584238,91.29,90.61,21894
1738584288,91.29,90.61,21894
1738584354,91.29,90.61,21894
1738584407,91.29,90.78,21895
1738584478,91.29,90.60,21909
1738584537,91.29,90.60,21909
1738584593,91.29,90.60,21909
1738584658,91.29,90.60,21909
1738584715,91.29,90.63,21949
1738584778,91.29,90.63,21949
1738584834,91.29,90.63,21949
1738584891,91.29,90.63,21959
1738584957,91.29,90.63,21959
1738585014,91.27,90.52,22459
1738585072,91.27,90.52,22459
1738585136,91.27,90.62,22482
1738585194,91.27,90.62,22482
1738585257,91.27,90.62,22482
1738585318,91.27,90.62,22482
1738585377,91.27,90.62,22482
1738585432,91.27,90.62,22482
1738585486,91.27,90.62,22482
1738585555,91.27,90.54,22492
1738585618,91.27,90.42,22587
1738585671,91.27,90.42,22597
1738585735,91.27,90.42,22597
1738585792,91.27,90.42,22597
1738585856,91.27,90.42,22597
1738585919,91.27,90.42,22597
1738585973,91.27,90.42,22597
1738586037,91.27,90.42,22597
1738586093,91.27,90.42,22597
1738586158,91.27,90.42,22597
1738586218,91.27,90.42,22597
1738586279,91.27,90.42,22597
1738586331,91.27,90.42,22597
1738586395,91.27,90.42,22597
1738586449,91.27,90.42,22597
1738586519,91.27,90.49,22647
1738586578,91.26,90.46,22724
1738586639,91.26,90.41,22923
1738586699,91.26,90.41,22923
1738586751,91.26,90.41,22923
1738586815,91.26,90.40,22933
1738586867,91.25,90.36,22986
1738586933,91.25,90.36,22986
1738586997,91.25,90.30,22997
1738587051,91.25,90.30,22997
1738587118,91.25,90.30,22997
1738587177,91.25,90.28,23003
1738587239,91.19,90.17,24323
1738587291,91.19,90.17,24323
1738587358,91.19,90.27,24324
1738587419,91.19,90.27,24324
1738587479,91.16,90.27,25293
1738587535,91.16,90.27,25293
1738587587,91.16,90.55,25303
1738587658,91.16,90.55,25303
1738587709,91.16,90.55,25303
1738587775,91.16,90.55,25303
1738587838,91.16,90.55,25303
1738587898,91.16,90.39,25330
1738587948,91.16,90.39,25330
1738588019,91.16,90.39,25330
1738588074,91.16,90.39,25330
1738588137,91.16,90.39,25330
1738588199,91.16,90.05,25334
1738588251,91.16,90.24,25428
1738588318,91.16,90.24,25428
1738588370,91.16,90.24,25428
1738588437,91.16,90.24,25428
1738588483,91.16,90.24,25428
1738588559,91.16,90.39,25433
1738588595,91.16,90.39,25433
1738588660,91.15,90.39,25532
1738588739,91.15,90.39,25532
1738588794,91.15,90.39,25532
1738588857,91.15,90.47,25582
1738588907,91.15,90.25,25632
1738588979,91.15,90.25,25632
1738589030,91.15,90.25,25632
1738589093,91.15,90.25,25632
1738589144,91.15,90.25,25632
1738589204,91.14,90.21,25961
1738589277,91.14,90.21,25961
1738589331,91.13,90.20,26261
1738589393,91.13,90.20,26261
1738589430,91.12,90.16,26317
1738589519,91.12,90.16,26366
1738589575,91.12,90.16,26366
1738589639,91.12,90.16,26366
1738589699,91.12,90.16,26366
1738589751,91.12,90.16,26366
1738589816,91.12,90.24,26430
1738589879,91.12,90.24,26430
1738589927,91.12,90.24,26529
1738589990,91.12,90.24,26539
1738590051,91.12,90.24,26539
1738590119,91.12,90.24,26544
1738590168,91.12,90.24,26544
1738590238,91.12,90.20,26549
1738590299,91.12,90.20,26549
1738590356,91.12,90.20,26549
1738590416,91.12,90.20,26549
1738590478,91.12,90.06,26557
1738590538,91.12,90.06,26557
1738590596,91.12,90.06,26557
1738590656,91.08,90.16,27557
1738590718,91.05,90.05,28657
1738590774,91.05,90.01,28698
1738590833,91.05,90.01,28698
1738590897,91.05,90.01,28698
1738590946,91.05,90.01,28698
1738591013,91.05,90.01,28698
1738591079,91.01,90.00,29863
1738591139,91.01,90.00,29863
1738591199,91.01,90.00,29863
1738591259,91.01,90.00,29863
1738591317,91.01,90.00,29863
1738591379,91.01,89.91,29869
1738591436,91.01,89.91,29869
1738591497,91.01,89.91,29869
1738591558,91.01,89.91,29869
1738591610,91.01,89.91,29869
1738591679,91.01,89.91,29869
1738591737,90.99,89.71,30269
1738591799,90.99,89.71,30269
1738591858,90.99,89.71,30269
1738591919,90.99,89.97,30274
1738591978,90.98,89.71,30429
1738592039,90.98,89.71,30429
1738592095,90.98,89.71,30429
1738592158,90.98,89.71,30429
1738592217,90.98,89.95,30529
1738592276,90.98,89.95,30529
1738592335,90.98,89.95,30529
1738592398,90.98,89.80,30532
1738592457,90.98,89.80,30587
1738592515,90.97,89.80,30632
1738592579,90.97,89.80,30632
1738592638,90.97,89.80,30632
1738592698,90.97,89.80,30632
1738592758,90.97,89.95,30677
1738592817,90.97,89.95,30677
1738592879,90.97,89.95,30677
1738592937,90.97,89.95,30677
1738592993,90.97,89.95,30802
1738593043,90.97,89.95,30802
1738593112,90.97,89.95,30802
1738593178,90.97,90.00,30902
1738593230,90.97,90.00,30902
1738593295,90.97,90.00,30902
1738593354,90.97,89.98,30913
1738593416,90.96,89.91,30938
1738593478,90.96,89.75,30948
1738593539,90.96,89.75,30948
1738593595,90.96,89.75,30948
1738593655,90.96,89.71,31033
1738593719,90.96,89.71,31033
1738593775,90.96,89.71,31048
1738593836,90.96,89.70,31054
1738593896,90.94,89.70,31509
1738593959,90.94,89.68,31636
1738594018,90.94,89.68,31636
1738594079,90.93,89.67,31747
1738594138,90.93,89.83,31757
1738594192,90.93,89.83,31762
1738594259,90.93,89.83,31762
1738594318,90.93,89.83,31762
1738594374,90.93,89.83,31762
1738594438,90.93,89.83,31854
1738594494,90.93,90.00,31859
1738594550,90.90,90.03,32867
1738594612,90.90,90.15,32917
1738594677,90.90,90.15,32917
1738594734,90.90,90.15,32917
1738594796,90.90,90.15,32917
1738594857,90.90,90.07,32937
1738594918,90.90,89.81,33017
1738594978,90.90,89.81,33017
1738595038,90.89,89.74,33117
1738595095,90.89,89.74,33117
1738595159,90.89,89.74,33117
1738595219,90.89,89.74,33117
1738595277,90.89,89.74,33117
1738595338,90.89,89.74,33117
1738595398,90.89,89.95,33307
1738595458,90.85,90.29,34993
1738595518,90.85,90.29,35143
1738595579,90.85,90.29,35143
1738595639,90.85,90.29,35143
1738595694,90.85,90.29,35143
1738595759,90.83,89.73,35754
1738595819,90.83,89.65,35875
1738595877,90.79,89.58,37051
1738595938,90.79,89.58,37051
1738595999,90.79,89.62,37101
1738596059,90.79,89.62,37206
1738596119,90.79,89.66,37232
1738596179,90.77,89.79,37732
1738596238,90.77,89.79,37734
1738596299,90.77,89.78,37766
1738596358,90.77,89.73,37829
1738596419,90.77,89.84,37966
1738596479,90.75,89.91,38855
1738596538,90.75,90.08,38888
1738596597,90.75,90.08,38888
1738596600,90.75,90.08,38888
1738596663,90.75,90.08,38888
1738596791,90.75,90.08,38888
1738597201,90.75,90.08,38888
1738598402,90.75,90.08,38888
1738598488,90.75,90.08,38888
1738573635,93.11,93.11,628
1738573741,93.11,93.11,628
1738574159,92.63,92.33,3044
1738574216,92.53,91.70,3499
1738574279,92.52,91.88,3539
1738574338,92.44,91.71,3911
1738574397,92.43,91.89,4011
1738574459,92.40,91.29,4126
1738574519,92.30,91.27,4493
1738574579,92.23,91.51,4934
1738574636,92.23,91.51,4934
1738574698,92.21,91.51,5039
1738574759,92.18,91.59,5302
1738574819,92.19,92.31,5569
1738574878,92.27,92.79,6663
1738574939,92.28,92.56,7035
1738574994,92.28,92.56,7035
1738575059,92.28,91.95,7131
1738575119,92.27,91.78,7181
1738575178,92.25,91.50,7442
1738575239,92.20,91.50,7942
1738575298,92.19,91.43,7992
1738575359,92.19,91.43,7992
1738575419,92.19,91.14,8000
1738575478,92.14,91.00,8387
1738575539,92.10,90.60,8645
1738575599,92.09,90.65,8707
1738575657,92.08,90.79,8784
1738575719,91.61,90.75,12895
1738575778,91.61,90.75,12945
1738575839,91.61,90.75,12945
1738575899,91.60,90.87,13033
1738575959,91.60,90.87,13033
1738576017,91.59,90.79,13283
1738576076,91.58,90.53,13346
1738576139,91.58,90.77,13357
1738576198,91.58,90.77,13357
1738576259,91.57,90.58,13447
1738576318,91.57,90.58,13447
1738576378,91.55,90.45,13701
1738576439,91.55,90.45,13701
1738576498,91.55,90.45,13701
1738576559,91.55,90.49,13788
1738576614,91.55,90.48,13804
1738576679,91.55,90.48,13805
1738576737,91.54,90.33,13863
1738576795,91.54,90.33,13863
1738576857,91.54,90.33,13863
1738576919,91.53,90.67,13964
1738576978,91.53,90.82,13972
1738577038,91.53,90.78,13973
1738577099,91.53,90.49,14071
1738577159,91.53,90.68,14075
1738577217,91.53,90.68,14075
1738577276,91.53,90.68,14075
1738577336,91.53,90.68,14075
1738577399,91.51,90.71,14377
1738577455,91.51,90.71,14377
1738577519,91.47,90.79,15205
1738577575,91.47,90.79,15205
1738577629,91.47,90.79,15206
1738577698,91.47,90.79,15206
1738577759,91.47,90.79,15206
1738577818,91.47,90.79,15206
1738577878,91.47,90.79,15206
1738577938,91.47,90.79,15206
1738577999,91.47,90.79,15206
1738578059,91.47,90.79,15206
1738578116,91.46,90.63,15317
1738578177,91.46,90.71,15408
1738578239,91.44,90.79,15828
1738578299,91.43,90.97,16220
1738578357,91.43,91.02,16370
1738578418,91.43,91.02,16370
1738578472,91.43,91.02,16370
1738578537,91.43,91.02,16370
1738578599,91.43,91.02,16370
1738578658,91.41,90.57,16593
1738578719,91.41,90.57,16593
1738578779,91.41,90.57,16593
1738578833,91.41,90.57,16593
1738578896,91.41,90.63,16729
1738578957,91.41,90.63,16729
1738579019,91.41,90.63,16729
1738579072,91.41,90.63,16729
1738579139,91.40,90.79,16854
1738579198,91.40,90.79,16854
1738579258,91.40,90.79,16854
1738579319,91.40,90.79,16854
1738579377,91.40,90.75,16955
1738579436,91.40,90.94,16958
1738579499,91.38,90.89,17435
1738579559,91.38,90.89,17435
1738579614,91.38,90.89,17435
1738579679,91.38,90.89,17435
1738579738,91.37,90.89,17806
1738579796,91.37,90.89,17806
1738579859,91.37,90.76,17807
1738579917,91.37,90.73,17907
1738579975,91.36,90.65,18171
1738580037,91.36,90.65,18171
1738580099,91.36,90.65,18251
1738580157,91.36,90.65,18251
1738580216,91.36,90.65,18251
1738580276,91.36,90.65,18251
1738580331,91.36,90.65,18251
1738580399,91.36,90.65,18251
1738580453,91.36,90.65,18251
1738580516,91.36,90.65,18251
1738580579,91.36,90.65,18251
1738580638,91.33,91.09,20051
1738580697,91.33,90.94,20061
1738580754,91.33,90.94,20066
1738580817,91.33,90.94,20066
1738580877,91.33,90.94,20081
1738580934,91.33,90.94,20081
1738580997,91.33,90.94,20081
1738581059,91.33,90.94,20081
1738581111,91.33,90.94,20081
1738581179,91.33,90.94,20081
1738581237,91.33,91.18,20086
1738581295,91.32,91.01,20136
1738581358,91.32,91.18,20146
1738581417,91.32,91.18,20146
1738581475,91.32,91.18,20281
1738581536,91.32,91.18,20281
1738581597,91.32,91.18,20281
1738581655,91.32,91.18,20281
1738581719,91.32,91.18,20281
1738581779,91.32,91.18,20281
1738581839,91.32,91.21,20744
1738581897,91.32,91.21,20744
1738581959,91.32,91.21,20744
1738582003,91.32,91.21,20744
1738582079,91.32,91.21,20744
1738582139,91.32,91.21,20744
1738582195,91.32,91.11,20892
1738582259,91.32,91.02,20894
1738582317,91.32,90.99,20996
1738582377,91.31,90.95,21353
1738582434,91.31,90.95,21353
1738582499,91.31,90.95,21353
1738582557,91.31,90.95,21353
1738582615,91.31,90.95,21353
1738582679,91.31,90.95,21353
1738582736,91.31,90.95,21353
1738582793,91.31,90.95,21353
1738582858,91.31,90.95,21353
1738582915,91.30,90.65,21705
1738582979,91.30,90.65,21717
1738583028,91.30,90.65,21717
1738583089,91.30,90.65,21747
1738583154,91.30,90.65,21747
1738583218,91.30,90.65,21747
1738583279,91.30,90.65,21747
1738583338,91.30,90.65,21747
1738583398,91.30,90.86,21750
1738583457,91.30,90.79,21791
1738583512,91.30,90.79,21791
1738583579,91.30,90.79,21791
1738583639,91.30,90.79,21791
1738583699,91.30,90.79,21791
1738583758,91.30,90.79,21793
1738583803,91.29,90.79,21893
1738583868,91.29,90.79,21893
1738583935,91.29,90.79,21893
1738583993,91.29,90.79,21893
1738584058,91.29,90.61,21894
1738584116,91.29,90.61,21894
1738584179,91.29,90.61,21894
1738584238,91.29,90.61,21894
1738584288,91.29,90.61,21894
1738584354,91.29,90.61,21894
1738584407,91.29,90.78,21895
1738584478,91.29,90.60,21909
1738584537,91.29,90.60,21909
1738584593,91.29,90.60,21909
1738584658,91.29,90.60,21909
1738584715,91.29,90.63,21949
1738584778,91.29,90.63,21949
1738584834,91.29,90.63,21949
1738584891,91.29,90.63,21959
1738584957,91.29,90.63,21959
1738585014,91.27,90.52,22459
1738585072,91.27,90.52,22459
1738585136,91.27,90.62,22482
1738585194,91.27,90.62,22482
1738585257,91.27,90.62,22482
1738585318,91.27,90.62,22482
1738585377,91.27,90.62,22482
1738585432,91.27,90.62,22482
1738585486,91.27,90.62,22482
1738585555,91.27,90.54,22492
1738585618,91.27,90.42,22587
1738585671,91.27,90.42,22597
1738585735,91.27,90.42,22597
1738585792,91.27,90.42,22597
1738585856,91.27,90.42,22597
1738585919,91.27,90.42,22597
1738585973,91.27,90.42,22597
1738586037,91.27,90.42,22597
1738586093,91.27,90.42,22597
1738586158,91.27,90.42,22597
1738586218,91.27,90.42,22597
1738586279,91.27,90.42,22597
1738586331,91.27,90.42,22597
1738586395,91.27,90.42,22597
1738586449,91.27,90.42,22597
1738586519,91.27,90.49,22647
1738586578,91.26,90.46,22724
1738586639,91.26,90.41,22923
1738586699,91.26,90.41,22923
1738586751,91.26,90.41,22923
1738586815,91.26,90.40,22933
1738586867,91.25,90.36,22986
1738586933,91.25,90.36,22986
1738586997,91.25,90.30,22997
1738587051,91.25,90.30,22997
1738587118,91.25,90.30,22997
1738587177,91.25,90.28,23003
1738587239,91.19,90.17,24323
1738587291,91.19,90.17,24323
1738587358,91.19,90.27,24324
1738587419,91.19,90.27,24324
1738587479,91.16,90.27,25293
1738587535,91.16,90.27,25293
1738587587,91.16,90.55,25303
1738587658,91.16,90.55,25303
1738587709,91.16,90.55,25303
1738587775,91.16,90.55,25303
1738587838,91.16,90.55,25303
1738587898,91.16,90.39,25330
1738587948,91.16,90.39,25330
1738588019,91.16,90.39,25330
1738588074,91.16,90.39,25330
1738588137,91.16,90.39,25330
1738588199,91.16,90.05,25334
1738588251,91.16,90.24,25428
1738588318,91.16,90.24,25428
1738588370,91.16,90.24,25428
1738588437,91.16,90.24,25428
1738588483,91.16,90.24,25428
1738588559,91.16,90.39,25433
1738588595,91.16,90.39,25433
1738588660,91.15,90.39,25532
1738588739,91.15,90.39,25532
1738588794,91.15,90.39,25532
1738588857,91.15,90.47,25582
1738588907,91.15,90.25,25632
1738588979,91.15,90.25,25632
1738589030,91.15,90.25,25632
1738589093,91.15,90.25,25632
1738589144,91.15,90.25,25632
1738589204,91.14,90.21,25961
1738589277,91.14,90.21,25961
1738589331,91.13,90.20,26261
1738589393,91.13,90.20,26261
1738589430,91.12,90.16,26317
1738589519,91.12,90.16,26366
1738589575,91.12,90.16,26366
1738589639,91.12,90.16,26366
1738589699,91.12,90.16,26366
1738589751,91.12,90.16,26366
1738589816,91.12,90.24,26430
1738589879,91.12,90.24,26430
1738589927,91.12,90.24,26529
1738589990,91.12,90.24,26539
1738590051,91.12,90.24,26539
1738590119,91.12,90.24,26544
1738590168,91.12,90.24,26544
1738590238,91.12,90.20,26549
1738590299,91.12,90.20,26549
1738590356,91.12,90.20,26549
1738590416,91.12,90.20,26549
1738590478,91.12,90.06,26557
1738590538,91.12,90.06,26557
1738590596,91.12,90.06,26557
1738590656,91.08,90.16,27557
1738590718,91.05,90.05,28657
1738590774,91.05,90.01,28698
1738590833,91.05,90.01,28698
1738590897,91.05,90.01,28698
1738590946,91.05,90.01,28698
1738591013,91.05,90.01,28698
1738591079,91.01,90.00,29863
1738591139,91.01,90.00,29863
1738591199,91.01,90.00,29863
1738591259,91.01,90.00,29863
1738591317,91.01,90.00,29863
1738591379,91.01,89.91,29869
1738591436,91.01,89.91,29869
1738591497,91.01,89.91,29869
1738591558,91.01,89.91,29869
1738591610,91.01,89.91,29869
1738591679,91.01,89.91,29869
1738591737,90.99,89.71,30269
1738591799,90.99,89.71,30269
1738591858,90.99,89.71,30269
1738591919,90.99,89.97,30274
1738591978,90.98,89.71,30429
1738592039,90.98,89.71,30429
1738592095,90.98,89.71,30429
1738592158,90.98,89.71,30429
1738592217,90.98,89.95,30529
1738592276,90.98,89.95,30529
1738592335,90.98,89.95,30529
1738592398,90.98,89.80,30532
1738592457,90.98,89.80,30587
1738592515,90.97,89.80,30632
1738592579,90.97,89.80,30632
1738592638,90.97,89.80,30632
1738592698,90.97,89.80,30632
1738592758,90.97,89.95,30677
1738592817,90.97,89.95,30677
1738592879,90.97,89.95,30677
1738592937,90.97,89.95,30677
1738592993,90.97,89.95,30802
1738593043,90.97,89.95,30802
1738593112,90.97,89.95,30802
1738593178,90.97,90.00,30902
1738593230,90.97,90.00,30902
1738593295,90.97,90.00,30902
1738593354,90.97,89.98,30913
1738593416,90.96,89.91,30938
1738593478,90.96,89.75,30948
1738593539,90.96,89.75,30948
1738593595,90.96,89.75,30948
1738593655,90.96,89.71,31033
1738593719,90.96,89.71,31033
1738593775,90.96,89.71,31048
1738593836,90.96,89.70,31054
1738593896,90.94,89.70,31509
1738593959,90.94,89.68,31636
1738594018,90.94,89.68,31636
1738594079,90.93,89.67,31747
1738594138,90.93,89.83,31757
1738594192,90.93,89.83,31762
1738594259,90.93,89.83,31762
1738594318,90.93,89.83,31762
1738594374,90.93,89.83,31762
1738594438,90.93,89.83,31854
1738594494,90.93,90.00,31859
1738594550,90.90,90.03,32867
1738594612,90.90,90.15,32917
1738594677,90.90,90.15,32917
1738594734,90.90,90.15,32917
1738594796,90.90,90.15,32917
1738594857,90.90,90.07,32937
1738594918,90.90,89.81,33017
1738594978,90.90,89.81,33017
1738595038,90.89,89.74,33117
1738595095,90.89,89.74,33117
1738595159,90.89,89.74,33117
1738595219,90.89,89.74,33117
1738595277,90.89,89.74,33117
1738595338,90.89,89.74,33117
1738595398,90.89,89.95,33307
1738595458,90.85,90.29,34993
1738595518,90.85,90.29,35143
1738595579,90.85,90.29,35143
1738595639,90.85,90.29,35143
1738595694,90.85,90.29,35143
1738595759,90.83,89.73,35754
1738595819,90.83,89.65,35875
1738595877,90.79,89.58,37051
1738595938,90.79,89.58,37051
1738595999,90.79,89.62,37101
1738596059,90.79,89.62,37206
1738596119,90.79,89.66,37232
1738596179,90.77,89.79,37732
1738596238,90.77,89.79,37734
1738596299,90.77,89.78,37766
1738596358,90.77,89.73,37829
1738596419,90.77,89.84,37966
1738596479,90.75,89.91,38855
1738596538,90.75,90.08,38888
1738596597,90.75,90.08,38888
1738596600,90.75,90.08,38888
1738596663,90.75,90.08,38888
1738596791,90.75,90.08,38888
1738597201,90.75,90.08,38888
1738598402,90.75,90.08,38888
1738598488,90.75,90.08,38888
1738573635,93.11,93.11,628
1738573741,93.11,93.11,628
1738574159,92.63,92.33,3044
1738574216,92.53,91.70,3499
1738574279,92.52,91.88,3539
1738574338,92.44,91.71,3911
1738574397,92.43,91.89,4011
1738574459,92.40,91.29,4126
1738574519,92.30,91.27,4493
1738574579,92.23,91.51,4934
1738574636,92.23,91.51,4934
1738574698,92.21,91.51,5039
1738574759,92.18,91.59,5302
1738574819,92.19,92.31,5569
1738574878,92.27,92.79,6663
1738574939,92.28,92.56,7035
1738574994,92.28,92.56,7035
1738575059,92.28,91.95,7131
1738575119,92.27,91.78,7181
1738575178,92.25,91.50,7442
1738575239,92.20,91.50,7942
1738575298,92.19,91.43,7992
1738575359,92.19,91.43,7992
1738575419,92.19,91.14,8000
1738575478,92.14,91.00,8387
1738575539,92.10,90.60,8645
1738575599,92.09,90.65,8707
1738575657,92.08,90.79,8784
1738575719,91.61,90.75,12895
1738575778,91.61,90.75,12945
1738575839,91.61,90.75,12945
1738575899,91.60,90.87,13033
1738575959,91.60,90.87,13033
1738576017,91.59,90.79,13283
1738576076,91.58,90.53,13346
1738576139,91.58,90.77,13357
1738576198,91.58,90.77,13357
1738576259,91.57,90.58,13447
1738576318,91.57,90.58,13447
1738576378,91.55,90.45,13701
1738576439,91.55,90.45,13701
1738576498,91.55,90.45,13701
1738576559,91.55,90.49,13788
1738576614,91.55,90.48,13804
1738576679,91.55,90.48,13805
1738576737,91.54,90.33,13863
1738576795,91.54,90.33,13863
1738576857,91.54,90.33,13863
1738576919,91.53,90.67,13964
1738576978,91.53,90.82,13972
1738577038,91.53,90.78,13973
1738577099,91.53,90.49,14071
1738577159,91.53,90.68,14075
1738577217,91.53,90.68,14075
1738577276,91.53,90.68,14075
1738577336,91.53,90.68,14075
1738577399,91.51,90.71,14377
1738577455,91.51,90.71,14377
1738577519,91.47,90.79,15205
1738577575,91.47,90.79,15205
1738577629,91.47,90.79,15206
1738577698,91.47,90.79,15206
1738577759,91.47,90.79,15206
1738577818,91.47,90.79,15206
1738577878,91.47,90.79,15206
1738577938,91.47,90.79,15206
1738577999,91.47,90.79,15206
1738578059,91.47,90.79,15206
1738578116,91.46,90.63,15317
1738578177,91.46,90.71,15408
1738578239,91.44,90.79,15828
1738578299,91.43,90.97,16220
1738578357,91.43,91.02,16370
1738578418,91.43,91.02,16370
1738578472,91.43,91.02,16370
1738578537,91.43,91.02,16370
1738578599,91.43,91.02,16370
1738578658,91.41,90.57,16593
1738578719,91.41,90.57,16593
1738578779,91.41,90.57,16593
1738578833,91.41,90.57,16593
1738578896,91.41,90.63,16729
1738578957,91.41,90.63,16729
1738579019,91.41,90.63,16729
1738579072,91.41,90.63,16729
1738579139,91.40,90.79,16854
1738579198,91.40,90.79,16854
1738579258,91.40,90.79,16854
1738579319,91.40,90.79,16854
1738579377,91.40,90.75,16955
1738579436,91.40,90.94,16958
1738579499,91.38,90.89,17435
1738579559,91.38,90.89,17435
1738579614,91.38,90.89,17435
1738579679,91.38,90.89,17435
1738579738,91.37,90.89,17806
1738579796,91.37,90.89,17806
1738579859,91.37,90.76,17807
1738579917,91.37,90.73,17907
1738579975,91.36,90.65,18171
1738580037,91.36,90.65,18171
1738580099,91.36,90.65,18251
1738580157,91.36,90.65,18251
1738580216,91.36,90.65,18251
1738580276,91.36,90.65,18251
1738580331,91.36,90.65,18251
1738580399,91.36,90.65,18251
1738580453,91.36,90.65,18251
1738580516,91.36,90.65,18251
1738580579,91.36,90.65,18251
1738580638,91.33,91.09,20051
1738580697,91.33,90.94,20061
1738580754,91.33,90.94,20066
1738580817,91.33,90.94,20066
1738580877,91.33,90.94,20081
1738580934,91.33,90.94,20081
1738580997,91.33,90.94,20081
1738581059,91.33,90.94,20081
1738581111,91.33,90.94,20081
1738581179,91.33,90.94,20081
1738581237,91.33,91.18,20086
1738581295,91.32,91.01,20136
1738581358,91.32,91.18,20146
1738581417,91.32,91.18,20146
1738581475,91.32,91.18,20281
1738581536,91.32,91.18,20281
1738581597,91.32,91.18,20281
1738581655,91.32,91.18,20281
1738581719,91.32,91.18,20281
1738581779,91.32,91.18,20281
1738581839,91.32,91.21,20744
1738581897,91.32,91.21,20744
1738581959,91.32,91.21,20744
1738582003,91.32,91.21,20744
1738582079,91.32,91.21,20744
1738582139,91.32,91.21,20744
1738582195,91.32,91.11,20892
1738582259,91.32,91.02,20894
1738582317,91.32,90.99,20996
1738582377,91.31,90.95,21353
1738582434,91.31,90.95,21353
1738582499,91.31,90.95,21353
1738582557,91.31,90.95,21353
1738582615,91.31,90.95,21353
1738582679,91.31,90.95,21353
1738582736,91.31,90.95,21353
1738582793,91.31,90.95,21353
1738582858,91.31,90.95,21353
1738582915,91.30,90.65,21705
1738582979,91.30,90.65,21717
1738583028,91.30,90.65,21717
1738583089,91.30,90.65,21747
1738583154,91.30,90.65,21747
1738583218,91.30,90.65,21747
1738583279,91.30,90.65,21747
1738583338,91.30,90.65,21747
1738583398,91.30,90.86,21750
1738583457,91.30,90.79,21791
1738583512,91.30,90.79,21791
1738583579,91.30,90.79,21791
1738583639,91.30,90.79,21791
1738583699,91.30,90.79,21791
1738583758,91.30,90.79,21793
1738583803,91.29,90.79,21893
1738583868,91.29,90.79,21893
1738583935,91.29,90.79,21893
1738583993,91.29,90.79,21893
1738584058,91.29,90.61,21894
1738584116,91.29,90.61,21894
1738584179,91.29,90.61,21894
1738584238,91.29,90.61,21894
1738584288,91.29,90.61,21894
1738584354,91.29,90.61,21894
1738584407,91.29,90.78,21895
1738584478,91.29,90.60,21909
1738584537,91.29,90.60,21909
1738584593,91.29,90.60,21909
1738584658,91.29,90.60,21909
1738584715,91.29,90.63,21949
1738584778,91.29,90.63,21949
1738584834,91.29,90.63,21949
1738584891,91.29,90.63,21959
1738584957,91.29,90.63,21959
1738585014,91.27,90.52,22459
1738585072,91.27,90.52,22459
1738585136,91.27,90.62,22482
1738585194,91.27,90.62,22482
1738585257,91.27,90.62,22482
1738585318,91.27,90.62,22482
1738585377,91.27,90.62,22482
1738585432,91.27,90.62,22482
1738585486,91.27,90.62,22482
1738585555,91.27,90.54,22492
1738585618,91.27,90.42,22587
1738585671,91.27,90.42,22597
1738585735,91.27,90.42,22597
1738585792,91.27,90.42,22597
1738585856,91.27,90.42,22597
1738585919,91.27,90.42,22597
1738585973,91.27,90.42,22597
1738586037,91.27,90.42,22597
1738586093,91.27,90.42,22597
1738586158,91.27,90.42,22597
1738586218,91.27,90.42,22597
1738586279,91.27,90.42,22597
1738586331,91.27,90.42,22597
1738586395,91.27,90.42,22597
1738586449,91.27,90.42,22597
1738586519,91.27,90.49,22647
1738586578,91.26,90.46,22724
1738586639,91.26,90.41,22923
1738586699,91.26,90.41,22923
1738586751,91.26,90.41,22923
1738586815,91.26,90.40,22933
