t,ap,cp,v
1738574216,739.00,739.00,31
1738574279,739.00,739.00,31
1738574336,739.00,739.00,31
1738574399,739.00,739.00,31
1738574459,739.00,739.00,31
1738574519,740.64,741.35,71
1738574575,740.64,741.35,71
1738574638,740.64,741.35,71
1738574698,743.99,748.60,129
1738574759,743.99,748.60,129
1738574819,745.44,756.95,169
1738574879,745.44,756.95,169
1738574939,747.64,758.25,204
1738574997,747.89,758.25,209
1738575059,748.48,759.65,220
1738575117,748.48,759.65,220
1738575178,748.48,759.65,220
1738575239,748.48,759.65,220
1738575299,748.56,757.70,222
1738575358,748.56,757.70,222
1738575419,748.56,757.70,222
1738575478,748.56,757.70,222
1738575539,748.74,754.40,229
1738575597,748.87,752.35,235
1738575659,748.87,752.35,235
1738575714,748.87,752.35,235
1738575777,748.87,752.35,235
1738575838,748.87,752.35,235
1738575899,750.72,756.90,309
1738575946,750.72,756.90,309
1738576018,750.95,756.90,321
1738576079,751.07,755.00,331
1738576138,751.07,755.00,331
1738576197,751.79,753.90,443
1738576257,751.79,753.90,443
1738576314,752.16,757.10,479
1738576365,752.16,757.10,479
1738576439,752.16,757.10,479
1738576498,752.16,757.10,479
1738576559,752.16,757.10,479
1738576618,752.13,751.05,509
1738576679,752.13,751.05,509
1738576739,752.13,751.05,509
1738576796,752.13,751.05,509
1738576859,752.13,751.05,509
1738576919,752.13,751.05,509
1738576979,752.13,751.05,509
1738577037,752.13,755.25,510
1738577098,752.13,755.25,510
1738577158,752.13,755.25,510
1738577219,752.13,755.25,510
1738577279,752.14,755.80,511
1738577339,752.14,755.80,511
1738577399,752.14,755.80,511
1738577459,752.28,758.85,522
1738577518,752.28,758.85,522
1738577577,752.28,758.85,522
1738577639,752.28,758.85,522
1738577698,752.28,758.85,522
1738577757,752.28,758.85,522
1738577818,752.28,758.85,522
1738577879,752.28,758.85,522
1738577939,752.28,758.85,522
1738577999,752.28,758.85,522
1738578059,752.28,758.85,522
1738578119,752.28,758.85,522
1738578179,752.28,758.85,522
1738578239,752.28,758.85,522
1738578299,752.28,758.85,522
1738578358,752.28,758.85,522
1738578419,752.28,758.85,522
1738578478,752.28,758.85,522
1738578539,752.28,758.85,522
1738578599,752.28,758.85,522
1738578659,752.28,758.85,522
1738578717,752.28,758.85,522
1738578776,752.28,758.85,522
1738578838,752.28,758.85,522
1738578899,752.28,758.85,522
1738578959,752.28,758.85,522
1738579018,752.28,758.85,522
1738579075,752.28,758.85,522
1738579138,752.28,758.85,522
1738579199,752.28,758.85,522
1738579258,752.28,758.85,522
1738579310,752.28,758.85,522
1738579376,752.28,758.85,522
1738579435,752.28,758.85,522
1738579498,752.28,758.85,522
1738579558,752.28,758.85,522
1738579618,752.48,756.15,552
1738579679,752.48,756.15,552
1738579739,752.48,756.15,552
1738579798,752.48,756.15,552
1738579859,752.48,756.15,552
1738579918,752.39,752.55,577
1738579979,752.39,752.55,577
1738580039,752.39,752.55,577
1738580094,752.39,752.55,577
1738580157,752.39,752.55,577
1738580338,752.39,752.55,577
1738580381,752.39,752.55,577
1738580459,752.39,752.55,577
1738580518,752.39,752.55,577
1738580549,752.39,752.55,577
1738580612,752.39,752.55,577
1738580699,752.39,752.55,577
1738580735,752.39,752.55,577
1738580819,752.39,752.55,577
1738580878,752.39,752.55,577
1738580910,752.39,752.55,577
1738580996,752.27,748.80,599
1738581055,752.27,748.80,599
1738581119,752.27,748.80,599
1738581170,752.27,748.80,599
1738581225,752.27,748.80,599
1738581299,752.27,748.80,599
1738581353,752.27,748.80,599
1738581400,752.27,748.80,599
1738581453,752.27,748.80,599
1738581537,752.27,748.80,599
1738581599,752.27,748.80,599
1738581659,752.27,748.80,599
1738581719,752.27,748.80,599
1738581779,752.27,748.80,599
1738581839,752.27,748.80,599
1738581898,752.27,748.80,599
1738581959,752.27,748.80,599
1738582019,752.27,748.80,599
1738582079,752.27,748.80,599
1738582123,752.27,748.80,599
1738582198,752.27,748.80,599
1738582238,752.27,748.80,599
1738582319,752.27,748.80,599
1738582358,752.27,748.80,599
1738582431,752.27,748.80,599
1738582495,752.27,748.80,599
1738582553,752.27,748.80,599
1738582597,752.27,748.80,599
1738582679,752.27,748.80,599
1738582737,752.25,744.30,600
1738582799,752.25,744.30,600
1738582856,752.25,744.30,600
1738582916,752.25,744.30,600
1738582978,752.25,744.30,600
1738583031,752.25,744.30,600
1738583099,752.25,744.30,600
1738583159,752.25,744.30,600
1738583219,752.25,744.30,600
1738583279,752.25,744.30,600
1738583339,752.25,744.30,600
1738583398,752.25,744.30,600
1738583443,752.25,744.30,600
1738583505,752.25,744.30,600
1738583576,752.25,744.30,600
1738583615,752.25,744.30,600
1738583699,752.25,744.30,600
1738583759,752.25,744.30,600
1738583819,752.25,744.30,600
1738583842,752.25,744.30,600
1738583938,752.25,744.30,600
1738583999,752.25,744.30,600
1738584059,752.25,744.30,600
1738584118,752.25,744.30,600
1738584179,752.25,744.30,600
1738584193,752.25,744.30,600
1738584298,752.25,744.30,600
1738584359,752.25,744.30,600
1738584410,752.25,744.30,600
1738584469,751.97,743.00,619
1738584539,751.97,743.00,619
1738584599,751.97,743.00,619
1738584659,751.97,743.00,619
1738584693,751.97,743.00,619
1738584825,750.62,745.95,764
1738584897,750.62,745.95,764
1738584959,750.62,745.95,764
1738585015,750.62,745.95,764
1738585079,750.62,745.95,764
1738585138,750.62,745.95,764
1738585199,750.62,745.95,764
1738585258,750.62,745.95,764
1738585314,750.62,745.95,764
1738585346,750.62,745.95,764
1738585414,750.62,745.95,764
1738585491,750.62,745.95,764
1738585552,750.62,745.95,764
1738585619,750.62,745.95,764
1738585672,750.62,745.95,764
1738585725,750.62,745.95,764
1738585788,750.48,741.45,776
1738585859,750.48,741.45,776
1738585919,750.39,740.20,783
1738585978,750.28,738.10,791
1738586039,750.28,738.10,791
1738586099,750.28,738.10,791
1738586159,750.28,738.10,791
1738586213,750.28,738.10,791
1738586279,750.28,738.10,791
1738586338,750.28,738.10,791
1738586388,750.28,738.10,791
1738586451,750.27,737.30,792
1738586519,750.27,737.30,792
1738586579,750.27,737.30,792
1738586638,750.27,737.30,792
1738586699,750.27,737.30,792
1738586734,750.27,737.30,792
1738586819,750.27,737.30,792
1738586879,750.27,737.30,792
1738586939,750.27,737.30,792
1738586998,750.27,737.30,792
1738587058,750.25,737.30,793
1738587119,750.25,737.30,793
1738587178,750.25,737.30,793
1738587239,750.25,737.30,793
1738587298,750.25,737.30,793
1738587359,750.25,737.30,793
1738587419,747.44,734.05,972
1738587473,747.44,734.05,972
1738587529,747.44,734.05,972
1738587587,747.01,734.95,1006
1738587647,747.01,734.95,1006
1738587716,747.01,734.95,1006
1738587777,747.01,734.95,1006
1738587838,747.01,734.95,1006
1738587889,747.01,734.95,1006
1738587909,747.01,734.95,1006
1738588009,747.01,734.95,1006
1738588079,747.01,734.95,1006
1738588129,747.01,734.95,1006
1738588195,747.01,734.95,1006
1738588256,747.01,734.95,1006
1738588319,747.01,734.95,1006
1738588369,747.01,734.95,1006
1738588437,747.01,734.95,1006
1738588488,747.01,734.95,1006
1738588558,747.01,734.95,1006
1738588616,746.92,738.75,1015
1738588676,746.92,738.75,1015
1738588738,746.92,738.75,1015
1738588799,746.92,738.75,1015
1738588859,746.73,732.00,1034
1738588900,746.73,732.00,1034
1738588979,746.73,732.00,1034
1738589039,746.73,732.00,1034
1738589099,746.73,732.00,1034
1738589157,746.73,732.00,1034
1738589216,746.73,732.00,1034
1738589251,746.73,732.00,1034
1738589326,746.73,732.00,1034
1738589399,746.73,732.00,1034
1738589453,746.73,732.00,1034
1738589510,746.73,732.00,1034
1738589579,746.73,732.00,1034
1738589639,746.73,732.00,1034
1738589699,746.73,732.00,1034
1738589758,746.73,732.00,1034
1738589809,746.73,732.00,1034
1738589878,746.73,732.00,1034
1738589939,746.73,732.00,1034
1738589998,746.73,732.00,1034
1738590059,746.70,735.30,1037
1738590119,746.70,735.30,1037
1738590179,746.70,735.30,1037
1738590238,746.70,735.30,1037
1738590299,746.64,734.35,1042
1738590359,746.64,734.35,1042
1738590390,746.64,734.35,1042
1738590479,746.64,734.35,1042
1738590538,746.64,734.35,1042
1738590599,746.64,734.35,1042
1738590659,746.64,734.35,1042
1738590719,746.57,732.10,1047
1738590779,746.57,732.10,1047
1738590838,746.57,732.10,1047
1738590899,746.57,732.10,1047
1738590958,746.57,732.10,1047
1738591019,746.57,732.10,1047
1738591078,746.48,730.75,1053
1738591139,746.48,730.75,1053
1738591198,746.48,730.75,1053
1738591259,746.48,730.75,1053
1738591319,746.48,730.75,1053
1738591361,746.48,730.75,1053
1738591439,746.48,730.75,1053
1738591499,746.48,730.75,1053
1738591559,746.48,730.75,1053
1738591613,746.48,730.75,1053
1738591679,746.48,730.75,1053
1738591739,746.48,730.75,1053
1738591799,746.48,730.75,1053
1738591859,746.48,730.75,1053
1738591908,746.48,730.75,1053
1738591979,746.48,730.75,1053
1738592038,746.48,730.75,1053
1738592073,746.48,730.75,1053
1738592159,746.48,730.75,1053
1738592219,746.48,730.75,1053
1738592279,746.48,730.75,1053
1738592339,746.48,730.75,1053
1738592391,746.48,730.75,1053
1738592424,746.48,730.75,1053
1738592517,746.48,730.75,1053
1738592578,746.48,730.75,1053
1738592639,746.48,730.75,1053
1738592685,746.48,730.75,1053
1738592759,746.48,730.75,1053
1738592807,746.48,730.75,1053
1738592868,746.48,730.75,1053
1738592938,746.48,730.75,1053
1738592998,746.48,730.75,1053
1738593049,746.48,730.75,1053
1738593064,746.48,730.75,1053
1738593179,746.48,730.75,1053
1738593239,746.48,730.75,1053
1738593299,746.48,730.75,1053
1738593359,746.48,730.75,1053
1738593419,746.48,730.75,1053
1738593467,746.48,730.75,1053
1738593539,746.48,730.75,1053
1738593598,745.01,731.00,1166
1738593658,745.01,731.00,1166
1738593719,745.01,731.00,1166
1738593779,745.01,731.00,1166
1738593798,745.01,731.00,1166
1738593897,745.01,731.00,1166
1738593959,743.53,725.90,1268
1738594017,743.53,725.90,1268
1738594072,743.51,725.70,1270
1738594138,743.51,725.70,1270
1738594196,743.51,725.70,1270
1738594259,743.51,725.70,1270
1738594316,743.51,725.70,1270
1738594378,743.51,725.70,1270
1738594438,743.51,725.70,1270
1738594499,743.51,725.70,1270
1738594558,743.51,725.70,1270
1738594617,743.51,725.70,1270
1738594674,743.51,725.70,1270
1738594732,743.51,725.70,1270
1738594799,742.12,722.45,1377
1738594843,742.12,722.45,1377
1738594919,742.12,722.45,1377
1738594977,741.43,728.15,1447
1738595038,741.43,728.15,1447
1738595093,741.43,728.15,1447
1738595155,741.43,728.15,1447
1738595219,741.43,728.15,1447
1738595279,741.43,728.15,1447
1738595338,741.43,728.15,1447
1738595396,741.43,728.15,1447
1738595452,741.43,728.15,1447
1738595511,741.43,728.15,1447
1738595571,741.43,728.15,1447
1738595625,741.43,728.15,1447
1738595698,741.43,728.15,1447
1738595756,740.18,726.10,1559
1738595818,740.18,726.10,1559
1738595876,739.92,724.95,1586
1738595938,739.63,724.50,1617
1738595998,739.63,724.50,1617
1738596057,739.63,725.00,1618
1738596118,739.63,725.00,1618
1738596179,739.63,725.00,1618
1738596231,739.63,725.00,1618
1738596299,739.61,725.00,1620
1738596355,739.61,725.00,1620
1738596406,739.61,725.00,1620
1738596474,739.60,726.25,1621
1738596523,739.57,728.05,1625
1738596593,739.57,728.05,1625
1738596600,739.57,728.05,1625
1738596674,739.57,728.05,1625
1738597201,739.57,728.05,1625
1738598242,739.57,728.05,1625
1738598402,739.57,728.05,1625
1738598484,739.57,728.05,1625
t,ap,cp,v
1738574216,739.00,739.00,31
1738574279,739.00,739.00,31
1738574336,739.00,739.00,31
1738574399,739.00,739.00,31
1738574459,739.00,739.00,31
1738574519,740.64,741.35,71
1738574575,740.64,741.35,71
1738574638,740.64,741.35,71
1738574698,743.99,748.60,129
1738574759,743.99,748.60,129
1738574819,745.44,756.95,169
1738574879,745.44,756.95,169
1738574939,747.64,758.25,204
1738574997,747.89,758.25,209
1738575059,748.48,759.65,220
1738575117,748.48,759.65,220
1738575178,748.48,759.65,220
1738575239,748.48,759.65,220
1738575299,748.56,757.70,222
1738575358,748.56,757.70,222
1738575419,748.56,757.70,222
1738575478,748.56,757.70,222
1738575539,748.74,754.40,229
1738575597,748.87,752.35,235
1738575659,748.87,752.35,235
1738575714,748.87,752.35,235
1738575777,748.87,752.35,235
1738575838,748.87,752.35,235
1738575899,750.72,756.90,309
1738575946,750.72,756.90,309
1738576018,750.95,756.90,321
1738576079,751.07,755.00,331
1738576138,751.07,755.00,331
1738576197,751.79,753.90,443
1738576257,751.79,753.90,443
1738576314,752.16,757.10,479
1738576365,752.16,757.10,479
1738576439,752.16,757.10,479
1738576498,752.16,757.10,479
1738576559,752.16,757.10,479
1738576618,752.13,751.05,509
1738576679,752.13,751.05,509
1738576739,752.13,751.05,509
1738576796,752.13,751.05,509
1738576859,752.13,751.05,509
1738576919,752.13,751.05,509
1738576979,752.13,751.05,509
1738577037,752.13,755.25,510
1738577098,752.13,755.25,510
1738577158,752.13,755.25,510
1738577219,752.13,755.25,510
1738577279,752.14,755.80,511
1738577339,752.14,755.80,511
1738577399,752.14,755.80,511
1738577459,752.28,758.85,522
1738577518,752.28,758.85,522
1738577577,752.28,758.85,522
1738577639,752.28,758.85,522
1738577698,752.28,758.85,522
1738577757,752.28,758.85,522
1738577818,752.28,758.85,522
1738577879,752.28,758.85,522
1738577939,752.28,758.85,522
1738577999,752.28,758.85,522
1738578059,752.28,758.85,522
1738578119,752.28,758.85,522
1738578179,752.28,758.85,522
1738578239,752.28,758.85,522
1738578299,752.28,758.85,522
1738578358,752.28,758.85,522
1738578419,752.28,758.85,522
1738578478,752.28,758.85,522
1738578539,752.28,758.85,522
1738578599,752.28,758.85,522
1738578659,752.28,758.85,522
1738578717,752.28,758.85,522
1738578776,752.28,758.85,522
1738578838,752.28,758.85,522
1738578899,752.28,758.85,522
1738578959,752.28,758.85,522
1738579018,752.28,758.85,522
1738579075,752.28,758.85,522
1738579138,752.28,758.85,522
1738579199,752.28,758.85,522
1738579258,752.28,758.85,522
1738579310,752.28,758.85,522
1738579376,752.28,758.85,522
1738579435,752.28,758.85,522
1738579498,752.28,758.85,522
1738579558,752.28,758.85,522
1738579618,752.48,756.15,552
1738579679,752.48,756.15,552
1738579739,752.48,756.15,552
1738579798,752.48,756.15,552
1738579859,752.48,756.15,552
1738579918,752.39,752.55,577
1738579979,752.39,752.55,577
1738580039,752.39,752.55,577
1738580094,752.39,752.55,577
1738580157,752.39,752.55,577
1738580338,752.39,752.55,577
1738580381,752.39,752.55,577
1738580459,752.39,752.55,577
1738580518,752.39,752.55,577
1738580549,752.39,752.55,577
1738580612,752.39,752.55,577
1738580699,752.39,752.55,577
1738580735,752.39,752.55,577
1738580819,752.39,752.55,577
1738580878,752.39,752.55,577
1738580910,752.39,752.55,577
1738580996,752.27,748.80,599
1738581055,752.27,748.80,599
1738581119,752.27,748.80,599
1738581170,752.27,748.80,599
1738581225,752.27,748.80,599
1738581299,752.27,748.80,599
1738581353,752.27,748.80,599
1738581400,752.27,748.80,599
1738581453,752.27,748.80,599
1738581537,752.27,748.80,599
1738581599,752.27,748.80,599
1738581659,752.27,748.80,599
1738581719,752.27,748.80,599
1738581779,752.27,748.80,599
1738581839,752.27,748.80,599
1738581898,752.27,748.80,599
1738581959,752.27,748.80,599
1738582019,752.27,748.80,599
1738582079,752.27,748.80,599
1738582123,752.27,748.80,599
1738582198,752.27,748.80,599
1738582238,752.27,748.80,599
1738582319,752.27,748.80,599
1738582358,752.27,748.80,599
1738582431,752.27,748.80,599
1738582495,752.27,748.80,599
1738582553,752.27,748.80,599
1738582597,752.27,748.80,599
1738582679,752.27,748.80,599
1738582737,752.25,744.30,600
1738582799,752.25,744.30,600
1738582856,752.25,744.30,600
1738582916,752.25,744.30,600
1738582978,752.25,744.30,600
1738583031,752.25,744.30,600
1738583099,752.25,744.30,600
1738583159,752.25,744.30,600
1738583219,752.25,744.30,600
1738583279,752.25,744.30,600
1738583339,752.25,744.30,600
1738583398,752.25,744.30,600
1738583443,752.25,744.30,600
1738583505,752.25,744.30,600
1738583576,752.25,744.30,600
1738583615,752.25,744.30,600
1738583699,752.25,744.30,600
1738583759,752.25,744.30,600
1738583819,752.25,744.30,600
1738583842,752.25,744.30,600
1738583938,752.25,744.30,600
1738583999,752.25,744.30,600
1738584059,752.25,744.30,600
1738584118,752.25,744.30,600
1738584179,752.25,744.30,600
1738584193,752.25,744.30,600
1738584298,752.25,744.30,600
1738584359,752.25,744.30,600
1738584410,752.25,744.30,600
1738584469,751.97,743.00,619
1738584539,751.97,743.00,619
1738584599,751.97,743.00,619
1738584659,751.97,743.00,619
1738584693,751.97,743.00,619
1738584825,750.62,745.95,764
1738584897,750.62,745.95,764
1738584959,750.62,745.95,764
1738585015,750.62,745.95,764
1738585079,750.62,745.95,764
1738585138,750.62,745.95,764
1738585199,750.62,745.95,764
1738585258,750.62,745.95,764
1738585314,750.62,745.95,764
1738585346,750.62,745.95,764
1738585414,750.62,745.95,764
1738585491,750.62,745.95,764
1738585552,750.62,745.95,764
1738585619,750.62,745.95,764
1738585672,750.62,745.95,764
1738585725,750.62,745.95,764
1738585788,750.48,741.45,776
1738585859,750.48,741.45,776
1738585919,750.39,740.20,783
1738585978,750.28,738.10,791
1738586039,750.28,738.10,791
1738586099,750.28,738.10,791
1738586159,750.28,738.10,791
1738586213,750.28,738.10,791
1738586279,750.28,738.10,791
1738586338,750.28,738.10,791
1738586388,750.28,738.10,791
1738586451,750.27,737.30,792
1738586519,750.27,737.30,792
1738586579,750.27,737.30,792
1738586638,750.27,737.30,792
1738586699,750.27,737.30,792
1738586734,750.27,737.30,792
1738586819,750.27,737.30,792
1738586879,750.27,737.30,792
1738586939,750.27,737.30,792
1738586998,750.27,737.30,792
1738587058,750.25,737.30,793
1738587119,750.25,737.30,793
1738587178,750.25,737.30,793
1738587239,750.25,737.30,793
1738587298,750.25,737.30,793
1738587359,750.25,737.30,793
1738587419,747.44,734.05,972
1738587473,747.44,734.05,972
1738587529,747.44,734.05,972
1738587587,747.01,734.95,1006
1738587647,747.01,734.95,1006
1738587716,747.01,734.95,1006
1738587777,747.01,734.95,1006
1738587838,747.01,734.95,1006
1738587889,747.01,734.95,1006
1738587909,747.01,734.95,1006
1738588009,747.01,734.95,1006
1738588079,747.01,734.95,1006
1738588129,747.01,734.95,1006
1738588195,747.01,734.95,1006
1738588256,747.01,734.95,1006
1738588319,747.01,734.95,1006
1738588369,747.01,734.95,1006
1738588437,747.01,734.95,1006
1738588488,747.01,734.95,1006
1738588558,747.01,734.95,1006
1738588616,746.92,738.75,1015
1738588676,746.92,738.75,1015
1738588738,746.92,738.75,1015
1738588799,746.92,738.75,1015
1738588859,746.73,732.00,1034
1738588900,746.73,732.00,1034
1738588979,746.73,732.00,1034
1738589039,746.73,732.00,1034
1738589099,746.73,732.00,1034
1738589157,746.73,732.00,1034
1738589216,746.73,732.00,1034
1738589251,746.73,732.00,1034
1738589326,746.73,732.00,1034
1738589399,746.73,732.00,1034
1738589453,746.73,732.00,1034
1738589510,746.73,732.00,1034
1738589579,746.73,732.00,1034
1738589639,746.73,732.00,1034
1738589699,746.73,732.00,1034
1738589758,746.73,732.00,1034
1738589809,746.73,732.00,1034
1738589878,746.73,732.00,1034
1738589939,746.73,732.00,1034
1738589998,746.73,732.00,1034
1738590059,746.70,735.30,1037
1738590119,746.70,735.30,1037
1738590179,746.70,735.30,1037
1738590238,746.70,735.30,1037
1738590299,746.64,734.35,1042
1738590359,746.64,734.35,1042
1738590390,746.64,734.35,1042
1738590479,746.64,734.35,1042
1738590538,746.64,734.35,1042
1738590599,746.64,734.35,1042
1738590659,746.64,734.35,1042
1738590719,746.57,732.10,1047
1738590779,746.57,732.10,1047
1738590838,746.57,732.10,1047
1738590899,746.57,732.10,1047
1738590958,746.57,732.10,1047
1738591019,746.57,732.10,1047
1738591078,746.48,730.75,1053
1738591139,746.48,730.75,1053
1738591198,746.48,730.75,1053
1738591259,746.48,730.75,1053
1738591319,746.48,730.75,1053
1738591361,746.48,730.75,1053
1738591439,746.48,730.75,1053
1738591499,746.48,730.75,1053
1738591559,746.48,730.75,1053
1738591613,746.48,730.75,1053
1738591679,746.48,730.75,1053
1738591739,746.48,730.75,1053
1738591799,746.48,730.75,1053
1738591859,746.48,730.75,1053
1738591908,746.48,730.75,1053
1738591979,746.48,730.75,1053
1738592038,746.48,730.75,1053
1738592073,746.48,730.75,1053
1738592159,746.48,730.75,1053
1738592219,746.48,730.75,1053
1738592279,746.48,730.75,1053
1738592339,746.48,730.75,1053
1738592391,746.48,730.75,1053
1738592424,746.48,730.75,1053
1738592517,746.48,730.75,1053
1738592578,746.48,730.75,1053
1738592639,746.48,730.75,1053
1738592685,746.48,730.75,1053
1738592759,746.48,730.75,1053
1738592807,746.48,730.75,1053
1738592868,746.48,730.75,1053
1738592938,746.48,730.75,1053
1738592998,746.48,730.75,1053
1738593049,746.48,730.75,1053
1738593064,746.48,730.75,1053
1738593179,746.48,730.75,1053
1738593239,746.48,730.75,1053
1738593299,746.48,730.75,1053
1738593359,746.48,730.75,1053
1738593419,746.48,730.75,1053
1738593467,746.48,730.75,1053
1738593539,746.48,730.75,1053
1738593598,745.01,731.00,1166
1738593658,745.01,731.00,1166
1738593719,745.01,731.00,1166
1738593779,745.01,731.00,1166
1738593798,745.01,731.00,1166
1738593897,745.01,731.00,1166
1738593959,743.53,725.90,1268
1738594017,743.53,725.90,1268
1738594072,743.51,725.70,1270
1738594138,743.51,725.70,1270
1738594196,743.51,725.70,1270
1738594259,743.51,725.70,1270
1738594316,743.51,725.70,1270
1738594378,743.51,725.70,1270
1738594438,743.51,725.70,1270
1738594499,743.51,725.70,1270
1738594558,743.51,725.70,1270
1738594617,743.51,725.70,1270
1738594674,743.51,725.70,1270
1738594732,743.51,725.70,1270
1738594799,742.12,722.45,1377
1738594843,742.12,722.45,1377
1738594919,742.12,722.45,1377
1738594977,741.43,728.15,1447
1738595038,741.43,728.15,1447
1738595093,741.43,728.15,1447
1738595155,741.43,728.15,1447
1738595219,741.43,728.15,1447
1738595279,741.43,728.15,1447
1738595338,741.43,728.15,1447
1738595396,741.43,728.15,1447
1738595452,741.43,728.15,1447
1738595511,741.43,728.15,1447
1738595571,741.43,728.15,1447
1738595625,741.43,728.15,1447
1738595698,741.43,728.15,1447
1738595756,740.18,726.10,1559
1738595818,740.18,726.10,1559
1738595876,739.92,724.95,1586
1738595938,739.63,724.50,1617
1738595998,739.63,724.50,1617
1738596057,739.63,725.00,1618
1738596118,739.63,725.00,1618
1738596179,739.63,725.00,1618
1738596231,739.63,725.00,1618
1738596299,739.61,725.00,1620
1738596355,739.61,725.00,1620
1738596406,739.61,725.00,1620
1738596474,739.60,726.25,1621
1738596523,739.57,728.05,1625
1738596593,739.57,728.05,1625
1738596600,739.57,728.05,1625
1738596674,739.57,728.05,1625
1738597201,739.57,728.05,1625
1738598242,739.57,728.05,1625
1738598402,739.57,728.05,1625
1738598484,739.57,728.05,1625
t,ap,cp,v
1738574216,739.00,739.00,31
1738574279,739.00,739.00,31
1738574336,739.00,739.00,31
1738574399,739.00,739.00,31
1738574459,739.00,739.00,31
1738574519,740.64,741.35,71
1738574575,740.64,741.35,71
1738574638,740.64,741.35,71
1738574698,743.99,748.60,129
1738574759,743.99,748.60,129
1738574819,745.44,756.95,169
1738574879,745.44,756.95,169
1738574939,747.64,758.25,204
1738574997,747.89,758.25,209
1738575059,748.48,759.65,220
1738575117,748.48,759.65,220
1738575178,748.48,759.65,220
1738575239,748.48,759.65,220
1738575299,748.56,757.70,222
1738575358,748.56,757.70,222
1738575419,748.56,757.70,222
1738575478,748.56,757.70,222
1738575539,748.74,754.40,229
1738575597,748.87,752.35,235
1738575659,748.87,752.35,235
1738575714,748.87,752.35,235
1738575777,748.87,752.35,235
1738575838,748.87,752.35,235
1738575899,750.72,756.90,309
1738575946,750.72,756.90,309
1738576018,750.95,756.90,321
1738576079,751.07,755.00,331
1738576138,751.07,755.00,331
1738576197,751.79,753.90,443
1738576257,751.79,753.90,443
1738576314,752.16,757.10,479
1738576365,752.16,757.10,479
1738576439,752.16,757.10,479
1738576498,752.16,757.10,479
1738576559,752.16,757.10,479
1738576618,752.13,751.05,509
1738576679,752.13,751.05,509
1738576739,752.13,751.05,509
1738576796,752.13,751.05,509
1738576859,752.13,751.05,509
1738576919,752.13,751.05,509
1738576979,752.13,751.05,509
1738577037,752.13,755.25,510
1738577098,752.13,755.25,510
1738577158,752.13,755.25,510
1738577219,752.13,755.25,510
1738577279,752.14,755.80,511
1738577339,752.14,755.80,511
1738577399,752.14,755.80,511
1738577459,752.28,758.85,522
1738577518,752.28,758.85,522
1738577577,752.28,758.85,522
1738577639,752.28,758.85,522
1738577698,752.28,758.85,522
1738577757,752.28,758.85,522
1738577818,752.28,758.85,522
1738577879,752.28,758.85,522
1738577939,752.28,758.85,522
1738577999,752.28,758.85,522
1738578059,752.28,758.85,522
1738578119,752.28,758.85,522
1738578179,752.28,758.85,522
1738578239,752.28,758.85,522
1738578299,752.28,758.85,522
1738578358,752.28,758.85,522
1738578419,752.28,758.85,522
1738578478,752.28,758.85,522
1738578539,752.28,758.85,522
1738578599,752.28,758.85,522
1738578659,752.28,758.85,522
1738578717,752.28,758.85,522
1738578776,752.28,758.85,522
1738578838,752.28,758.85,522
1738578899,752.28,758.85,522
1738578959,752.28,758.85,522
1738579018,752.28,758.85,522
1738579075,752.28,758.85,522
1738579138,752.28,758.85,522
1738579199,752.28,758.85,522
1738579258,752.28,758.85,522
1738579310,752.28,758.85,522
1738579376,752.28,758.85,522
1738579435,752.28,758.85,522
1738579498,752.28,758.85,522
1738579558,752.28,758.85,522
1738579618,752.48,756.15,552
1738579679,752.48,756.15,552
1738579739,752.48,756.15,552
1738579798,752.48,756.15,552
1738579859,752.48,756.15,552
1738579918,752.39,752.55,577
1738579979,752.39,752.55,577
1738580039,752.39,752.55,577
1738580094,752.39,752.55,577
1738580157,752.39,752.55,577
1738580338,752.39,752.55,577
1738580381,752.39,752.55,577
1738580459,752.39,752.55,577
1738580518,752.39,752.55,577
1738580549,752.39,752.55,577
1738580612,752.39,752.55,577
1738580699,752.39,752.55,577
1738580735,752.39,752.55,577
1738580819,752.39,752.55,577
1738580878,752.39,752.55,577
1738580910,752.39,752.55,577
1738580996,752.27,748.80,599
1738581055,752.27,748.80,599
1738581119,752.27,748.80,599
1738581170,752.27,748.80,599
1738581225,752.27,748.80,599
1738581299,752.27,748.80,599
1738581353,752.27,748.80,599
1738581400,752.27,748.80,599
1738581453,752.27,748.80,599
1738581537,752.27,748.80,599
1738581599,752.27,748.80,599
1738581659,752.27,748.80,599
1738581719,752.27,748.80,599
1738581779,752.27,748.80,599
1738581839,752.27,748.80,599
1738581898,752.27,748.80,599
1738581959,752.27,748.80,599
1738582019,752.27,748.80,599
1738582079,752.27,748.80,599
1738582123,752.27,748.80,599
1738582198,752.27,748.80,599
1738582238,752.27,748.80,599
1738582319,752.27,748.80,599
1738582358,752.27,748.80,599
1738582431,752.27,748.80,599
1738582495,752.27,748.80,599
1738582553,752.27,748.80,599
1738582597,752.27,748.80,599
1738582679,752.27,748.80,599
1738582737,752.25,744.30,600
1738582799,752.25,744.30,600
1738582856,752.25,744.30,600
1738582916,752.25,744.30,600
1738582978,752.25,744.30,600
1738583031,752.25,744.30,600
1738583099,752.25,744.30,600
1738583159,752.25,744.30,600
1738583219,752.25,744.30,600
1738583279,752.25,744.30,600
1738583339,752.25,744.30,600
1738583398,752.25,744.30,600
1738583443,752.25,744.30,600
1738583505,752.25,744.30,600
1738583576,752.25,744.30,600
1738583615,752.25,744.30,600
