t,ap,cp,v
1738575539,5887.69,5956.85,646
1738575597,5888.51,5972.00,653
1738575659,5890.04,5972.00,666
1738575714,5890.16,5974.95,667
1738575778,5891.08,5997.55,674
1738575838,5891.08,5997.55,674
1738575899,5891.21,5978.50,675
1738575958,5891.31,5963.75,676
1738576017,5891.31,5963.75,676
1738576077,5891.31,5963.75,676
1738576139,5891.31,5963.75,676
1738576197,5892.48,5963.75,687
1738576258,5892.81,5973.50,690
1738576318,5892.81,5973.50,690
1738576373,5894.06,5965.00,703
1738576438,5894.06,5965.00,703
1738576499,5895.51,5950.00,720
1738576559,5896.09,5920.95,734
1738576616,5896.09,5920.95,734
1738576679,5896.41,5916.05,743
1738576739,5896.57,5921.35,749
1738576799,5896.78,5923.10,755
1738576857,5897.01,5920.00,762
1738576919,5897.01,5920.00,762
1738576978,5897.06,5937.55,763
1738577039,5897.96,5939.95,780
1738577098,5897.96,5939.95,780
1738577159,5898.54,5933.95,793
1738577219,5898.58,5937.50,794
1738577278,5898.68,5944.70,796
1738577339,5900.32,5920.50,856
1738577399,5900.32,5920.50,856
1738577459,5901.82,5955.00,887
1738577518,5902.24,5935.25,898
1738577579,5902.30,5950.00,899
1738577638,5902.30,5950.00,899
1738577698,5902.30,5950.00,899
1738577759,5903.13,5937.65,920
1738577819,5903.18,5947.40,921
1738577877,5903.18,5947.40,921
1738577937,5903.18,5947.40,921
1738577997,5904.10,5947.00,944
1738578059,5904.10,5947.00,944
1738578119,5904.38,5949.55,950
1738578179,5904.62,5955.00,956
1738578239,5904.62,5955.00,956
1738578298,5904.77,5947.30,959
1738578358,5904.77,5947.30,959
1738578418,5904.77,5947.30,959
1738578479,5904.95,5962.85,962
1738578539,5905.00,5947.65,963
1738578597,5905.02,5930.50,964
1738578659,5905.02,5930.50,964
1738578718,5905.02,5930.50,964
1738578779,5905.02,5930.50,964
1738578834,5905.09,5930.10,966
1738578899,5905.09,5930.10,966
1738578959,5905.09,5930.10,966
1738579017,5905.09,5930.10,966
1738579078,5905.27,5935.65,972
1738579139,5905.31,5934.70,973
1738579198,5905.31,5934.70,973
1738579259,5905.35,5945.00,974
1738579317,5906.22,5935.30,995
1738579379,5906.59,5932.85,1009
1738579439,5906.63,5944.05,1010
1738579498,5906.65,5936.20,1011
1738579559,5906.71,5935.30,1013
1738579615,5906.91,5940.00,1019
1738579679,5906.94,5939.95,1020
1738579739,5907.72,5939.95,1045
1738579799,5908.46,5939.25,1070
1738579859,5908.52,5939.95,1072
1738579918,5908.63,5940.00,1076
1738579978,5908.66,5939.95,1077
1738580039,5908.66,5939.95,1077
1738580097,5908.76,5930.10,1082
1738580153,5908.81,5934.90,1084
1738580219,5908.81,5934.90,1084
1738580268,5908.89,5939.95,1087
1738580330,5909.49,5926.30,1113
1738580398,5909.52,5938.50,1114
1738580459,5909.52,5938.50,1114
1738580519,5909.52,5938.50,1114
1738580578,5909.52,5938.50,1114
1738580639,5909.52,5938.50,1114
1738580699,5909.57,5939.65,1116
1738580755,5909.57,5939.65,1116
1738580811,5909.57,5939.65,1116
1738580879,5909.57,5939.65,1116
1738580937,5909.65,5925.75,1122
1738580998,5909.65,5925.75,1122
1738581057,5910.31,5925.00,1172
1738581119,5910.64,5925.00,1199
1738581174,5910.66,5925.00,1201
1738581228,5910.91,5925.00,1222
1738581299,5910.91,5925.00,1222
1738581356,5910.91,5925.00,1222
1738581417,5911.07,5923.15,1239
1738581478,5911.07,5923.15,1239
1738581539,5911.09,5919.95,1242
1738581599,5911.27,5930.00,1254
1738581656,5914.86,5939.90,1514
1738581718,5914.86,5939.90,1514
1738581779,5915.03,5928.05,1532
1738581828,5915.07,5930.30,1536
1738581898,5915.07,5930.30,1536
1738581959,5915.07,5930.30,1536
1738582018,5915.07,5930.30,1536
1738582079,5915.07,5930.30,1536
1738582133,5915.07,5920.00,1537
1738582199,5915.07,5923.60,1538
1738582259,5915.14,5925.50,1552
1738582315,5915.14,5925.50,1552
1738582376,5915.14,5925.50,1552
1738582437,5915.14,5925.50,1552
1738582498,5915.14,5923.50,1553
1738582558,5915.15,5924.45,1554
1738582619,5915.15,5924.45,1554
1738582673,5915.16,5924.45,1555
1738582739,5914.93,5904.05,1593
1738582799,5914.82,5901.00,1606
1738582859,5914.82,5901.00,1606
1738582919,5914.82,5901.00,1606
1738582974,5914.82,5901.00,1606
1738583029,5914.82,5907.00,1607
1738583096,5914.82,5907.00,1607
1738583156,5914.82,5907.00,1607
1738583216,5914.81,5907.00,1608
1738583279,5914.81,5907.00,1608
1738583338,5914.81,5907.00,1608
1738583391,5914.81,5913.45,1609
1738583459,5914.81,5913.45,1609
1738583518,5914.81,5913.50,1612
1738583579,5914.81,5913.50,1614
1738583639,5914.80,5906.05,1615
1738583696,5914.80,5906.05,1615
1738583751,5914.75,5901.05,1624
1738583819,5914.70,5906.00,1632
1738583878,5914.70,5906.00,1632
1738583939,5914.66,5901.00,1637
1738583993,5914.65,5901.05,1638
1738584055,5914.64,5915.10,1640
1738584119,5914.64,5915.10,1640
1738584167,5914.64,5915.10,1640
1738584239,5914.64,5913.45,1641
1738584296,5914.64,5913.45,1641
1738584359,5914.64,5913.45,1641
1738584418,5914.64,5913.45,1641
1738584475,5914.64,5913.45,1641
1738584538,5914.64,5913.45,1641
1738584599,5914.63,5901.05,1643
1738584659,5914.61,5901.05,1646
1738584714,5914.61,5901.05,1646
1738584779,5914.61,5901.05,1646
1738584837,5914.50,5902.20,1662
1738584897,5914.50,5902.20,1662
1738584957,5914.50,5902.20,1662
1738585019,5914.50,5902.20,1662
1738585078,5914.49,5907.25,1663
1738585138,5914.49,5907.25,1663
1738585199,5914.51,5907.25,1670
1738585259,5914.51,5907.25,1670
1738585319,5914.51,5907.25,1670
1738585377,5914.51,5907.25,1670
1738585439,5914.51,5907.25,1670
1738585499,5914.51,5907.25,1670
1738585557,5914.46,5905.80,1680
1738585617,5914.46,5905.80,1680
1738585679,5914.47,5923.10,1682
1738585738,5914.47,5923.10,1682
1738585798,5914.47,5923.10,1682
1738585859,5914.47,5923.10,1682
1738585919,5914.47,5923.10,1682
1738585976,5914.45,5910.45,1692
1738586039,5914.45,5910.45,1692
1738586099,5914.45,5910.45,1692
1738586156,5914.45,5910.70,1693
1738586209,5914.45,5910.70,1693
1738586279,5914.45,5910.70,1693
1738586337,5914.45,5910.55,1694
1738586397,5914.45,5910.55,1694
1738586459,5914.45,5910.55,1694
1738586515,5914.45,5910.55,1694
1738586577,5914.44,5910.95,1695
1738586639,5914.45,5923.10,1696
1738586699,5914.45,5923.10,1696
1738586756,5914.46,5918.30,1700
1738586818,5914.46,5915.95,1702
1738586879,5914.15,5904.55,1772
1738586938,5914.15,5904.55,1772
1738586998,5914.15,5904.55,1772
1738587059,5914.15,5904.55,1772
1738587118,5914.21,5917.45,1828
1738587179,5914.21,5917.45,1828
1738587239,5914.21,5917.45,1828
1738587299,5914.21,5917.45,1828
1738587349,5914.21,5917.45,1828
1738587419,5914.20,5904.60,1830
1738587479,5914.22,5918.30,1840
1738587539,5914.23,5910.20,1843
1738587599,5914.23,5910.20,1843
1738587659,5914.23,5910.20,1843
1738587718,5914.23,5910.20,1843
1738587774,5914.23,5910.20,1843
1738587836,5914.23,5910.20,1843
1738587899,5914.23,5910.20,1843
1738587958,5914.23,5916.25,1851
1738588011,5914.23,5912.30,1853
1738588079,5914.23,5912.30,1853
1738588132,5914.23,5912.30,1853
1738588198,5914.30,5925.55,1864
1738588259,5914.30,5925.55,1864
1738588319,5914.30,5918.50,1865
1738588378,5914.30,5918.50,1865
1738588439,5914.31,5921.50,1867
1738588499,5914.31,5921.50,1867
1738588559,5914.31,5921.50,1867
1738588619,5914.31,5921.50,1867
1738588679,5914.31,5921.50,1867
1738588733,5914.31,5921.50,1867
1738588798,5914.37,5920.00,1877
1738588857,5914.37,5920.00,1877
1738588919,5914.37,5920.00,1877
1738588979,5914.37,5920.00,1877
1738589036,5914.40,5924.65,1883
1738589099,5914.40,5924.65,1883
1738589158,5914.42,5927.85,1887
1738589219,5914.42,5927.85,1887
1738589278,5914.50,5930.35,1896
1738589339,5914.50,5930.35,1896
1738589399,5914.48,5925.40,1930
1738589452,5914.48,5925.40,1930
1738589518,5914.48,5925.40,1930
1738589579,5914.49,5920.25,1932
1738589639,5914.49,5920.25,1932
1738589696,5914.49,5920.25,1932
1738589757,5914.53,5914.10,1946
1738589812,5914.53,5914.10,1946
1738589879,5914.53,5914.10,1946
1738589938,5914.55,5925.50,1950
1738589999,5914.55,5925.50,1950
1738590058,5914.55,5925.50,1950
1738590110,5914.55,5925.50,1950
1738590179,5914.55,5925.50,1950
1738590237,5914.55,5925.50,1950
1738590299,5914.55,5925.50,1950
1738590358,5914.55,5925.50,1950
1738590418,5914.55,5925.50,1950
1738590479,5914.55,5925.50,1950
1738590539,5914.57,5937.50,1952
1738590598,5914.57,5937.50,1952
1738590657,5914.57,5937.50,1952
1738590719,5914.80,5935.15,1977
1738590778,5914.80,5935.15,1977
1738590839,5914.80,5935.15,1977
1738590897,5914.80,5935.15,1977
1738590959,5914.80,5935.15,1977
1738591016,5914.80,5935.15,1977
1738591078,5914.80,5935.15,1977
1738591138,5914.80,5935.15,1977
1738591199,5914.80,5935.15,1977
1738591254,5914.80,5935.15,1977
1738591318,5914.80,5935.15,1977
1738591377,5914.82,5921.20,1981
1738591434,5914.82,5921.20,1981
1738591499,5914.82,5921.20,1981
1738591559,5914.83,5935.00,1982
1738591618,5914.83,5935.00,1982
1738591679,5914.83,5935.00,1982
1738591733,5914.83,5935.00,1982
1738591799,5914.83,5935.00,1982
1738591856,5914.83,5920.00,1983
1738591915,5914.89,5919.50,2007
1738591979,5914.92,5932.65,2012
1738592035,5914.92,5932.65,2012
1738592099,5914.92,5932.65,2012
1738592159,5914.92,5918.70,2013
1738592219,5914.95,5920.00,2023
1738592277,5914.98,5927.90,2029
1738592337,5914.98,5927.90,2029
1738592399,5914.98,5927.90,2029
1738592456,5915.10,5930.00,2045
1738592518,5915.10,5930.00,2045
1738592579,5915.11,5931.95,2047
1738592638,5915.12,5931.95,2048
1738592693,5915.12,5931.95,2048
1738592756,5915.18,5930.05,2056
1738592814,5915.19,5932.00,2057
1738592879,5915.19,5932.00,2057
1738592932,5915.22,5929.70,2130
1738592995,5915.22,5929.70,2130
1738593058,5915.22,5921.90,2131
1738593118,5915.23,5921.90,2134
1738593178,5915.23,5921.90,2134
1738593220,5915.23,5921.90,2134
1738593289,5915.24,5926.95,2136
1738593359,5915.24,5926.95,2136
1738593416,5915.25,5930.25,2137
1738593474,5915.26,5930.25,2138
1738593538,5915.26,5930.25,2138
1738593595,5915.26,5930.25,2138
1738593654,5915.26,5917.05,2142
1738593706,5915.26,5917.05,2142
1738593776,5915.26,5917.05,2142
1738593839,5915.26,5917.05,2142
1738593899,5915.26,5917.05,2142
1738593957,5915.27,5928.80,2143
1738594001,5915.27,5928.80,2143
1738594079,5915.27,5928.80,2143
1738594134,5915.27,5928.80,2143
1738594194,5915.29,5915.00,2164
1738594259,5915.29,5916.15,2166
1738594319,5915.29,5916.15,2166
1738594373,5915.29,5916.15,2166
1738594439,5915.29,5916.15,2166
1738594497,5915.29,5916.15,2166
1738594558,5915.29,5916.15,2166
1738594617,5915.30,5925.90,2168
1738594671,5915.32,5925.50,2172
1738594739,5915.30,5925.85,2236
1738594791,5915.30,5925.85,2236
1738594857,5915.55,5935.00,2277
1738594919,5915.55,5935.00,2277
1738594978,5912.14,5917.55,2954
1738595039,5912.14,5917.55,2955
1738595096,5912.14,5917.55,2955
1738595156,5912.14,5917.55,2955
1738595219,5912.14,5917.55,2955
1738595279,5912.14,5917.55,2955
1738595339,5912.25,5924.35,2981
1738595399,5912.30,5932.50,2989
1738595457,5912.57,5919.70,3026
1738595519,5912.57,5919.70,3026
1738595578,5912.57,5917.00,3027
1738595639,5912.58,5923.90,3030
1738595699,5912.58,5923.90,3030
1738595759,5912.58,5921.45,3031
1738595819,5912.59,5917.95,3036
1738595878,5912.60,5917.65,3039
1738595939,5912.60,5915.25,3044
1738595999,5912.60,5914.35,3051
1738596059,5912.60,5914.35,3051
1738596119,5912.60,5914.35,3051
1738596179,5912.60,5914.35,3051
1738596239,5912.61,5909.85,3071
1738596299,5912.69,5910.00,3106
1738596349,5912.69,5928.10,3109
1738596417,5912.72,5927.95,3121
1738596474,5912.77,5943.70,3131
1738596539,5912.79,5938.90,3133
1738596599,5912.85,5918.30,3141
1738596600,5912.85,5918.30,3141
1738596680,5912.85,5918.30,3141
1738597225,5912.85,5918.30,3141
1738597791,5912.85,5918.30,3141
1738597862,5912.85,5918.30,3141
1738597934,5912.85,5918.30,3141
1738598280,5912.84,5906.80,3143
1738598402,5912.84,5906.80,3143
1738598488,5912.84,5906.80,3143
1738573640,5800.15,5800.15,274
1738573705,5800.15,5800.15,274
1738573740,5800.15,5800.15,274
1738574159,5842.25,5928.30,397
1738574215,5844.21,5940.00,405
1738574278,5844.47,5949.05,406
1738574338,5845.01,5961.50,408
1738574398,5846.67,5961.45,414
1738574457,5850.10,5956.00,429
1738574519,5854.38,5927.05,454
1738574579,5859.01,5920.90,485
1738574638,5859.88,5940.00,490
1738574698,5860.02,5930.50,491
1738574759,5860.34,5939.90,493
1738574818,5867.18,5995.15,527
1738574879,5870.62,6000.00,541
1738574939,5872.07,5994.10,547
1738574999,5872.30,6000.00,548
1738575058,5874.58,5988.00,559
1738575119,5874.99,5990.35,561
1738575178,5877.50,5995.15,573
1738575239,5880.85,5967.45,593
1738575298,5881.27,5965.00,596
1738575358,5881.43,5972.35,597
1738575419,5885.52,5967.35,628
1738575477,5887.04,5969.80,640
1738575539,5887.69,5956.85,646
1738575597,5888.51,5972.00,653
1738575659,5890.04,5972.00,666
1738575714,5890.16,5974.95,667
1738575778,5891.08,5997.55,674
1738575838,5891.08,5997.55,674
1738575899,5891.21,5978.50,675
1738575958,5891.31,5963.75,676
1738576017,5891.31,5963.75,676
1738576077,5891.31,5963.75,676
1738576139,5891.31,5963.75,676
1738576197,5892.48,5963.75,687
1738576258,5892.81,5973.50,690
1738576318,5892.81,5973.50,690
1738576373,5894.06,5965.00,703
1738576438,5894.06,5965.00,703
1738576499,5895.51,5950.00,720
1738576559,5896.09,5920.95,734
1738576616,5896.09,5920.95,734
1738576679,5896.41,5916.05,743
1738576739,5896.57,5921.35,749
1738576799,5896.78,5923.10,755
1738576857,5897.01,5920.00,762
1738576919,5897.01,5920.00,762
1738576978,5897.06,5937.55,763
1738577039,5897.96,5939.95,780
1738577098,5897.96,5939.95,780
1738577159,5898.54,5933.95,793
1738577219,5898.58,5937.50,794
1738577278,5898.68,5944.70,796
1738577339,5900.32,5920.50,856
1738577399,5900.32,5920.50,856
1738577459,5901.82,5955.00,887
1738577518,5902.24,5935.25,898
1738577579,5902.30,5950.00,899
1738577638,5902.30,5950.00,899
1738577698,5902.30,5950.00,899
1738577759,5903.13,5937.65,920
1738577819,5903.18,5947.40,921
1738577877,5903.18,5947.40,921
1738577937,5903.18,5947.40,921
1738577997,5904.10,5947.00,944
1738578059,5904.10,5947.00,944
1738578119,5904.38,5949.55,950
1738578179,5904.62,5955.00,956
1738578239,5904.62,5955.00,956
1738578298,5904.77,5947.30,959
1738578358,5904.77,5947.30,959
1738578418,5904.77,5947.30,959
1738578479,5904.95,5962.85,962
1738578539,5905.00,5947.65,963
1738578597,5905.02,5930.50,964
1738578659,5905.02,5930.50,964
1738578718,5905.02,5930.50,964
1738578779,5905.02,5930.50,964
1738578834,5905.09,5930.10,966
1738578899,5905.09,5930.10,966
1738578959,5905.09,5930.10,966
1738579017,5905.09,5930.10,966
1738579078,5905.27,5935.65,972
1738579139,5905.31,5934.70,973
1738579198,5905.31,5934.70,973
1738579259,5905.35,5945.00,974
1738579317,5906.22,5935.30,995
1738579379,5906.59,5932.85,1009
1738579439,5906.63,5944.05,1010
1738579498,5906.65,5936.20,1011
1738579559,5906.71,5935.30,1013
1738579615,5906.91,5940.00,1019
1738579679,5906.94,5939.95,1020
1738579739,5907.72,5939.95,1045
1738579799,5908.46,5939.25,1070
1738579859,5908.52,5939.95,1072
1738579918,5908.63,5940.00,1076
1738579978,5908.66,5939.95,1077
1738580039,5908.66,5939.95,1077
1738580097,5908.76,5930.10,1082
1738580153,5908.81,5934.90,1084
1738580219,5908.81,5934.90,1084
1738580268,5908.89,5939.95,1087
1738580330,5909.49,5926.30,1113
1738580398,5909.52,5938.50,1114
1738580459,5909.52,5938.50,1114
1738580519,5909.52,5938.50,1114
1738580578,5909.52,5938.50,1114
1738580639,5909.52,5938.50,1114
1738580699,5909.57,5939.65,1116
1738580755,5909.57,5939.65,1116
1738580811,5909.57,5939.65,1116
1738580879,5909.57,5939.65,1116
1738580937,5909.65,5925.75,1122
1738580998,5909.65,5925.75,1122
1738581057,5910.31,5925.00,1172
1738581119,5910.64,5925.00,1199
1738581174,5910.66,5925.00,1201
1738581228,5910.91,5925.00,1222
1738581299,5910.91,5925.00,1222
1738581356,5910.91,5925.00,1222
1738581417,5911.07,5923.15,1239
1738581478,5911.07,5923.15,1239
1738581539,5911.09,5919.95,1242
1738581599,5911.27,5930.00,1254
1738581656,5914.86,5939.90,1514
1738581718,5914.86,5939.90,1514
1738581779,5915.03,5928.05,1532
1738581828,5915.07,5930.30,1536
1738581898,5915.07,5930.30,1536
1738581959,5915.07,5930.30,1536
1738582018,5915.07,5930.30,1536
1738582079,5915.07,5930.30,1536
1738582133,5915.07,5920.00,1537
1738582199,5915.07,5923.60,1538
1738582259,5915.14,5925.50,1552
1738582315,5915.14,5925.50,1552
1738582376,5915.14,5925.50,1552
1738582437,5915.14,5925.50,1552
1738582498,5915.14,5923.50,1553
1738582558,5915.15,5924.45,1554
1738582619,5915.15,5924.45,1554
1738582673,5915.16,5924.45,1555
1738582739,5914.93,5904.05,1593
1738582799,5914.82,5901.00,1606
1738582859,5914.82,5901.00,1606
1738582919,5914.82,5901.00,1606
1738582974,5914.82,5901.00,1606
1738583029,5914.82,5907.00,1607
1738583096,5914.82,5907.00,1607
1738583156,5914.82,5907.00,1607
1738583216,5914.81,5907.00,1608
1738583279,5914.81,5907.00,1608
1738583338,5914.81,5907.00,1608
1738583391,5914.81,5913.45,1609
1738583459,5914.81,5913.45,1609
1738583518,5914.81,5913.50,1612
1738583579,5914.81,5913.50,1614
1738583639,5914.80,5906.05,1615
1738583696,5914.80,5906.05,1615
1738583751,5914.75,5901.05,1624
1738583819,5914.70,5906.00,1632
1738583878,5914.70,5906.00,1632
1738583939,5914.66,5901.00,1637
1738583993,5914.65,5901.05,1638
1738584055,5914.64,5915.10,1640
1738584119,5914.64,5915.10,1640
1738584167,5914.64,5915.10,1640
1738584239,5914.64,5913.45,1641
1738584296,5914.64,5913.45,1641
1738584359,5914.64,5913.45,1641
1738584418,5914.64,5913.45,1641
1738584475,5914.64,5913.45,1641
1738584538,5914.64,5913.45,1641
1738584599,5914.63,5901.05,1643
1738584659,5914.61,5901.05,1646
1738584714,5914.61,5901.05,1646
1738584779,5914.61,5901.05,1646
1738584837,5914.50,5902.20,1662
1738584897,5914.50,5902.20,1662
1738584957,5914.50,5902.20,1662
1738585019,5914.50,5902.20,1662
1738585078,5914.49,5907.25,1663
1738585138,5914.49,5907.25,1663
1738585199,5914.51,5907.25,1670
1738585259,5914.51,5907.25,1670
1738585319,5914.51,5907.25,1670
1738585377,5914.51,5907.25,1670
1738585439,5914.51,5907.25,1670
1738585499,5914.51,5907.25,1670
1738585557,5914.46,5905.80,1680
1738585617,5914.46,5905.80,1680
1738585679,5914.47,5923.10,1682
1738585738,5914.47,5923.10,1682
1738585798,5914.47,5923.10,1682
1738585859,5914.47,5923.10,1682
1738585919,5914.47,5923.10,1682
1738585976,5914.45,5910.45,1692
1738586039,5914.45,5910.45,1692
1738586099,5914.45,5910.45,1692
1738586156,5914.45,5910.70,1693
1738586209,5914.45,5910.70,1693
1738586279,5914.45,5910.70,1693
1738586337,5914.45,5910.55,1694
1738586397,5914.45,5910.55,1694
1738586459,5914.45,5910.55,1694
1738586515,5914.45,5910.55,1694
1738586577,5914.44,5910.95,1695
1738586639,5914.45,5923.10,1696
1738586699,5914.45,5923.10,1696
1738586756,5914.46,5918.30,1700
1738586818,5914.46,5915.95,1702
1738586879,5914.15,5904.55,1772
1738586938,5914.15,5904.55,1772
1738586998,5914.15,5904.55,1772
1738587059,5914.15,5904.55,1772
1738587118,5914.21,5917.45,1828
1738587179,5914.21,5917.45,1828
1738587239,5914.21,5917.45,1828
1738587299,5914.21,5917.45,1828
1738587349,5914.21,5917.45,1828
1738587419,5914.20,5904.60,1830
1738587479,5914.22,5918.30,1840
1738587539,5914.23,5910.20,1843
1738587599,5914.23,5910.20,1843
1738587659,5914.23,5910.20,1843
1738587718,5914.23,5910.20,1843
1738587774,5914.23,5910.20,1843
1738587836,5914.23,5910.20,1843
1738587899,5914.23,5910.20,1843
1738587958,5914.23,5916.25,1851
1738588011,5914.23,5912.30,1853
1738588079,5914.23,5912.30,1853
1738588132,5914.23,5912.30,1853
1738588198,5914.30,5925.55,1864
1738588259,5914.30,5925.55,1864
1738588319,5914.30,5918.50,1865
1738588378,5914.30,5918.50,1865
1738588439,5914.31,5921.50,1867
1738588499,5914.31,5921.50,1867
1738588559,5914.31,5921.50,1867
1738588619,5914.31,5921.50,1867
1738588679,5914.31,5921.50,1867
1738588733,5914.31,5921.50,1867
1738588798,5914.37,5920.00,1877
1738588857,5914.37,5920.00,1877
1738588919,5914.37,5920.00,1877
1738588979,5914.37,5920.00,1877
1738589036,5914.40,5924.65,1883
1738589099,5914.40,5924.65,1883
1738589158,5914.42,5927.85,1887
1738589219,5914.42,5927.85,1887
1738589278,5914.50,5930.35,1896
1738589339,5914.50,5930.35,1896
1738589399,5914.48,5925.40,1930
1738589452,5914.48,5925.40,1930
1738589518,5914.48,5925.40,1930
1738589579,5914.49,5920.25,1932
1738589639,5914.49,5920.25,1932
1738589696,5914.49,5920.25,1932
1738589757,5914.53,5914.10,1946
1738589812,5914.53,5914.10,1946
1738589879,5914.53,5914.10,1946
1738589938,5914.55,5925.50,1950
1738589999,5914.55,5925.50,1950
1738590058,5914.55,5925.50,1950
1738590110,5914.55,5925.50,1950
1738590179,5914.55,5925.50,1950
1738590237,5914.55,5925.50,1950
1738590299,5914.55,5925.50,1950
1738590358,5914.55,5925.50,1950
1738590418,5914.55,5925.50,1950
1738590479,5914.55,5925.50,1950
1738590539,5914.57,5937.50,1952
1738590598,5914.57,5937.50,1952
1738590657,5914.57,5937.50,1952
1738590719,5914.80,5935.15,1977
1738590778,5914.80,5935.15,1977
1738590839,5914.80,5935.15,1977
1738590897,5914.80,5935.15,1977
1738590959,5914.80,5935.15,1977
1738591016,5914.80,5935.15,1977
1738591078,5914.80,5935.15,1977
1738591138,5914.80,5935.15,1977
1738591199,5914.80,5935.15,1977
1738591254,5914.80,5935.15,1977
1738591318,5914.80,5935.15,1977
1738591377,5914.82,5921.20,1981
1738591434,5914.82,5921.20,1981
1738591499,5914.82,5921.20,1981
1738591559,5914.83,5935.00,1982
1738591618,5914.83,5935.00,1982
1738591679,5914.83,5935.00,1982
1738591733,5914.83,5935.00,1982
1738591799,5914.83,5935.00,1982
1738591856,5914.83,5920.00,1983
1738591915,5914.89,5919.50,2007
1738591979,5914.92,5932.65,2012
1738592035,5914.92,5932.65,2012
1738592099,5914.92,5932.65,2012
1738592159,5914.92,5918.70,2013
1738592219,5914.95,5920.00,2023
1738592277,5914.98,5927.90,2029
1738592337,5914.98,5927.90,2029
1738592399,5914.98,5927.90,2029
1738592456,5915.10,5930.00,2045
1738592518,5915.10,5930.00,2045
1738592579,5915.11,5931.95,2047
1738592638,5915.12,5931.95,2048
1738592693,5915.12,5931.95,2048
1738592756,5915.18,5930.05,2056
1738592814,5915.19,5932.00,2057
1738592879,5915.19,5932.00,2057
1738592932,5915.22,5929.70,2130
1738592995,5915.22,5929.70,2130
1738593058,5915.22,5921.90,2131
1738593118,5915.23,5921.90,2134
1738593178,5915.23,5921.90,2134
1738593220,5915.23,5921.90,2134
1738593289,5915.24,5926.95,2136
1738593359,5915.24,5926.95,2136
1738593416,5915.25,5930.25,2137
1738593474,5915.26,5930.25,2138
1738593538,5915.26,5930.25,2138
1738593595,5915.26,5930.25,2138
1738593654,5915.26,5917.05,2142
1738593706,5915.26,5917.05,2142
1738593776,5915.26,5917.05,2142
1738593839,5915.26,5917.05,2142
1738593899,5915.26,5917.05,2142
1738593957,5915.27,5928.80,2143
1738594001,5915.27,5928.80,2143
1738594079,5915.27,5928.80,2143
1738594134,5915.27,5928.80,2143
1738594194,5915.29,5915.00,2164
1738594259,5915.29,5916.15,2166
1738594319,5915.29,5916.15,2166
1738594373,5915.29,5916.15,2166
1738594439,5915.29,5916.15,2166
1738594497,5915.29,5916.15,2166
1738594558,5915.29,5916.15,2166
1738594617,5915.30,5925.90,2168
1738594671,5915.32,5925.50,2172
1738594739,5915.30,5925.85,2236
1738594791,5915.30,5925.85,2236
1738594857,5915.55,5935.00,2277
1738594919,5915.55,5935.00,2277
1738594978,5912.14,5917.55,2954
1738595039,5912.14,5917.55,2955
1738595096,5912.14,5917.55,2955
1738595156,5912.14,5917.55,2955
1738595219,5912.14,5917.55,2955
1738595279,5912.14,5917.55,2955
1738595339,5912.25,5924.35,2981
1738595399,5912.30,5932.50,2989
1738595457,5912.57,5919.70,3026
1738595519,5912.57,5919.70,3026
1738595578,5912.57,5917.00,3027
1738595639,5912.58,5923.90,3030
1738595699,5912.58,5923.90,3030
1738595759,5912.58,5921.45,3031
1738595819,5912.59,5917.95,3036
1738595878,5912.60,5917.65,3039
1738595939,5912.60,5915.25,3044
1738595999,5912.60,5914.35,3051
1738596059,5912.60,5914.35,3051
1738596119,5912.60,5914.35,3051
1738596179,5912.60,5914.35,3051
1738596239,5912.61,5909.85,3071
1738596299,5912.69,5910.00,3106
1738596349,5912.69,5928.10,3109
1738596417,5912.72,5927.95,3121
1738596474,5912.77,5943.70,3131
1738596539,5912.79,5938.90,3133
1738596599,5912.85,5918.30,3141
1738596600,5912.85,5918.30,3141
1738596680,5912.85,5918.30,3141
1738597225,5912.85,5918.30,3141
1738597791,5912.85,5918.30,3141
1738597862,5912.85,5918.30,3141
1738597934,5912.85,5918.30,3141
1738598280,5912.84,5906.80,3143
1738598402,5912.84,5906.80,3143
1738598488,5912.84,5906.80,3143
1738573640,5800.15,5800.15,274
1738573705,5800.15,5800.15,274
1738573740,5800.15,5800.15,274
1738574159,5842.25,5928.30,397
1738574215,5844.21,5940.00,405
1738574278,5844.47,5949.05,406
1738574338,5845.01,5961.50,408
1738574398,5846.67,5961.45,414
1738574457,5850.10,5956.00,429
1738574519,5854.38,5927.05,454
1738574579,5859.01,5920.90,485
1738574638,5859.88,5940.00,490
1738574698,5860.02,5930.50,491
1738574759,5860.34,5939.90,493
1738574818,5867.18,5995.15,527
1738574879,5870.62,6000.00,541
1738574939,5872.07,5994.10,547
1738574999,5872.30,6000.00,548
1738575058,5874.58,5988.00,559
1738575119,5874.99,5990.35,561
1738575178,5877.50,5995.15,573
1738575239,5880.85,5967.45,593
1738575298,5881.27,5965.00,596
1738575358,5881.43,5972.35,597
1738575419,5885.52,5967.35,628
1738575477,5887.04,5969.80,640
1738575539,5887.69,5956.85,646
1738575597,5888.51,5972.00,653
1738575659,5890.04,5972.00,666
1738575714,5890.16,5974.95,667
1738575778,5891.08,5997.55,674
1738575838,5891.08,5997.55,674
1738575899,5891.21,5978.50,675
1738575958,5891.31,5963.75,676
1738576017,5891.31,5963.75,676
1738576077,5891.31,5963.75,676
1738576139,5891.31,5963.75,676
1738576197,5892.48,5963.75,687
1738576258,5892.81,5973.50,690
1738576318,5892.81,5973.50,690
