t,ap,cp,v
1738573634,175.60,175.60,2203
1738573740,175.60,175.60,2203
1738573875,175.60,175.60,2203
1738574159,175.61,175.70,11610
1738574219,175.39,175.75,14159
1738574279,175.46,176.25,16031
1738574339,175.52,175.60,17779
1738574399,175.49,176.05,18975
1738574459,175.66,176.90,21456
1738574519,175.70,177.20,22013
1738574578,175.74,177.25,22737
1738574639,175.84,177.50,24118
1738574699,176.28,178.50,29200
1738574759,176.53,179.00,32140
1738574819,176.91,179.85,37223
1738574879,178.16,181.60,55641
1738574939,178.72,181.80,64749
1738574999,178.85,182.00,67202
1738575059,178.96,181.70,69595
1738575119,179.06,181.35,72514
1738575179,179.29,182.00,79086
1738575239,179.38,181.00,82370
1738575299,179.52,180.60,89079
1738575359,179.54,180.40,91549
1738575419,179.74,181.00,109807
1738575479,179.76,180.95,111639
1738575539,179.78,180.60,114737
1738575599,179.82,181.65,117981
1738575659,179.96,181.50,126057
1738575719,180.01,180.35,133026
1738575779,180.02,180.30,135305
1738575839,180.02,179.65,139405
1738575899,180.01,179.55,142455
1738575959,180.01,180.00,146099
1738576019,180.01,180.45,147017
1738576079,180.02,181.00,149135
1738576139,180.04,180.40,152080
1738576199,180.04,180.00,154296
1738576259,180.04,180.65,154485
1738576319,180.07,181.90,158004
1738576379,180.11,181.80,161873
1738576439,180.17,181.85,167316
1738576499,180.29,182.50,178085
1738576559,180.35,182.00,184739
1738576619,180.60,182.60,204578
1738576679,180.61,181.95,206172
1738576739,180.62,181.95,208663
1738576799,180.63,181.95,209283
1738576859,180.64,182.40,210911
1738576919,180.76,183.00,221465
1738576979,180.77,182.85,222450
1738577039,180.78,182.70,223419
1738577099,180.87,182.25,233327
1738577159,180.95,182.55,246466
1738577219,180.98,183.00,250874
1738577279,181.01,181.90,259953
1738577339,181.03,182.65,262259
1738577399,181.12,182.95,274776
1738577459,181.13,183.35,276524
1738577519,181.17,183.70,281248
1738577579,181.31,183.70,297170
1738577639,181.32,183.20,298012
1738577699,181.33,182.65,299413
1738577759,181.35,183.00,303910
1738577819,181.36,183.00,304464
1738577879,181.37,183.45,306124
1738577939,181.37,183.00,307592
1738577999,181.38,182.40,309595
1738578059,181.39,182.45,312726
1738578119,181.39,182.40,312942
1738578179,181.40,183.30,314020
1738578239,181.40,182.65,315403
1738578299,181.41,182.60,316057
1738578359,181.41,182.60,316851
1738578419,181.45,182.90,326325
1738578479,181.46,183.30,328135
1738578539,181.46,183.35,328452
1738578599,181.47,183.30,330730
1738578659,181.48,182.70,332165
1738578719,181.49,183.55,333757
1738578779,181.49,182.80,334767
1738578839,181.50,183.05,335643
1738578899,181.50,182.80,335732
1738578959,181.50,182.80,336787
1738579019,181.51,182.65,338722
1738579079,181.51,182.50,339382
1738579139,181.51,182.00,340891
1738579199,181.52,181.95,361545
1738579259,181.52,182.55,363269
1738579319,181.52,182.05,363364
1738579379,181.52,181.80,363739
1738579439,181.52,182.10,364091
1738579499,181.52,182.00,364201
1738579559,181.53,182.10,366622
1738579618,181.53,182.30,366812
1738579679,181.53,182.10,368228
1738579739,181.53,181.85,368636
1738579799,181.53,182.15,368856
1738579859,181.53,182.05,369625
1738579919,181.53,181.95,370114
1738579979,181.53,182.20,372589
1738580039,181.54,182.15,374164
1738580099,181.54,182.10,374561
1738580159,181.54,181.80,375555
1738580219,181.54,181.95,376061
1738580279,181.54,181.95,376743
1738580339,181.54,182.15,376760
1738580399,181.54,181.80,377728
1738580459,181.54,181.75,378137
1738580519,181.54,181.40,378509
1738580578,181.54,181.35,378807
1738580639,181.54,181.80,379760
1738580699,181.54,181.80,379760
1738580759,181.54,181.30,380680
1738580819,181.54,181.30,381340
1738580879,181.54,180.80,382956
1738580939,181.54,180.90,384581
1738580999,181.54,180.65,384767
1738581059,181.53,180.90,389800
1738581119,181.53,180.90,391126
1738581179,181.52,180.80,392311
1738581239,181.52,180.70,392362
1738581299,181.52,180.90,393662
1738581359,181.51,180.35,398657
1738581419,181.50,180.80,401602
1738581479,181.50,180.80,403071
1738581537,181.50,180.80,406429
1738581599,181.49,180.95,407621
1738581659,181.49,180.90,408692
1738581719,181.49,181.15,409836
1738581779,181.49,181.80,410183
1738581839,181.49,181.80,411098
1738581899,181.49,181.45,411159
1738581958,181.49,181.25,414097
1738582019,181.49,181.05,415201
1738582079,181.49,180.85,416375
1738582139,181.49,180.30,417192
1738582199,181.49,180.40,417489
1738582259,181.48,180.40,417689
1738582319,181.48,180.25,418390
1738582379,181.48,180.30,418473
1738582439,181.48,180.45,419811
1738582499,181.48,180.55,420182
1738582559,181.48,180.85,420320
1738582619,181.48,181.15,420487
1738582679,181.48,181.00,421541
1738582739,181.48,181.15,421656
1738582799,181.47,180.75,424783
1738582859,181.47,180.65,425023
1738582919,181.46,180.75,431097
1738582979,181.46,180.75,431332
1738583038,181.46,181.15,432189
1738583099,181.45,181.50,432869
1738583159,181.46,181.80,434636
1738583219,181.46,181.35,435051
1738583279,181.46,181.35,435113
1738583339,181.46,181.45,435336
1738583399,181.47,183.00,441011
1738583459,181.48,182.25,444150
1738583519,181.48,182.20,447867
1738583579,181.48,182.10,447915
1738583639,181.48,182.10,448295
1738583699,181.49,182.40,449303
1738583759,181.49,182.00,453523
1738583819,181.49,182.10,453753
1738583879,181.49,181.50,453800
1738583939,181.49,181.85,453920
1738583998,181.49,181.60,454051
1738584058,181.49,181.75,454130
1738584119,181.49,181.55,465328
1738584179,181.49,180.60,468304
1738584239,181.49,180.90,468691
1738584299,181.49,180.85,469766
1738584359,181.46,180.10,481460
1738584419,181.45,180.10,482446
1738584478,181.45,180.00,482580
1738584539,181.45,179.90,482890
1738584599,181.45,180.00,483238
1738584659,181.45,179.85,483298
1738584718,181.45,179.90,483304
1738584779,181.45,179.90,483304
1738584837,181.45,179.90,483496
1738584899,181.45,179.85,483526
1738584959,181.45,179.85,483526
1738585019,181.45,180.05,483863
1738585079,181.45,179.80,483883
1738585139,181.45,179.80,483883
1738585199,181.44,179.90,485818
1738585259,181.44,179.70,486092
1738585319,181.44,179.75,486142
1738585378,181.44,180.00,486222
1738585439,181.44,180.00,486224
1738585499,181.43,179.70,488415
1738585558,181.43,180.05,489773
1738585619,181.43,180.90,490128
1738585679,181.43,180.95,490415
1738585739,181.43,180.75,493392
1738585799,181.43,180.80,493634
1738585859,181.43,181.00,493973
1738585919,181.43,180.95,494147
1738585978,181.43,180.80,494175
1738586039,181.43,181.00,494482
1738586099,181.42,180.25,495493
1738586159,181.42,180.65,495593
1738586219,181.42,180.25,495685
1738586278,181.42,179.95,495845
1738586339,181.42,179.85,496045
1738586398,181.42,180.25,496098
1738586458,181.42,180.25,496699
1738586519,181.42,180.50,496728
1738586579,181.42,180.05,496818
1738586639,181.42,180.30,497818
1738586699,181.42,179.75,498626
1738586759,181.42,179.90,498669
1738586819,181.42,180.00,498741
1738586879,181.41,179.90,499061
1738586939,181.41,180.25,500529
1738586999,181.41,180.25,500556
1738587059,181.41,180.05,500576
1738587119,181.41,180.05,500578
1738587178,181.41,180.05,500578
1738587239,181.40,180.20,503214
1738587299,181.40,180.25,503514
1738587359,181.40,180.20,503543
1738587419,181.40,180.25,503671
1738587479,181.40,179.85,503940
1738587539,181.40,179.85,503940
1738587598,181.40,180.00,504265
1738587659,181.40,180.00,504551
1738587719,181.40,180.15,504562
1738587779,181.40,180.15,504714
1738587838,181.40,179.90,504902
1738587899,181.40,179.85,505476
1738587959,181.39,179.90,506758
1738588019,181.39,180.00,507450
1738588079,181.39,180.00,507450
1738588139,181.39,180.30,509652
1738588198,181.39,180.50,510032
1738588259,181.39,180.25,510069
1738588319,181.39,180.55,510165
1738588379,181.38,180.75,510313
1738588439,181.38,180.60,510354
1738588499,181.38,180.60,510383
1738588559,181.38,180.50,510564
1738588619,181.38,180.55,512600
1738588679,181.38,181.10,513683
1738588739,181.38,181.75,514995
1738588799,181.38,181.00,517505
1738588859,181.38,180.65,517643
1738588919,181.38,180.50,518714
1738588979,181.38,180.45,518726
1738589039,181.37,180.05,520233
1738589099,181.37,180.05,520459
1738589159,181.37,179.85,520609
1738589219,181.37,180.20,522693
1738589279,181.37,180.10,523098
1738589339,181.37,180.10,523098
1738589399,181.37,180.00,523204
1738589459,181.37,179.80,523374
1738589519,181.37,179.90,523375
1738589579,181.37,180.05,523854
1738589639,181.37,180.05,523873
1738589699,181.37,180.25,523916
1738589759,181.37,180.50,523963
1738589819,181.37,180.45,524068
1738589879,181.36,180.35,524395
1738589939,181.36,180.30,524403
1738589999,181.36,180.30,524403
1738590058,181.36,180.25,524453
1738590119,181.36,180.25,524453
1738590179,181.36,180.00,524954
1738590239,181.36,179.90,525030
1738590299,181.36,180.00,525121
1738590359,181.36,179.90,525321
1738590419,181.36,179.90,525321
1738590479,181.36,180.35,525421
1738590539,181.36,180.05,525431
1738590599,181.36,180.05,525431
1738590659,181.36,180.05,525431
1738590719,181.36,180.05,525431
1738590779,181.36,180.05,525591
1738590839,181.36,180.05,525791
1738590899,181.31,180.00,553654
1738590959,181.31,179.95,553680
1738591019,181.28,179.45,564472
1738591079,181.27,179.00,565627
1738591139,181.27,179.50,566199
1738591199,181.27,179.40,566742
1738591259,181.27,179.40,566767
1738591319,181.27,179.35,567054
1738591379,181.27,179.50,567114
1738591439,181.27,179.30,567166
1738591499,181.27,179.45,567191
1738591559,181.27,179.40,567192
1738591619,181.27,179.25,567603
1738591679,181.27,179.50,567719
1738591739,181.27,179.00,568434
1738591799,181.26,179.00,568607
1738591858,181.26,178.95,568725
1738591919,181.26,178.90,568973
1738591978,181.26,178.95,569215
1738592039,181.26,179.00,569310
1738592099,181.26,179.00,569310
1738592159,181.26,179.00,569310
1738592219,181.26,179.10,569766
1738592279,181.24,179.10,575356
1738592339,181.24,179.30,575525
1738592397,181.24,179.35,575631
1738592459,181.24,179.20,575851
1738592519,181.23,179.25,576897
1738592579,181.23,179.40,576924
1738592639,181.23,179.30,576954
1738592699,181.23,179.45,577054
1738592758,181.23,179.45,577054
1738592819,181.23,179.30,577154
1738592879,181.23,178.80,577315
1738592939,181.23,179.05,577317
1738592999,181.23,179.05,577317
1738593056,181.23,178.85,577411
1738593119,181.23,178.85,577475
1738593179,181.23,178.85,577475
1738593239,181.23,178.85,577533
1738593299,181.23,178.85,577687
1738593359,181.23,178.90,577853
1738593419,181.23,179.10,577943
1738593479,181.22,178.85,579670
1738593539,181.22,178.95,580446
1738593599,181.22,178.95,580692
1738593659,181.22,178.85,581016
1738593718,181.22,179.00,581024
1738593778,181.16,178.90,598021
1738593839,181.16,178.90,598063
1738593899,181.16,179.05,598083
1738593959,181.16,178.90,598136
1738594019,181.16,178.90,598136
1738594079,181.15,179.00,600115
1738594139,181.15,178.95,601125
1738594199,181.14,178.90,603211
1738594258,181.14,178.90,603351
1738594319,181.14,179.00,604016
1738594379,181.14,179.05,604026
1738594439,181.14,178.90,604032
1738594499,181.13,178.95,605671
1738594559,181.13,178.90,605697
1738594617,181.13,178.95,605717
1738594677,181.13,179.00,605718
1738594739,181.13,178.90,606015
1738594799,181.13,178.90,606016
1738594859,181.13,179.10,606416
1738594919,181.13,178.90,606470
1738594979,181.13,178.90,606470
1738595039,181.13,178.90,606646
1738595099,181.13,179.05,607297
1738595159,181.12,178.85,607533
1738595219,181.12,178.80,607614
1738595279,181.12,179.05,607625
1738595339,181.12,179.10,607845
1738595399,181.12,179.00,607846
1738595459,181.12,179.00,608285
1738595518,181.12,178.85,608505
1738595579,181.12,178.90,608588
1738595639,181.12,178.85,608886
1738595699,181.12,178.90,609116
1738595759,181.11,178.80,611608
1738595819,181.10,178.90,614280
1738595877,181.10,178.95,614407
1738595939,181.10,178.80,615190
1738595999,181.09,178.85,615757
1738596057,181.09,178.90,615783
1738596119,181.09,179.00,615884
1738596179,181.09,178.70,616095
1738596239,181.09,178.45,618298
1738596299,181.08,178.40,620650
1738596359,181.07,178.80,621285
1738596419,181.07,179.00,621832
1738596479,181.07,178.80,622232
1738596538,181.06,179.15,624978
1738596599,181.06,179.15,625099
1738596627,181.06,179.15,625099
1738596675,181.06,179.15,625099
1738596738,181.06,179.15,625099
1738597232,181.06,178.80,625108
1738597312,181.06,178.80,625108
1738597423,181.06,178.80,625108
1738597571,181.06,178.80,625108
1738597632,181.06,178.80,625116
1738597722,181.06,178.80,625116
1738597811,181.06,178.80,625116
1738598008,181.06,178.80,625117
1738598389,181.06,178.80,625120
1738598401,181.06,178.80,625120
1738598485,181.06,178.80,625120
t,ap,cp,v
1738573634,175.60,175.60,2203
1738573740,175.60,175.60,2203
1738573875,175.60,175.60,2203
1738574159,175.61,175.70,11610
1738574219,175.39,175.75,14159
1738574279,175.46,176.25,16031
1738574339,175.52,175.60,17779
1738574399,175.49,176.05,18975
1738574459,175.66,176.90,21456
1738574519,175.70,177.20,22013
1738574578,175.74,177.25,22737
1738574639,175.84,177.50,24118
1738574699,176.28,178.50,29200
1738574759,176.53,179.00,32140
1738574819,176.91,179.85,37223
1738574879,178.16,181.60,55641
1738574939,178.72,181.80,64749
1738574999,178.85,182.00,67202
1738575059,178.96,181.70,69595
1738575119,179.06,181.35,72514
1738575179,179.29,182.00,79086
1738575239,179.38,181.00,82370
1738575299,179.52,180.60,89079
1738575359,179.54,180.40,91549
1738575419,179.74,181.00,109807
1738575479,179.76,180.95,111639
1738575539,179.78,180.60,114737
1738575599,179.82,181.65,117981
1738575659,179.96,181.50,126057
1738575719,180.01,180.35,133026
1738575779,180.02,180.30,135305
1738575839,180.02,179.65,139405
1738575899,180.01,179.55,142455
1738575959,180.01,180.00,146099
1738576019,180.01,180.45,147017
1738576079,180.02,181.00,149135
1738576139,180.04,180.40,152080
1738576199,180.04,180.00,154296
1738576259,180.04,180.65,154485
1738576319,180.07,181.90,158004
1738576379,180.11,181.80,161873
1738576439,180.17,181.85,167316
1738576499,180.29,182.50,178085
1738576559,180.35,182.00,184739
1738576619,180.60,182.60,204578
1738576679,180.61,181.95,206172
1738576739,180.62,181.95,208663
1738576799,180.63,181.95,209283
1738576859,180.64,182.40,210911
1738576919,180.76,183.00,221465
1738576979,180.77,182.85,222450
1738577039,180.78,182.70,223419
1738577099,180.87,182.25,233327
1738577159,180.95,182.55,246466
1738577219,180.98,183.00,250874
1738577279,181.01,181.90,259953
1738577339,181.03,182.65,262259
1738577399,181.12,182.95,274776
1738577459,181.13,183.35,276524
1738577519,181.17,183.70,281248
1738577579,181.31,183.70,297170
1738577639,181.32,183.20,298012
1738577699,181.33,182.65,299413
1738577759,181.35,183.00,303910
1738577819,181.36,183.00,304464
1738577879,181.37,183.45,306124
1738577939,181.37,183.00,307592
1738577999,181.38,182.40,309595
1738578059,181.39,182.45,312726
1738578119,181.39,182.40,312942
1738578179,181.40,183.30,314020
1738578239,181.40,182.65,315403
1738578299,181.41,182.60,316057
1738578359,181.41,182.60,316851
1738578419,181.45,182.90,326325
1738578479,181.46,183.30,328135
1738578539,181.46,183.35,328452
1738578599,181.47,183.30,330730
1738578659,181.48,182.70,332165
1738578719,181.49,183.55,333757
1738578779,181.49,182.80,334767
1738578839,181.50,183.05,335643
1738578899,181.50,182.80,335732
1738578959,181.50,182.80,336787
1738579019,181.51,182.65,338722
1738579079,181.51,182.50,339382
1738579139,181.51,182.00,340891
1738579199,181.52,181.95,361545
1738579259,181.52,182.55,363269
1738579319,181.52,182.05,363364
1738579379,181.52,181.80,363739
1738579439,181.52,182.10,364091
1738579499,181.52,182.00,364201
1738579559,181.53,182.10,366622
1738579618,181.53,182.30,366812
1738579679,181.53,182.10,368228
1738579739,181.53,181.85,368636
1738579799,181.53,182.15,368856
1738579859,181.53,182.05,369625
1738579919,181.53,181.95,370114
1738579979,181.53,182.20,372589
1738580039,181.54,182.15,374164
1738580099,181.54,182.10,374561
1738580159,181.54,181.80,375555
1738580219,181.54,181.95,376061
1738580279,181.54,181.95,376743
1738580339,181.54,182.15,376760
1738580399,181.54,181.80,377728
1738580459,181.54,181.75,378137
1738580519,181.54,181.40,378509
1738580578,181.54,181.35,378807
1738580639,181.54,181.80,379760
1738580699,181.54,181.80,379760
1738580759,181.54,181.30,380680
1738580819,181.54,181.30,381340
1738580879,181.54,180.80,382956
1738580939,181.54,180.90,384581
1738580999,181.54,180.65,384767
1738581059,181.53,180.90,389800
1738581119,181.53,180.90,391126
1738581179,181.52,180.80,392311
1738581239,181.52,180.70,392362
1738581299,181.52,180.90,393662
1738581359,181.51,180.35,398657
1738581419,181.50,180.80,401602
1738581479,181.50,180.80,403071
1738581537,181.50,180.80,406429
1738581599,181.49,180.95,407621
1738581659,181.49,180.90,408692
1738581719,181.49,181.15,409836
1738581779,181.49,181.80,410183
1738581839,181.49,181.80,411098
1738581899,181.49,181.45,411159
1738581958,181.49,181.25,414097
1738582019,181.49,181.05,415201
1738582079,181.49,180.85,416375
1738582139,181.49,180.30,417192
1738582199,181.49,180.40,417489
1738582259,181.48,180.40,417689
1738582319,181.48,180.25,418390
1738582379,181.48,180.30,418473
1738582439,181.48,180.45,419811
1738582499,181.48,180.55,420182
1738582559,181.48,180.85,420320
1738582619,181.48,181.15,420487
1738582679,181.48,181.00,421541
1738582739,181.48,181.15,421656
1738582799,181.47,180.75,424783
1738582859,181.47,180.65,425023
1738582919,181.46,180.75,431097
1738582979,181.46,180.75,431332
1738583038,181.46,181.15,432189
1738583099,181.45,181.50,432869
1738583159,181.46,181.80,434636
1738583219,181.46,181.35,435051
1738583279,181.46,181.35,435113
1738583339,181.46,181.45,435336
1738583399,181.47,183.00,441011
1738583459,181.48,182.25,444150
1738583519,181.48,182.20,447867
1738583579,181.48,182.10,447915
1738583639,181.48,182.10,448295
1738583699,181.49,182.40,449303
1738583759,181.49,182.00,453523
1738583819,181.49,182.10,453753
1738583879,181.49,181.50,453800
1738583939,181.49,181.85,453920
1738583998,181.49,181.60,454051
1738584058,181.49,181.75,454130
1738584119,181.49,181.55,465328
1738584179,181.49,180.60,468304
1738584239,181.49,180.90,468691
1738584299,181.49,180.85,469766
1738584359,181.46,180.10,481460
1738584419,181.45,180.10,482446
1738584478,181.45,180.00,482580
1738584539,181.45,179.90,482890
1738584599,181.45,180.00,483238
1738584659,181.45,179.85,483298
1738584718,181.45,179.90,483304
1738584779,181.45,179.90,483304
1738584837,181.45,179.90,483496
1738584899,181.45,179.85,483526
1738584959,181.45,179.85,483526
1738585019,181.45,180.05,483863
1738585079,181.45,179.80,483883
1738585139,181.45,179.80,483883
1738585199,181.44,179.90,485818
1738585259,181.44,179.70,486092
1738585319,181.44,179.75,486142
1738585378,181.44,180.00,486222
1738585439,181.44,180.00,486224
1738585499,181.43,179.70,488415
1738585558,181.43,180.05,489773
1738585619,181.43,180.90,490128
1738585679,181.43,180.95,490415
1738585739,181.43,180.75,493392
1738585799,181.43,180.80,493634
1738585859,181.43,181.00,493973
1738585919,181.43,180.95,494147
1738585978,181.43,180.80,494175
1738586039,181.43,181.00,494482
1738586099,181.42,180.25,495493
1738586159,181.42,180.65,495593
1738586219,181.42,180.25,495685
1738586278,181.42,179.95,495845
1738586339,181.42,179.85,496045
1738586398,181.42,180.25,496098
1738586458,181.42,180.25,496699
1738586519,181.42,180.50,496728
1738586579,181.42,180.05,496818
1738586639,181.42,180.30,497818
1738586699,181.42,179.75,498626
1738586759,181.42,179.90,498669
1738586819,181.42,180.00,498741
1738586879,181.41,179.90,499061
1738586939,181.41,180.25,500529
1738586999,181.41,180.25,500556
1738587059,181.41,180.05,500576
1738587119,181.41,180.05,500578
1738587178,181.41,180.05,500578
1738587239,181.40,180.20,503214
1738587299,181.40,180.25,503514
1738587359,181.40,180.20,503543
1738587419,181.40,180.25,503671
1738587479,181.40,179.85,503940
1738587539,181.40,179.85,503940
1738587598,181.40,180.00,504265
1738587659,181.40,180.00,504551
1738587719,181.40,180.15,504562
1738587779,181.40,180.15,504714
1738587838,181.40,179.90,504902
1738587899,181.40,179.85,505476
1738587959,181.39,179.90,506758
1738588019,181.39,180.00,507450
1738588079,181.39,180.00,507450
1738588139,181.39,180.30,509652
1738588198,181.39,180.50,510032
1738588259,181.39,180.25,510069
1738588319,181.39,180.55,510165
1738588379,181.38,180.75,510313
1738588439,181.38,180.60,510354
1738588499,181.38,180.60,510383
1738588559,181.38,180.50,510564
1738588619,181.38,180.55,512600
1738588679,181.38,181.10,513683
1738588739,181.38,181.75,514995
1738588799,181.38,181.00,517505
1738588859,181.38,180.65,517643
1738588919,181.38,180.50,518714
1738588979,181.38,180.45,518726
1738589039,181.37,180.05,520233
1738589099,181.37,180.05,520459
1738589159,181.37,179.85,520609
1738589219,181.37,180.20,522693
1738589279,181.37,180.10,523098
1738589339,181.37,180.10,523098
1738589399,181.37,180.00,523204
1738589459,181.37,179.80,523374
1738589519,181.37,179.90,523375
1738589579,181.37,180.05,523854
1738589639,181.37,180.05,523873
1738589699,181.37,180.25,523916
1738589759,181.37,180.50,523963
1738589819,181.37,180.45,524068
1738589879,181.36,180.35,524395
1738589939,181.36,180.30,524403
1738589999,181.36,180.30,524403
1738590058,181.36,180.25,524453
1738590119,181.36,180.25,524453
1738590179,181.36,180.00,524954
1738590239,181.36,179.90,525030
1738590299,181.36,180.00,525121
1738590359,181.36,179.90,525321
1738590419,181.36,179.90,525321
1738590479,181.36,180.35,525421
1738590539,181.36,180.05,525431
1738590599,181.36,180.05,525431
1738590659,181.36,180.05,525431
1738590719,181.36,180.05,525431
1738590779,181.36,180.05,525591
1738590839,181.36,180.05,525791
1738590899,181.31,180.00,553654
1738590959,181.31,179.95,553680
1738591019,181.28,179.45,564472
1738591079,181.27,179.00,565627
1738591139,181.27,179.50,566199
1738591199,181.27,179.40,566742
1738591259,181.27,179.40,566767
1738591319,181.27,179.35,567054
1738591379,181.27,179.50,567114
1738591439,181.27,179.30,567166
1738591499,181.27,179.45,567191
1738591559,181.27,179.40,567192
1738591619,181.27,179.25,567603
1738591679,181.27,179.50,567719
1738591739,181.27,179.00,568434
1738591799,181.26,179.00,568607
1738591858,181.26,178.95,568725
1738591919,181.26,178.90,568973
1738591978,181.26,178.95,569215
1738592039,181.26,179.00,569310
1738592099,181.26,179.00,569310
1738592159,181.26,179.00,569310
1738592219,181.26,179.10,569766
1738592279,181.24,179.10,575356
1738592339,181.24,179.30,575525
1738592397,181.24,179.35,575631
1738592459,181.24,179.20,575851
1738592519,181.23,179.25,576897
1738592579,181.23,179.40,576924
1738592639,181.23,179.30,576954
1738592699,181.23,179.45,577054
1738592758,181.23,179.45,577054
1738592819,181.23,179.30,577154
1738592879,181.23,178.80,577315
1738592939,181.23,179.05,577317
1738592999,181.23,179.05,577317
1738593056,181.23,178.85,577411
1738593119,181.23,178.85,577475
1738593179,181.23,178.85,577475
1738593239,181.23,178.85,577533
1738593299,181.23,178.85,577687
1738593359,181.23,178.90,577853
1738593419,181.23,179.10,577943
1738593479,181.22,178.85,579670
1738593539,181.22,178.95,580446
1738593599,181.22,178.95,580692
1738593659,181.22,178.85,581016
1738593718,181.22,179.00,581024
1738593778,181.16,178.90,598021
1738593839,181.16,178.90,598063
1738593899,181.16,179.05,598083
1738593959,181.16,178.90,598136
1738594019,181.16,178.90,598136
1738594079,181.15,179.00,600115
1738594139,181.15,178.95,601125
1738594199,181.14,178.90,603211
1738594258,181.14,178.90,603351
1738594319,181.14,179.00,604016
1738594379,181.14,179.05,604026
1738594439,181.14,178.90,604032
1738594499,181.13,178.95,605671
1738594559,181.13,178.90,605697
1738594617,181.13,178.95,605717
1738594677,181.13,179.00,605718
1738594739,181.13,178.90,606015
1738594799,181.13,178.90,606016
1738594859,181.13,179.10,606416
1738594919,181.13,178.90,606470
1738594979,181.13,178.90,606470
1738595039,181.13,178.90,606646
1738595099,181.13,179.05,607297
1738595159,181.12,178.85,607533
1738595219,181.12,178.80,607614
1738595279,181.12,179.05,607625
1738595339,181.12,179.10,607845
1738595399,181.12,179.00,607846
1738595459,181.12,179.00,608285
1738595518,181.12,178.85,608505
1738595579,181.12,178.90,608588
1738595639,181.12,178.85,608886
1738595699,181.12,178.90,609116
1738595759,181.11,178.80,611608
1738595819,181.10,178.90,614280
1738595877,181.10,178.95,614407
1738595939,181.10,178.80,615190
1738595999,181.09,178.85,615757
1738596057,181.09,178.90,615783
1738596119,181.09,179.00,615884
1738596179,181.09,178.70,616095
1738596239,181.09,178.45,618298
1738596299,181.08,178.40,620650
1738596359,181.07,178.80,621285
1738596419,181.07,179.00,621832
1738596479,181.07,178.80,622232
1738596538,181.06,179.15,624978
1738596599,181.06,179.15,625099
1738596627,181.06,179.15,625099
1738596675,181.06,179.15,625099
1738596738,181.06,179.15,625099
1738597232,181.06,178.80,625108
1738597312,181.06,178.80,625108
1738597423,181.06,178.80,625108
1738597571,181.06,178.80,625108
1738597632,181.06,178.80,625116
1738597722,181.06,178.80,625116
1738597811,181.06,178.80,625116
1738598008,181.06,178.80,625117
1738598389,181.06,178.80,625120
1738598401,181.06,178.80,625120
1738598485,181.06,178.80,625120
t,ap,cp,v
1738573634,175.60,175.60,2203
1738573740,175.60,175.60,2203
1738573875,175.60,175.60,2203
1738574159,175.61,175.70,11610
1738574219,175.39,175.75,14159
1738574279,175.46,176.25,16031
1738574339,175.52,175.60,17779
1738574399,175.49,176.05,18975
1738574459,175.66,176.90,21456
1738574519,175.70,177.20,22013
1738574578,175.74,177.25,22737
1738574639,175.84,177.50,24118
1738574699,176.28,178.50,29200
1738574759,176.53,179.00,32140
1738574819,176.91,179.85,37223
1738574879,178.16,181.60,55641
1738574939,178.72,181.80,64749
1738574999,178.85,182.00,67202
1738575059,178.96,181.70,69595
1738575119,179.06,181.35,72514
1738575179,179.29,182.00,79086
1738575239,179.38,181.00,82370
1738575299,179.52,180.60,89079
1738575359,179.54,180.40,91549
1738575419,179.74,181.00,109807
1738575479,179.76,180.95,111639
1738575539,179.78,180.60,114737
1738575599,179.82,181.65,117981
1738575659,179.96,181.50,126057
1738575719,180.01,180.35,133026
1738575779,180.02,180.30,135305
1738575839,180.02,179.65,139405
1738575899,180.01,179.55,142455
1738575959,180.01,180.00,146099
1738576019,180.01,180.45,147017
1738576079,180.02,181.00,149135
1738576139,180.04,180.40,152080
1738576199,180.04,180.00,154296
1738576259,180.04,180.65,154485
1738576319,180.07,181.90,158004
1738576379,180.11,181.80,161873
1738576439,180.17,181.85,167316
1738576499,180.29,182.50,178085
1738576559,180.35,182.00,184739
1738576619,180.60,182.60,204578
1738576679,180.61,181.95,206172
1738576739,180.62,181.95,208663
1738576799,180.63,181.95,209283
1738576859,180.64,182.40,210911
1738576919,180.76,183.00,221465
1738576979,180.77,182.85,222450
1738577039,180.78,182.70,223419
1738577099,180.87,182.25,233327
1738577159,180.95,182.55,246466
1738577219,180.98,183.00,250874
1738577279,181.01,181.90,259953
1738577339,181.03,182.65,262259
1738577399,181.12,182.95,274776
1738577459,181.13,183.35,276524
1738577519,181.17,183.70,281248
1738577579,181.31,183.70,297170
1738577639,181.32,183.20,298012
1738577699,181.33,182.65,299413
1738577759,181.35,183.00,303910
1738577819,181.36,183.00,304464
1738577879,181.37,183.45,306124
1738577939,181.37,183.00,307592
1738577999,181.38,182.40,309595
1738578059,181.39,182.45,312726
1738578119,181.39,182.40,312942
1738578179,181.40,183.30,314020
1738578239,181.40,182.65,315403
1738578299,181.41,182.60,316057
1738578359,181.41,182.60,316851
1738578419,181.45,182.90,326325
1738578479,181.46,183.30,328135
1738578539,181.46,183.35,328452
1738578599,181.47,183.30,330730
