t,ap,cp,v
1738573635,194.35,194.35,959
1738573705,194.35,194.35,959
1738573740,194.35,194.35,959
1738574159,193.55,193.10,6138
1738574219,193.58,193.10,7832
1738574279,193.66,193.75,9487
1738574339,193.70,193.75,10412
1738574399,193.72,193.85,10888
1738574459,193.73,194.10,11523
1738574518,193.72,193.60,12192
1738574579,193.74,194.50,13244
1738574639,193.75,194.45,13563
1738574699,193.76,194.45,13929
1738574758,193.82,195.05,14941
1738574819,193.91,196.40,15664
1738574879,194.10,196.35,17244
1738574939,194.11,195.55,17281
1738574999,194.13,195.50,17568
1738575059,194.14,195.40,17825
1738575119,194.30,195.70,20739
1738575179,194.31,194.95,20888
1738575239,194.32,194.65,21659
1738575299,194.32,194.55,21691
1738575359,194.34,194.80,22741
1738575419,194.34,194.60,22922
1738575479,194.35,194.95,23689
1738575539,194.35,194.30,23940
1738575599,194.35,194.40,24159
1738575659,194.34,194.55,25615
1738575719,194.34,194.40,25658
1738575779,194.34,194.25,25670
1738575839,194.35,194.65,26686
1738575899,194.35,194.30,27501
1738575959,194.35,194.05,27803
1738576019,194.34,194.10,28322
1738576079,194.34,193.80,28617
1738576139,194.32,193.35,29037
1738576199,194.31,192.95,29359
1738576258,194.30,193.20,29503
1738576319,194.30,193.20,29764
1738576379,194.27,192.95,30335
1738576439,194.27,193.00,30362
1738576499,194.25,193.10,30809
1738576559,194.25,193.10,30809
1738576619,194.25,193.40,30840
1738576679,194.24,193.00,31028
1738576739,194.24,192.50,31040
1738576799,194.24,192.90,31073
1738576859,194.23,192.90,31228
1738576919,194.23,193.45,31252
1738576979,194.23,193.05,31329
1738577039,194.23,193.05,31329
1738577099,194.23,193.50,31339
1738577159,194.23,193.40,31354
1738577219,194.22,193.20,31654
1738577279,194.17,193.00,33606
1738577339,194.17,193.70,33658
1738577399,194.16,193.30,34184
1738577459,194.16,193.45,34261
1738577519,194.16,193.45,34262
1738577579,194.14,193.25,35125
1738577639,194.13,193.15,35583
1738577699,194.12,193.00,35772
1738577759,194.12,193.20,35833
1738577819,194.12,193.55,35835
1738577877,194.12,193.65,35887
1738577939,194.12,193.50,35990
1738577999,194.12,193.60,36190
1738578059,194.12,193.30,36211
1738578117,194.11,193.50,36271
1738578179,194.11,193.70,36341
1738578239,194.11,193.45,36412
1738578299,194.11,193.60,36422
1738578359,194.11,193.40,36657
1738578419,194.11,193.20,36662
1738578479,194.11,193.20,36662
1738578539,194.11,193.25,36687
1738578599,194.10,193.30,36746
1738578659,194.10,193.60,36792
1738578719,194.10,193.70,36987
1738578779,194.10,193.20,37222
1738578839,194.09,193.55,37324
1738578899,194.09,193.65,37360
1738578959,194.09,193.70,37407
1738579019,194.09,193.70,37434
1738579079,194.09,193.60,37746
1738579139,194.09,193.60,37786
1738579197,194.08,193.20,38098
1738579259,194.08,193.60,38214
1738579319,194.08,193.60,38214
1738579379,194.08,194.00,38323
1738579438,194.07,194.40,45230
1738579499,194.07,194.45,45417
1738579559,194.09,194.50,47137
1738579619,194.10,195.20,47606
1738579679,194.10,195.20,47606
1738579739,194.10,194.95,47855
1738579799,194.11,194.90,47938
1738579859,194.11,195.35,48031
1738579919,194.11,195.05,48042
1738579979,194.11,195.25,48054
1738580039,194.11,195.00,48068
1738580099,194.11,195.10,48118
1738580159,194.11,195.20,48246
1738580219,194.11,195.00,48314
1738580279,194.12,195.00,48414
1738580339,194.12,195.25,48500
1738580399,194.14,195.25,49366
1738580459,194.14,195.40,49450
1738580519,194.16,195.35,50347
1738580579,194.16,195.20,50469
1738580639,194.17,195.05,50582
1738580699,194.17,195.10,50612
1738580759,194.17,195.05,50615
1738580819,194.17,195.05,50625
1738580879,194.17,194.90,50728
1738580938,194.17,195.00,50770
1738580999,194.17,194.80,50815
1738581059,194.17,194.70,50882
1738581119,194.17,194.70,50882
1738581179,194.17,194.85,51102
1738581239,194.17,194.80,51124
1738581299,194.17,194.85,51154
1738581358,194.18,194.50,51556
1738581419,194.18,194.80,51647
1738581479,194.18,194.50,51861
1738581539,194.18,194.20,51985
1738581599,194.18,194.45,52061
1738581657,194.18,194.45,52061
1738581719,194.18,194.45,52061
1738581779,194.18,194.00,52227
1738581839,194.18,193.90,52386
1738581899,194.18,193.75,52570
1738581959,194.18,193.80,52582
1738582019,194.17,193.25,52900
1738582079,194.17,193.50,52951
1738582139,194.17,193.60,53169
1738582199,194.15,193.15,54179
1738582259,194.15,193.65,54199
1738582319,194.14,193.70,55241
1738582379,194.14,193.70,55357
1738582439,194.09,193.25,58383
1738582499,194.09,193.25,58383
1738582559,194.09,193.25,58383
1738582614,194.09,193.55,58511
1738582679,194.09,193.60,59071
1738582739,194.09,193.85,59081
1738582799,194.09,193.30,59199
1738582859,194.07,192.90,59858
1738582919,194.07,192.75,59913
1738582979,194.07,193.00,59961
1738583039,194.07,193.10,60027
1738583099,194.07,193.20,60087
1738583159,194.07,193.05,60305
1738583219,194.03,193.30,62042
1738583279,194.02,193.45,62797
1738583339,194.02,193.40,62869
1738583399,194.02,193.60,62974
1738583459,194.02,193.50,62995
1738583519,194.02,193.20,63245
1738583579,194.02,193.35,63258
1738583639,194.02,193.05,63266
1738583699,194.01,193.25,63577
1738583759,194.01,193.20,63589
1738583819,194.01,193.00,63656
1738583879,194.01,192.50,63775
1738583939,194.01,192.65,63881
1738583999,194.01,192.65,63882
1738584059,194.01,192.85,63956
1738584119,194.00,192.55,64009
1738584179,194.00,192.80,64011
1738584239,194.00,192.55,64113
1738584299,194.00,192.70,64165
1738584359,194.00,192.55,64173
1738584419,194.00,192.45,64193
1738584479,194.00,192.50,64294
1738584539,194.00,192.25,64295
1738584598,194.00,192.45,64297
1738584656,194.00,192.45,64297
1738584718,194.00,192.70,64387
1738584777,194.00,192.60,64390
1738584839,193.99,192.45,64470
1738584899,193.99,192.60,64486
1738584959,193.99,192.25,64603
1738585019,193.99,192.30,64605
1738585079,193.99,192.45,64607
1738585139,193.99,192.45,64607
1738585199,193.99,192.15,64739
1738585259,193.99,192.15,64789
1738585319,193.99,192.05,64805
1738585379,193.98,192.00,64821
1738585439,193.95,191.90,65901
1738585499,193.95,191.80,65922
1738585559,193.95,191.80,65933
1738585619,193.95,192.00,66098
1738585678,193.95,192.20,66101
1738585739,193.94,192.15,66185
1738585799,193.83,192.20,71213
1738585859,193.82,192.10,71666
1738585919,193.82,191.95,71722
1738585979,193.82,192.05,71923
1738586037,193.82,192.05,71923
1738586099,193.81,191.75,72052
1738586159,193.81,191.75,72052
1738586219,193.81,191.95,72163
1738586279,193.81,191.80,72249
1738586339,193.81,192.45,72330
1738586399,193.80,192.30,72596
1738586459,193.80,192.30,72596
1738586519,193.80,192.20,72613
1738586579,193.80,192.20,72613
1738586639,193.80,191.85,72714
1738586699,193.80,192.00,72722
1738586759,193.79,191.80,73055
1738586819,193.79,191.95,73066
1738586877,193.78,191.95,73207
1738586939,193.77,191.95,73903
1738586999,193.77,191.65,73914
1738587057,193.77,191.85,73928
1738587119,193.76,191.55,74003
1738587178,193.75,191.55,74594
1738587239,193.75,191.90,74612
1738587299,193.74,191.90,74812
1738587359,193.74,191.55,75013
1738587419,193.74,191.55,75013
1738587479,193.73,191.50,75139
1738587539,193.73,192.00,75156
1738587599,193.73,192.00,75156
1738587659,193.73,191.95,75276
1738587719,193.68,191.90,76982
1738587779,193.68,191.55,77032
1738587839,193.68,192.30,77153
1738587899,193.68,192.30,77258
1738587959,193.68,192.00,77309
1738588019,193.68,192.00,77324
1738588079,193.68,192.00,77324
1738588139,193.67,192.00,77334
1738588199,193.67,192.00,77334
1738588259,193.67,192.00,77334
1738588318,193.67,191.75,77411
1738588379,193.67,191.75,77411
1738588439,193.67,191.75,77458
1738588499,193.66,191.95,77874
1738588559,193.60,191.80,80085
1738588619,193.60,191.80,80101
1738588679,193.60,192.00,80112
1738588739,193.60,191.75,80259
1738588799,193.60,191.70,80311
1738588859,193.60,191.80,80319
1738588919,193.60,192.00,80346
1738588979,193.60,191.95,80355
1738589039,193.60,192.00,80377
1738589099,193.60,192.00,80399
1738589159,193.60,192.00,80509
1738589219,193.59,191.90,80714
1738589279,193.59,191.75,80764
1738589339,193.57,191.60,81766
1738589399,193.56,191.90,81976
1738589458,193.56,191.90,82097
1738589519,193.56,191.60,82111
1738589579,193.56,191.70,82147
1738589637,193.56,191.90,82201
1738589699,193.56,191.90,82205
1738589759,193.55,191.80,82280
1738589819,193.55,191.95,82332
1738589879,193.55,191.90,82397
1738589939,193.55,192.05,82458
1738589999,193.55,192.05,82458
1738590059,193.55,192.25,82507
1738590119,193.55,192.25,82507
1738590179,193.55,192.25,82508
1738590239,193.55,192.25,82508
1738590299,193.55,192.25,82518
1738590359,193.55,192.20,82682
1738590419,193.55,192.00,82730
1738590479,193.55,192.00,82786
1738590539,193.55,192.00,82791
1738590599,193.55,191.85,82796
1738590659,193.55,192.00,82807
1738590719,193.54,191.75,82877
1738590779,193.53,191.65,83381
1738590839,193.53,191.90,83519
1738590899,193.53,191.80,83542
1738590959,193.53,191.65,83573
1738591014,193.53,191.80,83663
1738591079,193.52,191.50,83878
1738591138,193.52,191.70,83986
1738591199,193.52,191.60,84018
1738591259,193.51,191.50,84182
1738591319,193.51,191.65,84234
1738591379,193.51,191.45,84285
1738591439,193.51,191.40,84310
1738591499,193.51,191.40,84312
1738591558,193.51,191.40,84317
1738591618,193.51,191.65,84553
1738591679,193.51,191.65,84553
1738591739,193.51,191.50,84573
1738591799,193.50,191.40,84628
1738591859,193.49,191.60,85050
1738591919,193.49,191.40,85251
1738591979,193.49,191.75,85261
1738592039,193.49,191.75,85261
1738592099,193.49,191.70,85272
1738592159,193.49,191.50,85422
1738592219,193.49,191.85,85432
1738592279,193.49,191.80,85436
1738592335,193.49,191.80,85436
1738592399,193.49,191.85,85464
1738592457,193.48,191.75,85486
1738592519,193.47,191.55,86076
1738592579,193.46,191.10,86356
1738592639,193.46,191.20,86430
1738592699,193.46,191.20,86460
1738592758,193.46,191.10,86480
1738592819,193.30,191.05,92531
1738592879,193.30,191.30,92621
1738592938,193.23,191.20,95702
1738592995,193.23,191.20,95702
1738593059,193.22,191.10,95752
1738593118,193.22,191.20,95763
1738593179,193.22,190.90,96117
1738593239,193.21,191.20,96172
1738593296,193.21,191.20,96179
1738593359,193.21,191.15,96184
1738593419,193.21,191.30,96204
1738593479,193.21,191.30,96384
1738593539,193.21,191.35,96385
1738593599,193.21,191.05,96410
1738593659,193.21,191.20,96447
1738593719,193.21,191.20,96460
1738593779,193.21,191.20,96460
1738593839,193.21,191.20,96460
1738593896,193.19,191.25,97505
1738593959,193.18,191.30,97730
1738594019,193.18,191.30,97775
1738594079,193.18,191.20,97867
1738594139,193.18,191.15,97917
1738594199,193.18,191.25,97931
1738594259,193.18,191.05,98036
1738594319,193.17,191.50,98490
1738594379,193.17,191.50,98523
1738594439,193.17,191.50,98523
1738594499,193.17,191.50,98526
1738594559,193.17,191.50,98528
1738594619,193.17,191.60,98642
1738594679,193.16,191.45,98771
1738594739,193.16,191.45,98771
1738594799,193.15,191.75,99520
1738594859,193.15,191.90,99546
1738594919,193.15,191.95,99701
1738594979,193.15,191.80,99846
1738595039,193.15,191.75,100084
1738595095,193.14,191.80,100135
1738595159,193.14,191.85,100150
1738595219,193.14,191.95,100251
1738595279,193.14,191.85,100253
1738595339,193.14,191.90,100263
1738595398,193.14,191.80,100288
1738595459,193.14,192.00,100289
1738595517,193.14,191.80,100309
1738595579,193.14,192.00,100352
1738595638,193.14,191.75,100377
1738595699,193.14,192.00,100659
1738595759,193.14,192.00,100681
1738595819,193.14,191.50,100829
1738595879,193.13,191.65,100930
1738595937,193.13,191.70,101409
1738595998,193.12,191.80,101565
1738596059,193.12,191.60,101704
1738596119,193.12,191.80,101738
1738596179,193.12,191.55,101956
1738596239,193.11,191.45,102703
1738596299,193.09,191.25,103457
1738596359,193.06,191.45,105362
1738596419,193.06,191.85,105423
1738596478,193.06,191.85,105835
1738596539,193.05,192.00,106232
1738596598,193.05,192.20,106574
1738596649,193.05,192.20,106574
1738596705,193.05,192.20,106574
1738597102,193.05,192.20,106574
1738597222,193.05,192.20,106574
1738597552,193.05,192.20,106574
1738597792,193.05,191.60,106625
1738597959,193.05,191.60,106626
1738597997,193.05,191.60,106637
1738598132,193.05,191.60,106687
1738598214,193.05,191.60,106702
1738598388,193.05,191.60,106703
1738598402,193.05,191.60,106703
1738598485,193.05,191.60,106703
t,ap,cp,v
1738573635,194.35,194.35,959
1738573705,194.35,194.35,959
1738573740,194.35,194.35,959
1738574159,193.55,193.10,6138
1738574219,193.58,193.10,7832
1738574279,193.66,193.75,9487
1738574339,193.70,193.75,10412
1738574399,193.72,193.85,10888
1738574459,193.73,194.10,11523
1738574518,193.72,193.60,12192
1738574579,193.74,194.50,13244
1738574639,193.75,194.45,13563
1738574699,193.76,194.45,13929
1738574758,193.82,195.05,14941
1738574819,193.91,196.40,15664
1738574879,194.10,196.35,17244
1738574939,194.11,195.55,17281
1738574999,194.13,195.50,17568
1738575059,194.14,195.40,17825
1738575119,194.30,195.70,20739
1738575179,194.31,194.95,20888
1738575239,194.32,194.65,21659
1738575299,194.32,194.55,21691
1738575359,194.34,194.80,22741
1738575419,194.34,194.60,22922
1738575479,194.35,194.95,23689
1738575539,194.35,194.30,23940
1738575599,194.35,194.40,24159
1738575659,194.34,194.55,25615
1738575719,194.34,194.40,25658
1738575779,194.34,194.25,25670
1738575839,194.35,194.65,26686
1738575899,194.35,194.30,27501
1738575959,194.35,194.05,27803
1738576019,194.34,194.10,28322
1738576079,194.34,193.80,28617
1738576139,194.32,193.35,29037
1738576199,194.31,192.95,29359
1738576258,194.30,193.20,29503
1738576319,194.30,193.20,29764
1738576379,194.27,192.95,30335
1738576439,194.27,193.00,30362
1738576499,194.25,193.10,30809
1738576559,194.25,193.10,30809
1738576619,194.25,193.40,30840
1738576679,194.24,193.00,31028
1738576739,194.24,192.50,31040
1738576799,194.24,192.90,31073
1738576859,194.23,192.90,31228
1738576919,194.23,193.45,31252
1738576979,194.23,193.05,31329
1738577039,194.23,193.05,31329
1738577099,194.23,193.50,31339
1738577159,194.23,193.40,31354
1738577219,194.22,193.20,31654
1738577279,194.17,193.00,33606
1738577339,194.17,193.70,33658
1738577399,194.16,193.30,34184
1738577459,194.16,193.45,34261
1738577519,194.16,193.45,34262
1738577579,194.14,193.25,35125
1738577639,194.13,193.15,35583
1738577699,194.12,193.00,35772
1738577759,194.12,193.20,35833
1738577819,194.12,193.55,35835
1738577877,194.12,193.65,35887
1738577939,194.12,193.50,35990
1738577999,194.12,193.60,36190
1738578059,194.12,193.30,36211
1738578117,194.11,193.50,36271
1738578179,194.11,193.70,36341
1738578239,194.11,193.45,36412
1738578299,194.11,193.60,36422
1738578359,194.11,193.40,36657
1738578419,194.11,193.20,36662
1738578479,194.11,193.20,36662
1738578539,194.11,193.25,36687
1738578599,194.10,193.30,36746
1738578659,194.10,193.60,36792
1738578719,194.10,193.70,36987
1738578779,194.10,193.20,37222
1738578839,194.09,193.55,37324
1738578899,194.09,193.65,37360
1738578959,194.09,193.70,37407
1738579019,194.09,193.70,37434
1738579079,194.09,193.60,37746
1738579139,194.09,193.60,37786
1738579197,194.08,193.20,38098
1738579259,194.08,193.60,38214
1738579319,194.08,193.60,38214
1738579379,194.08,194.00,38323
1738579438,194.07,194.40,45230
1738579499,194.07,194.45,45417
1738579559,194.09,194.50,47137
1738579619,194.10,195.20,47606
1738579679,194.10,195.20,47606
1738579739,194.10,194.95,47855
1738579799,194.11,194.90,47938
1738579859,194.11,195.35,48031
1738579919,194.11,195.05,48042
1738579979,194.11,195.25,48054
1738580039,194.11,195.00,48068
1738580099,194.11,195.10,48118
1738580159,194.11,195.20,48246
1738580219,194.11,195.00,48314
1738580279,194.12,195.00,48414
1738580339,194.12,195.25,48500
1738580399,194.14,195.25,49366
1738580459,194.14,195.40,49450
1738580519,194.16,195.35,50347
1738580579,194.16,195.20,50469
1738580639,194.17,195.05,50582
1738580699,194.17,195.10,50612
1738580759,194.17,195.05,50615
1738580819,194.17,195.05,50625
1738580879,194.17,194.90,50728
1738580938,194.17,195.00,50770
1738580999,194.17,194.80,50815
1738581059,194.17,194.70,50882
1738581119,194.17,194.70,50882
1738581179,194.17,194.85,51102
1738581239,194.17,194.80,51124
1738581299,194.17,194.85,51154
1738581358,194.18,194.50,51556
1738581419,194.18,194.80,51647
1738581479,194.18,194.50,51861
1738581539,194.18,194.20,51985
1738581599,194.18,194.45,52061
1738581657,194.18,194.45,52061
1738581719,194.18,194.45,52061
1738581779,194.18,194.00,52227
1738581839,194.18,193.90,52386
1738581899,194.18,193.75,52570
1738581959,194.18,193.80,52582
1738582019,194.17,193.25,52900
1738582079,194.17,193.50,52951
1738582139,194.17,193.60,53169
1738582199,194.15,193.15,54179
1738582259,194.15,193.65,54199
1738582319,194.14,193.70,55241
1738582379,194.14,193.70,55357
1738582439,194.09,193.25,58383
1738582499,194.09,193.25,58383
1738582559,194.09,193.25,58383
1738582614,194.09,193.55,58511
1738582679,194.09,193.60,59071
1738582739,194.09,193.85,59081
1738582799,194.09,193.30,59199
1738582859,194.07,192.90,59858
1738582919,194.07,192.75,59913
1738582979,194.07,193.00,59961
1738583039,194.07,193.10,60027
1738583099,194.07,193.20,60087
1738583159,194.07,193.05,60305
1738583219,194.03,193.30,62042
1738583279,194.02,193.45,62797
1738583339,194.02,193.40,62869
1738583399,194.02,193.60,62974
1738583459,194.02,193.50,62995
1738583519,194.02,193.20,63245
1738583579,194.02,193.35,63258
1738583639,194.02,193.05,63266
1738583699,194.01,193.25,63577
1738583759,194.01,193.20,63589
1738583819,194.01,193.00,63656
1738583879,194.01,192.50,63775
1738583939,194.01,192.65,63881
1738583999,194.01,192.65,63882
1738584059,194.01,192.85,63956
1738584119,194.00,192.55,64009
1738584179,194.00,192.80,64011
1738584239,194.00,192.55,64113
1738584299,194.00,192.70,64165
1738584359,194.00,192.55,64173
1738584419,194.00,192.45,64193
1738584479,194.00,192.50,64294
1738584539,194.00,192.25,64295
1738584598,194.00,192.45,64297
1738584656,194.00,192.45,64297
1738584718,194.00,192.70,64387
1738584777,194.00,192.60,64390
1738584839,193.99,192.45,64470
1738584899,193.99,192.60,64486
1738584959,193.99,192.25,64603
1738585019,193.99,192.30,64605
1738585079,193.99,192.45,64607
1738585139,193.99,192.45,64607
1738585199,193.99,192.15,64739
1738585259,193.99,192.15,64789
1738585319,193.99,192.05,64805
1738585379,193.98,192.00,64821
1738585439,193.95,191.90,65901
1738585499,193.95,191.80,65922
1738585559,193.95,191.80,65933
1738585619,193.95,192.00,66098
1738585678,193.95,192.20,66101
1738585739,193.94,192.15,66185
1738585799,193.83,192.20,71213
1738585859,193.82,192.10,71666
1738585919,193.82,191.95,71722
1738585979,193.82,192.05,71923
1738586037,193.82,192.05,71923
1738586099,193.81,191.75,72052
1738586159,193.81,191.75,72052
1738586219,193.81,191.95,72163
1738586279,193.81,191.80,72249
1738586339,193.81,192.45,72330
1738586399,193.80,192.30,72596
1738586459,193.80,192.30,72596
1738586519,193.80,192.20,72613
1738586579,193.80,192.20,72613
1738586639,193.80,191.85,72714
1738586699,193.80,192.00,72722
1738586759,193.79,191.80,73055
1738586819,193.79,191.95,73066
1738586877,193.78,191.95,73207
1738586939,193.77,191.95,73903
1738586999,193.77,191.65,73914
1738587057,193.77,191.85,73928
1738587119,193.76,191.55,74003
1738587178,193.75,191.55,74594
1738587239,193.75,191.90,74612
1738587299,193.74,191.90,74812
1738587359,193.74,191.55,75013
1738587419,193.74,191.55,75013
1738587479,193.73,191.50,75139
1738587539,193.73,192.00,75156
1738587599,193.73,192.00,75156
1738587659,193.73,191.95,75276
1738587719,193.68,191.90,76982
1738587779,193.68,191.55,77032
1738587839,193.68,192.30,77153
1738587899,193.68,192.30,77258
1738587959,193.68,192.00,77309
1738588019,193.68,192.00,77324
1738588079,193.68,192.00,77324
1738588139,193.67,192.00,77334
1738588199,193.67,192.00,77334
1738588259,193.67,192.00,77334
1738588318,193.67,191.75,77411
1738588379,193.67,191.75,77411
1738588439,193.67,191.75,77458
1738588499,193.66,191.95,77874
1738588559,193.60,191.80,80085
1738588619,193.60,191.80,80101
1738588679,193.60,192.00,80112
1738588739,193.60,191.75,80259
1738588799,193.60,191.70,80311
1738588859,193.60,191.80,80319
1738588919,193.60,192.00,80346
1738588979,193.60,191.95,80355
1738589039,193.60,192.00,80377
1738589099,193.60,192.00,80399
1738589159,193.60,192.00,80509
1738589219,193.59,191.90,80714
1738589279,193.59,191.75,80764
1738589339,193.57,191.60,81766
1738589399,193.56,191.90,81976
1738589458,193.56,191.90,82097
1738589519,193.56,191.60,82111
1738589579,193.56,191.70,82147
1738589637,193.56,191.90,82201
1738589699,193.56,191.90,82205
1738589759,193.55,191.80,82280
1738589819,193.55,191.95,82332
1738589879,193.55,191.90,82397
1738589939,193.55,192.05,82458
1738589999,193.55,192.05,82458
1738590059,193.55,192.25,82507
1738590119,193.55,192.25,82507
1738590179,193.55,192.25,82508
1738590239,193.55,192.25,82508
1738590299,193.55,192.25,82518
1738590359,193.55,192.20,82682
1738590419,193.55,192.00,82730
1738590479,193.55,192.00,82786
1738590539,193.55,192.00,82791
1738590599,193.55,191.85,82796
1738590659,193.55,192.00,82807
1738590719,193.54,191.75,82877
1738590779,193.53,191.65,83381
1738590839,193.53,191.90,83519
1738590899,193.53,191.80,83542
1738590959,193.53,191.65,83573
1738591014,193.53,191.80,83663
1738591079,193.52,191.50,83878
1738591138,193.52,191.70,83986
1738591199,193.52,191.60,84018
1738591259,193.51,191.50,84182
1738591319,193.51,191.65,84234
1738591379,193.51,191.45,84285
1738591439,193.51,191.40,84310
1738591499,193.51,191.40,84312
1738591558,193.51,191.40,84317
1738591618,193.51,191.65,84553
1738591679,193.51,191.65,84553
1738591739,193.51,191.50,84573
1738591799,193.50,191.40,84628
1738591859,193.49,191.60,85050
1738591919,193.49,191.40,85251
1738591979,193.49,191.75,85261
1738592039,193.49,191.75,85261
1738592099,193.49,191.70,85272
1738592159,193.49,191.50,85422
1738592219,193.49,191.85,85432
1738592279,193.49,191.80,85436
1738592335,193.49,191.80,85436
1738592399,193.49,191.85,85464
1738592457,193.48,191.75,85486
1738592519,193.47,191.55,86076
1738592579,193.46,191.10,86356
1738592639,193.46,191.20,86430
1738592699,193.46,191.20,86460
1738592758,193.46,191.10,86480
1738592819,193.30,191.05,92531
1738592879,193.30,191.30,92621
1738592938,193.23,191.20,95702
1738592995,193.23,191.20,95702
1738593059,193.22,191.10,95752
1738593118,193.22,191.20,95763
1738593179,193.22,190.90,96117
1738593239,193.21,191.20,96172
1738593296,193.21,191.20,96179
1738593359,193.21,191.15,96184
1738593419,193.21,191.30,96204
1738593479,193.21,191.30,96384
1738593539,193.21,191.35,96385
1738593599,193.21,191.05,96410
1738593659,193.21,191.20,96447
1738593719,193.21,191.20,96460
1738593779,193.21,191.20,96460
1738593839,193.21,191.20,96460
1738593896,193.19,191.25,97505
1738593959,193.18,191.30,97730
1738594019,193.18,191.30,97775
1738594079,193.18,191.20,97867
1738594139,193.18,191.15,97917
1738594199,193.18,191.25,97931
1738594259,193.18,191.05,98036
1738594319,193.17,191.50,98490
1738594379,193.17,191.50,98523
1738594439,193.17,191.50,98523
1738594499,193.17,191.50,98526
1738594559,193.17,191.50,98528
1738594619,193.17,191.60,98642
1738594679,193.16,191.45,98771
1738594739,193.16,191.45,98771
1738594799,193.15,191.75,99520
1738594859,193.15,191.90,99546
1738594919,193.15,191.95,99701
1738594979,193.15,191.80,99846
1738595039,193.15,191.75,100084
1738595095,193.14,191.80,100135
1738595159,193.14,191.85,100150
1738595219,193.14,191.95,100251
1738595279,193.14,191.85,100253
1738595339,193.14,191.90,100263
1738595398,193.14,191.80,100288
1738595459,193.14,192.00,100289
1738595517,193.14,191.80,100309
1738595579,193.14,192.00,100352
1738595638,193.14,191.75,100377
1738595699,193.14,192.00,100659
1738595759,193.14,192.00,100681
1738595819,193.14,191.50,100829
1738595879,193.13,191.65,100930
1738595937,193.13,191.70,101409
1738595998,193.12,191.80,101565
1738596059,193.12,191.60,101704
1738596119,193.12,191.80,101738
1738596179,193.12,191.55,101956
1738596239,193.11,191.45,102703
1738596299,193.09,191.25,103457
1738596359,193.06,191.45,105362
1738596419,193.06,191.85,105423
1738596478,193.06,191.85,105835
1738596539,193.05,192.00,106232
1738596598,193.05,192.20,106574
1738596649,193.05,192.20,106574
1738596705,193.05,192.20,106574
1738597102,193.05,192.20,106574
1738597222,193.05,192.20,106574
1738597552,193.05,192.20,106574
1738597792,193.05,191.60,106625
1738597959,193.05,191.60,106626
1738597997,193.05,191.60,106637
1738598132,193.05,191.60,106687
1738598214,193.05,191.60,106702
1738598388,193.05,191.60,106703
1738598402,193.05,191.60,106703
1738598485,193.05,191.60,106703
t,ap,cp,v
1738573635,194.35,194.35,959
1738573705,194.35,194.35,959
1738573740,194.35,194.35,959
1738574159,193.55,193.10,6138
1738574219,193.58,193.10,7832
1738574279,193.66,193.75,9487
1738574339,193.70,193.75,10412
1738574399,193.72,193.85,10888
1738574459,193.73,194.10,11523
1738574518,193.72,193.60,12192
1738574579,193.74,194.50,13244
1738574639,193.75,194.45,13563
1738574699,193.76,194.45,13929
1738574758,193.82,195.05,14941
1738574819,193.91,196.40,15664
1738574879,194.10,196.35,17244
1738574939,194.11,195.55,17281
1738574999,194.13,195.50,17568
1738575059,194.14,195.40,17825
1738575119,194.30,195.70,20739
1738575179,194.31,194.95,20888
1738575239,194.32,194.65,21659
1738575299,194.32,194.55,21691
1738575359,194.34,194.80,22741
1738575419,194.34,194.60,22922
1738575479,194.35,194.95,23689
1738575539,194.35,194.30,23940
1738575599,194.35,194.40,24159
1738575659,194.34,194.55,25615
1738575719,194.34,194.40,25658
1738575779,194.34,194.25,25670
1738575839,194.35,194.65,26686
1738575899,194.35,194.30,27501
1738575959,194.35,194.05,27803
1738576019,194.34,194.10,28322
1738576079,194.34,193.80,28617
1738576139,194.32,193.35,29037
1738576199,194.31,192.95,29359
1738576258,194.30,193.20,29503
1738576319,194.30,193.20,29764
1738576379,194.27,192.95,30335
1738576439,194.27,193.00,30362
1738576499,194.25,193.10,30809
1738576559,194.25,193.10,30809
1738576619,194.25,193.40,30840
1738576679,194.24,193.00,31028
1738576739,194.24,192.50,31040
1738576799,194.24,192.90,31073
1738576859,194.23,192.90,31228
1738576919,194.23,193.45,31252
1738576979,194.23,193.05,31329
1738577039,194.23,193.05,31329
1738577099,194.23,193.50,31339
1738577159,194.23,193.40,31354
1738577219,194.22,193.20,31654
1738577279,194.17,193.00,33606
1738577339,194.17,193.70,33658
1738577399,194.16,193.30,34184
1738577459,194.16,193.45,34261
1738577519,194.16,193.45,34262
1738577579,194.14,193.25,35125
1738577639,194.13,193.15,35583
1738577699,194.12,193.00,35772
1738577759,194.12,193.20,35833
1738577819,194.12,193.55,35835
1738577877,194.12,193.65,35887
1738577939,194.12,193.50,35990
1738577999,194.12,193.60,36190
1738578059,194.12,193.30,36211
1738578117,194.11,193.50,36271
1738578179,194.11,193.70,36341
1738578239,194.11,193.45,36412
1738578299,194.11,193.60,36422
1738578359,194.11,193.40,36657
1738578419,194.11,193.20,36662
1738578479,194.11,193.20,36662
1738578539,194.11,193.25,36687
1738578599,194.10,193.30,36746
1738578659,194.10,193.60,36792
1738578719,194.10,193.70,36987
1738578779,194.10,193.20,37222
1738578839,194.09,193.55,37324
1738578899,194.09,193.65,37360
1738578959,194.09,193.70,37407
1738579019,194.09,193.70,37434
1738579079,194.09,193.60,37746
1738579139,194.09,193.60,37786
1738579197,194.08,193.20,38098
1738579259,194.08,193.60,38214
1738579319,194.08,193.60,38214
1738579379,194.08,194.00,38323
