t,ap,cp,v
1738578232,1729.05,1711.95,17377
1738578272,1728.83,1712.00,17611
1738578354,1728.77,1712.00,17668
1738578396,1728.68,1711.55,17775
1738578479,1728.66,1710.20,17790
1738578510,1728.65,1713.95,17801
1738578593,1728.65,1714.00,17806
1738578659,1728.65,1713.90,17808
1738578719,1726.94,1685.15,19109
1738578778,1724.87,1680.00,19999
1738578838,1723.94,1673.10,20377
1738578899,1721.77,1680.00,21384
1738578958,1721.66,1673.10,21441
1738579018,1721.51,1673.10,21508
1738579078,1721.47,1679.90,21529
1738579138,1721.45,1679.90,21538
1738579178,1721.45,1679.90,21538
1738579254,1721.45,1679.90,21538
1738579316,1720.83,1670.00,21814
1738579379,1720.16,1653.30,22055
1738579438,1720.02,1659.00,22104
1738579498,1718.91,1643.10,22449
1738579559,1718.47,1655.00,22607
1738579601,1718.05,1644.00,22735
1738579679,1717.77,1655.00,22835
1738579732,1717.29,1644.10,23003
1738579799,1717.29,1660.00,23004
1738579859,1717.18,1649.95,23044
1738579919,1712.30,1650.00,24846
1738579977,1709.42,1650.00,26051
1738580039,1705.96,1643.10,27649
1738580098,1704.76,1646.95,28236
1738580151,1704.66,1646.95,28287
1738580219,1703.52,1640.05,28810
1738580279,1703.28,1640.00,28921
1738580338,1701.21,1634.00,29693
1738580398,1696.94,1619.40,31336
1738580458,1695.39,1631.95,31982
1738580518,1694.98,1628.60,32160
1738580578,1694.95,1623.10,32173
1738580635,1694.62,1623.10,32331
1738580695,1694.58,1629.90,32351
1738580758,1694.57,1625.00,32357
1738580810,1694.50,1625.00,32391
1738580869,1693.81,1625.00,32700
1738580937,1693.79,1626.90,32706
1738580988,1693.74,1620.05,32731
1738581059,1693.61,1625.95,32792
1738581119,1692.81,1620.00,33154
1738581161,1692.81,1620.00,33155
1738581237,1691.85,1619.40,33594
1738581297,1690.40,1619.40,34281
1738581354,1682.72,1626.80,38439
1738581405,1682.66,1626.80,38475
1738581477,1682.49,1626.80,38586
1738581534,1682.44,1622.10,38621
1738581599,1682.06,1628.00,38881
1738581658,1681.94,1621.00,38966
1738581718,1681.61,1622.40,39196
1738581779,1681.02,1622.40,39592
1738581838,1680.94,1623.00,39651
1738581873,1680.87,1622.40,39696
1738581927,1680.11,1628.00,40207
1738582017,1680.10,1628.00,40216
1738582078,1679.14,1619.90,40881
1738582137,1679.02,1619.40,40958
1738582197,1679.00,1619.40,40977
1738582246,1678.79,1619.40,41119
1738582316,1677.31,1619.40,42169
1738582378,1676.23,1629.00,42998
1738582438,1675.99,1634.90,43245
1738582498,1675.96,1634.50,43275
1738582553,1675.92,1634.05,43316
1738582617,1675.48,1634.05,43696
1738582677,1675.44,1638.45,43738
1738582739,1675.38,1639.00,43813
1738582799,1675.35,1640.00,43844
1738582859,1675.27,1639.00,43939
1738582912,1675.25,1638.85,43961
1738582977,1675.25,1638.80,43969
1738583013,1675.23,1638.95,43988
1738583093,1675.21,1625.10,44009
1738583158,1675.21,1637.80,44013
1738583203,1675.19,1637.45,44027
1738583277,1675.19,1636.85,44036
1738583338,1675.19,1636.85,44036
1738583399,1675.14,1626.10,44083
1738583447,1673.98,1619.40,45098
1738583519,1673.14,1620.00,45812
1738583576,1672.42,1620.00,46439
1738583638,1671.11,1620.00,47629
1738583697,1671.11,1634.80,47635
1738583758,1670.74,1628.00,47982
1738583816,1670.62,1619.40,48094
1738583878,1669.75,1619.40,48922
1738583911,1669.75,1627.40,48924
1738583987,1669.75,1627.40,48924
1738584059,1669.74,1619.40,48931
1738584118,1669.74,1619.40,48936
1738584161,1669.68,1619.40,48995
1738584227,1669.59,1619.40,49081
1738584294,1669.55,1619.40,49118
1738584348,1669.53,1619.40,49138
1738584414,1669.53,1619.40,49142
1738584478,1669.52,1621.00,49146
1738584531,1669.52,1621.00,49146
1738584597,1669.52,1621.00,49146
1738584659,1669.50,1632.75,49173
1738584715,1669.46,1632.85,49226
1738584775,1669.46,1632.85,49232
1738584823,1669.46,1632.85,49232
1738584896,1669.46,1634.00,49235
1738584959,1669.43,1634.00,49271
1738585019,1669.39,1633.50,49326
1738585070,1669.39,1633.50,49326
1738585135,1669.35,1626.05,49376
1738585181,1669.35,1626.05,49376
1738585223,1669.35,1626.05,49376
1738585316,1669.35,1626.05,49376
1738585338,1669.35,1626.05,49376
1738585439,1669.18,1621.75,49566
1738585488,1669.02,1622.10,49736
1738585559,1669.02,1622.10,49736
1738585605,1668.88,1622.10,49886
1738585665,1668.87,1622.10,49896
1738585711,1668.86,1622.10,49913
1738585789,1668.86,1622.10,49913
1738585826,1668.86,1622.10,49913
1738585906,1668.85,1629.90,49914
1738585976,1668.85,1629.00,49921
1738586037,1668.85,1630.00,49924
1738586044,1668.85,1630.00,49924
1738586135,1668.84,1621.20,49926
1738586212,1668.76,1621.20,50015
1738586267,1668.64,1630.00,50143
1738586318,1668.63,1630.00,50154
1738586341,1668.63,1629.95,50159
1738586457,1668.59,1630.00,50204
1738586515,1668.53,1621.10,50272
1738586573,1668.52,1632.95,50285
1738586633,1668.52,1632.95,50291
1738586681,1668.52,1625.00,50297
1738586759,1668.50,1632.95,50321
1738586810,1668.49,1626.00,50328
1738586878,1668.34,1625.05,50517
1738586939,1668.23,1625.30,50655
1738586984,1668.21,1633.30,50680
1738587054,1668.21,1633.35,50681
1738587111,1668.20,1633.35,50692
1738587164,1668.19,1627.00,50703
1738587238,1668.17,1633.50,50728
1738587290,1668.14,1633.45,50776
1738587337,1668.14,1633.45,50776
1738587416,1668.12,1633.45,50807
1738587479,1667.58,1633.40,51457
1738587529,1667.55,1633.15,51507
1738587591,1667.52,1633.25,51538
1738587647,1667.51,1627.00,51559
1738587712,1667.27,1627.00,51840
1738587754,1667.27,1627.00,51840
1738587833,1667.24,1627.00,51873
1738587879,1667.24,1627.00,51878
1738587945,1667.23,1627.00,51888
1738587979,1667.22,1627.00,51902
1738588074,1667.21,1627.00,51913
1738588125,1667.21,1627.00,51916
1738588197,1667.19,1627.00,51941
1738588257,1667.16,1627.00,51982
1738588314,1667.01,1621.05,52152
1738588374,1666.97,1621.05,52202
1738588432,1666.95,1627.00,52228
1738588457,1666.94,1627.00,52234
1738588534,1666.94,1627.00,52234
1738588613,1666.75,1621.05,52457
1738588668,1666.73,1621.05,52479
1738588739,1666.41,1634.50,52979
1738588789,1666.32,1634.50,53133
1738588856,1666.32,1634.00,53138
1738588916,1666.30,1633.95,53170
1738588977,1666.28,1623.20,53191
1738589036,1666.28,1633.45,53192
1738589080,1666.28,1625.00,53195
1738589263,1666.25,1633.00,53234
1738589338,1666.19,1633.00,53334
1738589388,1666.19,1633.00,53334
1738589452,1666.19,1632.95,53338
1738589579,1666.15,1630.80,53400
1738589599,1666.15,1630.80,53400
1738589676,1666.15,1632.85,53402
1738589809,1666.14,1632.85,53403
1738589874,1666.14,1632.45,53404
1738589928,1666.12,1622.10,53439
1738589998,1666.08,1622.10,53489
1738590048,1666.08,1622.10,53489
1738590119,1665.98,1622.00,53615
1738590174,1665.87,1621.05,53743
1738590232,1665.65,1634.50,54044
1738590299,1665.64,1634.50,54050
1738590358,1665.62,1633.75,54082
1738590410,1665.61,1633.75,54102
1738590478,1665.20,1621.05,54605
1738590539,1665.20,1621.05,54605
1738590591,1665.20,1632.35,54611
1738590643,1665.20,1632.35,54611
1738590710,1665.20,1625.00,54614
1738590770,1665.20,1625.00,54614
1738590825,1665.17,1631.65,54659
1738590894,1665.17,1630.00,54664
1738590955,1665.17,1630.00,54664
1738590995,1665.16,1629.95,54676
1738591066,1665.16,1629.95,54676
1738591133,1665.14,1629.75,54701
1738591193,1665.14,1629.55,54705
1738591211,1665.14,1629.55,54705
1738591296,1665.13,1626.00,54716
1738591369,1665.13,1625.00,54718
1738591439,1664.98,1621.05,54907
1738591492,1664.98,1621.05,54907
1738591559,1664.98,1621.05,54907
1738591611,1664.95,1621.05,54946
1738591645,1664.95,1624.05,54950
1738591734,1664.93,1627.85,54971
1738591799,1664.75,1626.85,55207
1738591837,1664.75,1626.00,55208
1738591916,1664.06,1619.40,56073
1738591973,1664.05,1619.40,56082
1738592035,1664.04,1619.40,56097
1738592071,1664.04,1619.40,56097
1738592118,1664.03,1619.40,56103
1738592207,1664.03,1619.40,56109
1738592255,1664.03,1619.40,56109
1738592296,1664.03,1619.40,56109
1738592362,1664.02,1619.40,56113
1738592455,1664.01,1619.40,56133
1738592492,1664.01,1619.40,56133
1738592561,1664.01,1619.40,56134
1738592623,1664.01,1619.40,56136
1738592691,1663.96,1619.40,56197
1738592812,1663.95,1619.40,56205
1738592861,1663.95,1619.40,56205
1738592939,1663.91,1619.40,56251
1738592995,1663.91,1619.40,56251
1738593086,1663.87,1619.40,56313
1738593157,1663.86,1619.40,56319
1738593219,1663.86,1619.40,56319
1738593379,1663.86,1619.40,56322
1738593471,1663.85,1619.40,56327
1738593535,1663.85,1619.40,56330
1738593594,1663.83,1619.40,56355
1738593651,1663.83,1619.40,56355
1738593677,1663.68,1619.40,56547
1738593777,1663.68,1619.40,56550
1738593824,1663.52,1619.40,56750
1738593894,1663.52,1619.40,56752
1738593959,1663.52,1619.40,56759
1738594007,1663.51,1619.40,56765
1738594055,1663.51,1619.40,56772
1738594229,1663.50,1619.40,56776
1738594311,1663.50,1619.40,56778
1738594428,1663.50,1619.40,56779
1738594592,1663.48,1619.40,56800
1738594664,1663.48,1619.40,56801
1738594736,1663.48,1619.40,56803
1738594799,1663.47,1619.40,56813
1738594834,1663.47,1619.40,56823
1738594937,1663.45,1619.40,56845
1738595158,1663.45,1619.40,56845
1738595211,1663.44,1619.40,56852
1738595268,1663.31,1619.40,57022
1738595387,1663.27,1619.40,57077
1738595444,1663.25,1619.40,57100
1738595510,1663.24,1619.40,57120
1738595536,1663.24,1619.40,57120
1738595638,1663.02,1619.40,57405
1738595682,1663.01,1619.40,57418
1738595737,1663.01,1619.40,57419
1738595810,1662.68,1619.40,57856
1738595861,1662.58,1619.40,57986
1738595907,1662.56,1619.40,58015
1738595991,1662.24,1619.40,58450
1738596052,1662.23,1619.40,58465
1738596118,1662.18,1619.40,58531
1738596142,1662.16,1619.40,58559
1738596209,1662.14,1619.40,58582
1738596280,1662.14,1619.40,58587
1738596338,1662.14,1619.40,58587
1738596414,1662.14,1619.40,58587
1738596472,1662.13,1619.40,58602
1738596535,1662.02,1619.40,58754
1738596592,1661.98,1619.40,58811
1738596601,1661.98,1619.40,58811
1738596676,1661.98,1619.40,58811
1738597201,1661.98,1619.40,58811
1738597356,1661.98,1619.40,58811
1738597393,1661.98,1619.40,58811
1738597497,1661.98,1619.40,58811
1738598300,1661.98,1619.40,58811
1738598401,1661.98,1619.40,58811
1738573634,1729.85,1729.85,677
1738573740,1729.85,1729.85,677
1738573958,1729.85,1729.85,677
1738573981,1729.85,1729.85,677
1738574159,1727.89,1724.00,1447
1738574219,1728.41,1737.00,2011
1738574279,1728.83,1736.00,2463
1738574335,1745.88,1760.00,4266
1738574396,1744.96,1746.95,4813
1738574451,1745.14,1744.95,5290
1738574518,1744.91,1744.95,5537
1738574578,1744.63,1733.00,5831
1738574637,1744.03,1730.00,6150
1738574699,1743.59,1721.05,6359
1738574756,1743.38,1725.00,6459
1738574818,1743.07,1729.90,6556
1738574879,1742.29,1729.90,6883
1738574934,1741.71,1733.00,7287
1738574998,1741.26,1730.00,7612
1738575059,1738.73,1712.05,8743
1738575116,1738.52,1740.00,9225
1738575172,1738.53,1740.00,9281
1738575239,1738.66,1745.00,9515
1738575299,1738.78,1733.25,9671
1738575339,1738.77,1739.95,9704
1738575417,1738.78,1740.00,9731
1738575475,1738.77,1733.35,9732
1738575538,1738.79,1740.10,9822
1738575599,1738.84,1745.00,10053
1738575658,1738.85,1734.05,10127
1738575719,1738.59,1734.00,10558
1738575774,1738.09,1729.95,11358
1738575836,1737.88,1713.40,11467
1738575898,1737.08,1710.00,11882
1738575958,1736.64,1708.00,12082
1738576014,1736.30,1708.00,12225
1738576075,1735.85,1705.10,12411
1738576137,1735.23,1718.95,12710
1738576195,1734.79,1705.45,12994
1738576259,1734.51,1715.00,13176
1738576318,1734.47,1714.95,13203
1738576363,1734.38,1715.00,13263
1738576435,1733.27,1728.95,14074
1738576486,1733.23,1720.00,14117
1738576547,1733.23,1717.85,14121
1738576618,1733.02,1711.05,14307
1738576677,1732.92,1730.00,14536
1738576739,1732.92,1728.00,14548
1738576799,1732.67,1710.00,14720
1738576855,1732.14,1723.75,15081
1738576918,1732.12,1710.15,15120
1738576978,1731.97,1708.00,15218
1738577039,1731.86,1708.00,15289
1738577098,1731.84,1715.70,15309
1738577159,1731.70,1719.35,15437
1738577219,1731.66,1715.05,15478
1738577276,1731.65,1718.95,15486
1738577338,1731.63,1723.80,15504
1738577394,1730.04,1705.00,16504
1738577459,1729.94,1715.00,16618
1738577519,1729.91,1708.80,16645
1738577574,1729.81,1713.20,16718
1738577632,1729.81,1713.20,16718
1738577696,1729.78,1713.00,16751
1738577745,1729.77,1712.85,16762
1738577796,1729.77,1712.85,16762
1738577868,1729.50,1712.95,16958
1738577930,1729.43,1705.00,17008
1738577989,1729.13,1705.05,17297
1738578052,1729.13,1713.00,17301
1738578118,1729.09,1707.00,17343
1738578163,1729.09,1707.00,17343
1738578232,1729.05,1711.95,17377
1738578272,1728.83,1712.00,17611
1738578354,1728.77,1712.00,17668
1738578396,1728.68,1711.55,17775
1738578479,1728.66,1710.20,17790
1738578510,1728.65,1713.95,17801
1738578593,1728.65,1714.00,17806
1738578659,1728.65,1713.90,17808
1738578719,1726.94,1685.15,19109
1738578778,1724.87,1680.00,19999
1738578838,1723.94,1673.10,20377
1738578899,1721.77,1680.00,21384
1738578958,1721.66,1673.10,21441
1738579018,1721.51,1673.10,21508
1738579078,1721.47,1679.90,21529
1738579138,1721.45,1679.90,21538
1738579178,1721.45,1679.90,21538
1738579254,1721.45,1679.90,21538
1738579316,1720.83,1670.00,21814
1738579379,1720.16,1653.30,22055
1738579438,1720.02,1659.00,22104
1738579498,1718.91,1643.10,22449
1738579559,1718.47,1655.00,22607
1738579601,1718.05,1644.00,22735
1738579679,1717.77,1655.00,22835
1738579732,1717.29,1644.10,23003
1738579799,1717.29,1660.00,23004
1738579859,1717.18,1649.95,23044
1738579919,1712.30,1650.00,24846
1738579977,1709.42,1650.00,26051
1738580039,1705.96,1643.10,27649
1738580098,1704.76,1646.95,28236
1738580151,1704.66,1646.95,28287
1738580219,1703.52,1640.05,28810
1738580279,1703.28,1640.00,28921
1738580338,1701.21,1634.00,29693
1738580398,1696.94,1619.40,31336
1738580458,1695.39,1631.95,31982
1738580518,1694.98,1628.60,32160
1738580578,1694.95,1623.10,32173
1738580635,1694.62,1623.10,32331
1738580695,1694.58,1629.90,32351
1738580758,1694.57,1625.00,32357
1738580810,1694.50,1625.00,32391
1738580869,1693.81,1625.00,32700
1738580937,1693.79,1626.90,32706
1738580988,1693.74,1620.05,32731
1738581059,1693.61,1625.95,32792
1738581119,1692.81,1620.00,33154
1738581161,1692.81,1620.00,33155
1738581237,1691.85,1619.40,33594
1738581297,1690.40,1619.40,34281
1738581354,1682.72,1626.80,38439
1738581405,1682.66,1626.80,38475
1738581477,1682.49,1626.80,38586
1738581534,1682.44,1622.10,38621
1738581599,1682.06,1628.00,38881
1738581658,1681.94,1621.00,38966
1738581718,1681.61,1622.40,39196
1738581779,1681.02,1622.40,39592
1738581838,1680.94,1623.00,39651
1738581873,1680.87,1622.40,39696
1738581927,1680.11,1628.00,40207
1738582017,1680.10,1628.00,40216
1738582078,1679.14,1619.90,40881
1738582137,1679.02,1619.40,40958
1738582197,1679.00,1619.40,40977
1738582246,1678.79,1619.40,41119
1738582316,1677.31,1619.40,42169
1738582378,1676.23,1629.00,42998
1738582438,1675.99,1634.90,43245
1738582498,1675.96,1634.50,43275
1738582553,1675.92,1634.05,43316
1738582617,1675.48,1634.05,43696
1738582677,1675.44,1638.45,43738
1738582739,1675.38,1639.00,43813
1738582799,1675.35,1640.00,43844
1738582859,1675.27,1639.00,43939
1738582912,1675.25,1638.85,43961
1738582977,1675.25,1638.80,43969
1738583013,1675.23,1638.95,43988
1738583093,1675.21,1625.10,44009
1738583158,1675.21,1637.80,44013
1738583203,1675.19,1637.45,44027
1738583277,1675.19,1636.85,44036
1738583338,1675.19,1636.85,44036
1738583399,1675.14,1626.10,44083
1738583447,1673.98,1619.40,45098
1738583519,1673.14,1620.00,45812
1738583576,1672.42,1620.00,46439
1738583638,1671.11,1620.00,47629
1738583697,1671.11,1634.80,47635
1738583758,1670.74,1628.00,47982
1738583816,1670.62,1619.40,48094
1738583878,1669.75,1619.40,48922
1738583911,1669.75,1627.40,48924
1738583987,1669.75,1627.40,48924
1738584059,1669.74,1619.40,48931
1738584118,1669.74,1619.40,48936
1738584161,1669.68,1619.40,48995
1738584227,1669.59,1619.40,49081
1738584294,1669.55,1619.40,49118
1738584348,1669.53,1619.40,49138
1738584414,1669.53,1619.40,49142
1738584478,1669.52,1621.00,49146
1738584531,1669.52,1621.00,49146
1738584597,1669.52,1621.00,49146
1738584659,1669.50,1632.75,49173
1738584715,1669.46,1632.85,49226
1738584775,1669.46,1632.85,49232
1738584823,1669.46,1632.85,49232
1738584896,1669.46,1634.00,49235
1738584959,1669.43,1634.00,49271
1738585019,1669.39,1633.50,49326
1738585070,1669.39,1633.50,49326
1738585135,1669.35,1626.05,49376
1738585181,1669.35,1626.05,49376
1738585223,1669.35,1626.05,49376
1738585316,1669.35,1626.05,49376
1738585338,1669.35,1626.05,49376
1738585439,1669.18,1621.75,49566
1738585488,1669.02,1622.10,49736
1738585559,1669.02,1622.10,49736
1738585605,1668.88,1622.10,49886
1738585665,1668.87,1622.10,49896
1738585711,1668.86,1622.10,49913
1738585789,1668.86,1622.10,49913
1738585826,1668.86,1622.10,49913
1738585906,1668.85,1629.90,49914
1738585976,1668.85,1629.00,49921
1738586037,1668.85,1630.00,49924
1738586044,1668.85,1630.00,49924
1738586135,1668.84,1621.20,49926
1738586212,1668.76,1621.20,50015
1738586267,1668.64,1630.00,50143
1738586318,1668.63,1630.00,50154
1738586341,1668.63,1629.95,50159
1738586457,1668.59,1630.00,50204
1738586515,1668.53,1621.10,50272
1738586573,1668.52,1632.95,50285
1738586633,1668.52,1632.95,50291
1738586681,1668.52,1625.00,50297
1738586759,1668.50,1632.95,50321
1738586810,1668.49,1626.00,50328
1738586878,1668.34,1625.05,50517
1738586939,1668.23,1625.30,50655
1738586984,1668.21,1633.30,50680
1738587054,1668.21,1633.35,50681
1738587111,1668.20,1633.35,50692
1738587164,1668.19,1627.00,50703
1738587238,1668.17,1633.50,50728
1738587290,1668.14,1633.45,50776
1738587337,1668.14,1633.45,50776
1738587416,1668.12,1633.45,50807
1738587479,1667.58,1633.40,51457
1738587529,1667.55,1633.15,51507
1738587591,1667.52,1633.25,51538
1738587647,1667.51,1627.00,51559
1738587712,1667.27,1627.00,51840
1738587754,1667.27,1627.00,51840
1738587833,1667.24,1627.00,51873
1738587879,1667.24,1627.00,51878
1738587945,1667.23,1627.00,51888
1738587979,1667.22,1627.00,51902
1738588074,1667.21,1627.00,51913
1738588125,1667.21,1627.00,51916
1738588197,1667.19,1627.00,51941
1738588257,1667.16,1627.00,51982
1738588314,1667.01,1621.05,52152
1738588374,1666.97,1621.05,52202
1738588432,1666.95,1627.00,52228
1738588457,1666.94,1627.00,52234
1738588534,1666.94,1627.00,52234
1738588613,1666.75,1621.05,52457
1738588668,1666.73,1621.05,52479
1738588739,1666.41,1634.50,52979
1738588789,1666.32,1634.50,53133
1738588856,1666.32,1634.00,53138
1738588916,1666.30,1633.95,53170
1738588977,1666.28,1623.20,53191
1738589036,1666.28,1633.45,53192
1738589080,1666.28,1625.00,53195
1738589263,1666.25,1633.00,53234
1738589338,1666.19,1633.00,53334
1738589388,1666.19,1633.00,53334
1738589452,1666.19,1632.95,53338
1738589579,1666.15,1630.80,53400
1738589599,1666.15,1630.80,53400
1738589676,1666.15,1632.85,53402
1738589809,1666.14,1632.85,53403
1738589874,1666.14,1632.45,53404
1738589928,1666.12,1622.10,53439
1738589998,1666.08,1622.10,53489
1738590048,1666.08,1622.10,53489
1738590119,1665.98,1622.00,53615
1738590174,1665.87,1621.05,53743
1738590232,1665.65,1634.50,54044
1738590299,1665.64,1634.50,54050
1738590358,1665.62,1633.75,54082
1738590410,1665.61,1633.75,54102
1738590478,1665.20,1621.05,54605
1738590539,1665.20,1621.05,54605
1738590591,1665.20,1632.35,54611
1738590643,1665.20,1632.35,54611
1738590710,1665.20,1625.00,54614
1738590770,1665.20,1625.00,54614
1738590825,1665.17,1631.65,54659
1738590894,1665.17,1630.00,54664
1738590955,1665.17,1630.00,54664
1738590995,1665.16,1629.95,54676
1738591066,1665.16,1629.95,54676
1738591133,1665.14,1629.75,54701
1738591193,1665.14,1629.55,54705
1738591211,1665.14,1629.55,54705
1738591296,1665.13,1626.00,54716
1738591369,1665.13,1625.00,54718
1738591439,1664.98,1621.05,54907
1738591492,1664.98,1621.05,54907
1738591559,1664.98,1621.05,54907
1738591611,1664.95,1621.05,54946
1738591645,1664.95,1624.05,54950
1738591734,1664.93,1627.85,54971
1738591799,1664.75,1626.85,55207
1738591837,1664.75,1626.00,55208
1738591916,1664.06,1619.40,56073
1738591973,1664.05,1619.40,56082
1738592035,1664.04,1619.40,56097
1738592071,1664.04,1619.40,56097
1738592118,1664.03,1619.40,56103
1738592207,1664.03,1619.40,56109
1738592255,1664.03,1619.40,56109
1738592296,1664.03,1619.40,56109
1738592362,1664.02,1619.40,56113
1738592455,1664.01,1619.40,56133
1738592492,1664.01,1619.40,56133
1738592561,1664.01,1619.40,56134
1738592623,1664.01,1619.40,56136
1738592691,1663.96,1619.40,56197
1738592812,1663.95,1619.40,56205
1738592861,1663.95,1619.40,56205
1738592939,1663.91,1619.40,56251
1738592995,1663.91,1619.40,56251
1738593086,1663.87,1619.40,56313
1738593157,1663.86,1619.40,56319
1738593219,1663.86,1619.40,56319
1738593379,1663.86,1619.40,56322
1738593471,1663.85,1619.40,56327
1738593535,1663.85,1619.40,56330
1738593594,1663.83,1619.40,56355
1738593651,1663.83,1619.40,56355
1738593677,1663.68,1619.40,56547
1738593777,1663.68,1619.40,56550
1738593824,1663.52,1619.40,56750
1738593894,1663.52,1619.40,56752
1738593959,1663.52,1619.40,56759
1738594007,1663.51,1619.40,56765
1738594055,1663.51,1619.40,56772
1738594229,1663.50,1619.40,56776
1738594311,1663.50,1619.40,56778
1738594428,1663.50,1619.40,56779
1738594592,1663.48,1619.40,56800
1738594664,1663.48,1619.40,56801
1738594736,1663.48,1619.40,56803
1738594799,1663.47,1619.40,56813
1738594834,1663.47,1619.40,56823
1738594937,1663.45,1619.40,56845
1738595158,1663.45,1619.40,56845
1738595211,1663.44,1619.40,56852
1738595268,1663.31,1619.40,57022
1738595387,1663.27,1619.40,57077
1738595444,1663.25,1619.40,57100
1738595510,1663.24,1619.40,57120
1738595536,1663.24,1619.40,57120
1738595638,1663.02,1619.40,57405
1738595682,1663.01,1619.40,57418
1738595737,1663.01,1619.40,57419
1738595810,1662.68,1619.40,57856
1738595861,1662.58,1619.40,57986
1738595907,1662.56,1619.40,58015
1738595991,1662.24,1619.40,58450
1738596052,1662.23,1619.40,58465
1738596118,1662.18,1619.40,58531
1738596142,1662.16,1619.40,58559
1738596209,1662.14,1619.40,58582
1738596280,1662.14,1619.40,58587
1738596338,1662.14,1619.40,58587
1738596414,1662.14,1619.40,58587
1738596472,1662.13,1619.40,58602
1738596535,1662.02,1619.40,58754
1738596592,1661.98,1619.40,58811
1738596601,1661.98,1619.40,58811
1738596676,1661.98,1619.40,58811
1738597201,1661.98,1619.40,58811
1738597356,1661.98,1619.40,58811
1738597393,1661.98,1619.40,58811
1738597497,1661.98,1619.40,58811
1738598300,1661.98,1619.40,58811
1738598401,1661.98,1619.40,58811
1738573634,1729.85,1729.85,677
1738573740,1729.85,1729.85,677
1738573958,1729.85,1729.85,677
1738573981,1729.85,1729.85,677
1738574159,1727.89,1724.00,1447
1738574219,1728.41,1737.00,2011
1738574279,1728.83,1736.00,2463
1738574335,1745.88,1760.00,4266
1738574396,1744.96,1746.95,4813
1738574451,1745.14,1744.95,5290
1738574518,1744.91,1744.95,5537
1738574578,1744.63,1733.00,5831
1738574637,1744.03,1730.00,6150
1738574699,1743.59,1721.05,6359
1738574756,1743.38,1725.00,6459
1738574818,1743.07,1729.90,6556
1738574879,1742.29,1729.90,6883
1738574934,1741.71,1733.00,7287
1738574998,1741.26,1730.00,7612
1738575059,1738.73,1712.05,8743
1738575116,1738.52,1740.00,9225
1738575172,1738.53,1740.00,9281
1738575239,1738.66,1745.00,9515
1738575299,1738.78,1733.25,9671
1738575339,1738.77,1739.95,9704
1738575417,1738.78,1740.00,9731
1738575475,1738.77,1733.35,9732
1738575538,1738.79,1740.10,9822
1738575599,1738.84,1745.00,10053
1738575658,1738.85,1734.05,10127
1738575719,1738.59,1734.00,10558
1738575774,1738.09,1729.95,11358
1738575836,1737.88,1713.40,11467
1738575898,1737.08,1710.00,11882
1738575958,1736.64,1708.00,12082
1738576014,1736.30,1708.00,12225
1738576075,1735.85,1705.10,12411
1738576137,1735.23,1718.95,12710
1738576195,1734.79,1705.45,12994
1738576259,1734.51,1715.00,13176
1738576318,1734.47,1714.95,13203
1738576363,1734.38,1715.00,13263
1738576435,1733.27,1728.95,14074
1738576486,1733.23,1720.00,14117
1738576547,1733.23,1717.85,14121
1738576618,1733.02,1711.05,14307
1738576677,1732.92,1730.00,14536
1738576739,1732.92,1728.00,14548
1738576799,1732.67,1710.00,14720
1738576855,1732.14,1723.75,15081
1738576918,1732.12,1710.15,15120
1738576978,1731.97,1708.00,15218
1738577039,1731.86,1708.00,15289
1738577098,1731.84,1715.70,15309
1738577159,1731.70,1719.35,15437
1738577219,1731.66,1715.05,15478
1738577276,1731.65,1718.95,15486
1738577338,1731.63,1723.80,15504
1738577394,1730.04,1705.00,16504
1738577459,1729.94,1715.00,16618
1738577519,1729.91,1708.80,16645
1738577574,1729.81,1713.20,16718
1738577632,1729.81,1713.20,16718
1738577696,1729.78,1713.00,16751
1738577745,1729.77,1712.85,16762
1738577796,1729.77,1712.85,16762
1738577868,1729.50,1712.95,16958
1738577930,1729.43,1705.00,17008
1738577989,1729.13,1705.05,17297
1738578052,1729.13,1713.00,17301
1738578118,1729.09,1707.00,17343
1738578163,1729.09,1707.00,17343
1738578232,1729.05,1711.95,17377
1738578272,1728.83,1712.00,17611
1738578354,1728.77,1712.00,17668
1738578396,1728.68,1711.55,17775
1738578479,1728.66,1710.20,17790
1738578510,1728.65,1713.95,17801
1738578593,1728.65,1714.00,17806
1738578659,1728.65,1713.90,17808
1738578719,1726.94,1685.15,19109
1738578778,1724.87,1680.00,19999
1738578838,1723.94,1673.10,20377
1738578899,1721.77,1680.00,21384
1738578958,1721.66,1673.10,21441
1738579018,1721.51,1673.10,21508
1738579078,1721.47,1679.90,21529
1738579138,1721.45,1679.90,21538
1738579178,1721.45,1679.90,21538
1738579254,1721.45,1679.90,21538
1738579316,1720.83,1670.00,21814
1738579379,1720.16,1653.30,22055
1738579438,1720.02,1659.00,22104
1738579498,1718.91,1643.10,22449
1738579559,1718.47,1655.00,22607
1738579601,1718.05,1644.00,22735
1738579679,1717.77,1655.00,22835
1738579732,1717.29,1644.10,23003
1738579799,1717.29,1660.00,23004
1738579859,1717.18,1649.95,23044
1738579919,1712.30,1650.00,24846
1738579977,1709.42,1650.00,26051
1738580039,1705.96,1643.10,27649
1738580098,1704.76,1646.95,28236
1738580151,1704.66,1646.95,28287
1738580219,1703.52,1640.05,28810
1738580279,1703.28,1640.00,28921
1738580338,1701.21,1634.00,29693
1738580398,1696.94,1619.40,31336
