t,ap,cp,v
1738586212,55.75,55.67,393
1738586279,55.75,55.67,393
1738586322,55.75,55.67,393
1738586382,55.75,55.67,393
1738586455,55.75,55.67,393
1738586516,55.75,55.67,393
1738586578,55.75,55.67,393
1738586635,55.75,55.67,393
1738586690,55.75,55.67,393
1738586754,55.75,55.67,393
1738586812,55.75,55.67,393
1738586872,55.73,55.65,473
1738586917,55.73,55.65,473
1738586992,55.73,55.65,473
1738587057,55.73,55.65,473
1738587107,55.73,55.65,473
1738587147,55.73,55.65,473
1738587238,55.73,55.65,473
1738587299,55.73,55.65,473
1738587321,55.73,55.65,473
1738587407,55.73,55.65,473
1738587462,55.73,55.65,473
1738587590,55.73,55.65,473
1738587627,55.73,55.65,473
1738587818,55.73,55.65,473
1738587884,55.73,55.65,473
1738587957,55.73,55.65,473
1738588008,55.73,55.65,473
1738588079,55.81,56.07,623
1738588108,55.81,56.07,623
1738588152,55.81,56.07,623
1738588214,55.81,56.07,623
1738588264,55.81,56.07,623
1738588437,55.81,56.07,623
1738588468,55.81,56.07,623
1738588891,55.81,56.07,623
1738589564,55.81,55.95,646
1738589636,55.81,55.95,646
1738589650,55.81,55.95,646
1738589757,55.81,55.95,646
1738589817,55.81,55.95,646
1738589878,55.81,55.95,646
1738589938,55.81,55.95,646
1738589999,55.81,55.95,646
1738590058,55.81,55.95,646
1738590118,55.81,55.95,646
1738590179,55.81,55.95,646
1738590239,55.81,55.95,646
1738590299,55.81,55.95,646
1738590359,55.81,55.95,646
1738590419,55.81,55.95,646
1738590477,55.81,55.95,646
1738590536,55.81,55.95,646
1738590555,55.81,55.95,646
1738590657,55.81,55.95,646
1738590714,55.81,55.95,646
1738590777,55.81,55.95,646
1738590829,55.81,55.95,646
1738590898,55.81,55.95,646
1738590959,55.81,55.95,646
1738591016,55.81,55.95,646
1738591076,55.81,55.95,646
1738591136,55.81,55.95,646
1738591199,55.81,55.95,646
1738591259,55.81,55.95,646
1738591319,55.81,55.95,646
1738591378,55.81,55.95,646
1738591431,55.81,55.95,646
1738591499,55.81,55.95,646
1738591559,55.81,55.95,646
1738591604,55.81,55.95,646
1738591628,55.81,55.95,646
1738591703,55.81,55.95,646
1738591770,55.81,55.95,646
1738591859,55.81,55.95,646
1738591919,55.81,55.95,646
1738591977,55.81,55.95,646
1738592026,55.81,55.95,646
1738592098,55.81,55.95,646
1738592141,55.81,55.95,646
1738592219,55.81,55.95,646
1738592276,55.81,55.95,646
1738592322,55.81,55.95,646
1738592399,55.81,55.95,646
1738592443,55.81,55.95,646
1738592519,55.82,56.26,656
1738592579,55.82,56.26,656
1738592639,55.82,56.26,656
1738592699,55.82,56.26,656
1738592759,55.82,56.26,656
1738592818,55.82,56.26,656
1738592878,55.82,56.26,656
1738592938,55.82,56.26,656
1738592994,55.82,56.26,656
1738593059,55.82,56.26,656
1738593117,55.82,56.26,656
1738593178,55.82,56.26,656
1738593234,55.82,56.26,656
1738593270,55.82,56.26,656
1738593351,55.82,56.26,656
1738593415,55.82,56.26,656
1738593531,55.82,56.26,656
1738593598,55.82,56.26,656
1738593658,55.82,56.26,656
1738593718,55.82,56.26,656
1738593779,55.82,56.26,656
1738593838,55.82,56.26,656
1738593898,55.82,56.26,656
1738593959,55.82,56.26,656
1738594017,55.82,56.26,656
1738594035,55.82,56.26,656
1738594146,55.82,56.26,656
1738594435,55.82,56.26,656
1738594441,55.82,56.26,656
1738594890,55.82,56.26,656
1738595145,55.82,56.26,656
1738595217,55.82,56.26,656
1738595253,55.82,55.85,661
1738595307,55.82,55.85,661
1738595381,55.82,55.85,661
1738595458,55.82,55.85,661
1738595519,55.82,55.85,661
1738595579,55.82,55.85,661
1738595612,55.82,55.85,661
1738595692,55.82,55.85,661
1738595754,55.82,55.85,661
1738595809,55.82,55.93,667
1738595846,55.82,55.93,667
1738595990,55.82,55.93,667
1738596009,55.82,55.93,667
1738596136,55.82,55.93,667
1738596231,55.82,55.93,667
1738596292,55.82,55.93,667
1738596357,55.82,55.93,667
1738596413,55.82,55.93,667
1738596479,55.82,55.93,667
1738596509,55.82,55.65,675
1738596599,55.82,55.65,675
1738596603,55.82,55.65,675
1738596684,55.82,55.65,675
1738597201,55.82,55.65,675
1738598400,55.82,55.65,675
1738598483,55.82,55.65,675
1738574156,55.88,55.88,1
1738574213,55.88,55.88,1
1738574278,55.88,55.88,1
1738574339,55.88,55.88,1
1738574394,55.88,55.88,1
1738574458,55.88,55.88,1
1738574495,55.88,55.88,1
1738574570,55.88,55.88,1
1738574636,55.88,55.88,1
1738574697,55.88,55.88,1
1738574756,55.88,55.88,1
1738574817,55.87,55.87,59
1738574876,55.87,55.87,59
1738574936,55.87,55.87,59
1738574996,55.87,55.87,59
1738575056,55.87,55.87,59
1738575117,55.87,55.87,59
1738575178,55.87,55.87,59
1738575236,55.87,55.87,59
1738575298,55.87,55.87,59
1738575358,55.87,55.87,59
1738575417,55.87,55.87,59
1738575474,55.87,55.87,59
1738575533,55.87,55.87,59
1738575598,55.87,55.87,59
1738575658,55.87,55.87,59
1738575719,55.87,55.87,59
1738575741,55.87,55.87,59
1738575835,55.87,55.87,59
1738575878,55.87,55.87,59
1738575953,55.87,55.87,59
1738576009,55.87,55.87,59
1738576034,55.87,55.87,59
1738576139,55.87,55.87,59
1738576199,55.87,55.87,59
1738576258,55.87,55.87,59
1738576319,55.87,55.87,59
1738576379,55.87,55.87,59
1738576437,55.87,55.87,59
1738576499,55.87,55.87,59
1738576556,55.87,55.87,59
1738576617,55.87,55.87,59
1738576673,55.82,55.80,151
1738576737,55.82,55.56,152
1738576797,55.82,55.56,152
1738576850,55.82,55.56,152
1738576918,55.82,55.56,152
1738576979,55.82,55.56,152
1738577039,55.82,55.56,152
1738577098,55.82,55.56,152
1738577158,55.82,55.56,152
1738577207,55.82,55.56,152
1738577262,55.82,55.56,152
1738577339,55.82,55.56,152
1738577398,55.82,55.56,152
1738577452,55.82,55.56,152
1738577507,55.82,55.56,152
1738577554,55.82,55.56,152
1738577693,55.82,55.86,153
1738577733,55.82,55.86,153
1738577809,55.82,55.86,153
1738577868,55.82,55.86,153
1738577880,55.82,55.86,153
1738577996,55.82,55.86,153
1738578044,55.82,55.86,153
1738578119,55.82,55.86,153
1738578166,55.82,55.86,153
1738578235,55.82,55.86,153
1738578296,55.82,55.86,153
1738578346,55.82,55.86,153
1738578369,55.82,55.86,153
1738578452,55.82,55.86,153
1738578536,55.82,55.86,153
1738578598,55.82,55.86,153
1738578656,55.82,55.86,153
1738578717,55.82,55.86,153
1738578765,55.82,55.86,153
1738578838,55.82,55.86,153
1738578871,55.82,55.86,153
1738578947,55.82,55.86,153
1738578988,55.82,55.86,153
1738579056,55.82,55.86,153
1738579135,55.82,55.86,153
1738579195,55.82,55.86,153
1738579244,55.82,55.86,153
1738579316,55.82,55.86,153
1738579370,55.82,55.86,153
1738579435,55.82,55.86,153
1738579484,55.82,55.86,153
1738579556,55.82,55.86,153
1738579617,55.82,55.86,153
1738579679,55.82,55.86,153
1738579738,55.82,55.86,153
1738579781,55.82,55.86,153
1738579919,55.82,55.86,153
1738579979,55.82,55.86,153
1738580038,55.82,55.86,153
1738580059,55.82,55.86,153
1738580139,55.82,55.86,153
1738580218,55.82,55.86,153
1738580276,55.82,55.86,153
1738580326,55.82,55.86,153
1738580395,55.82,55.86,153
1738580445,55.82,55.86,153
1738580466,55.82,55.86,153
1738580525,55.82,55.86,153
1738580696,55.79,55.67,253
1738580752,55.79,55.67,253
1738580817,55.79,55.67,253
1738580868,55.79,55.67,253
1738580933,55.79,55.67,253
1738580986,55.79,55.67,253
1738581057,55.79,55.67,253
1738581117,55.79,55.67,253
1738581169,55.79,55.67,253
1738581236,55.79,55.67,253
1738581295,55.79,55.67,253
1738581357,55.79,55.67,253
1738581414,55.79,55.67,253
1738581450,55.79,55.67,253
1738581536,55.79,55.67,253
1738581583,55.79,55.67,253
1738581648,55.79,55.67,253
1738581701,55.79,55.67,253
1738581778,55.79,55.67,253
1738581839,55.79,55.67,253
1738581872,55.79,55.67,253
1738581959,55.79,55.67,253
1738582013,55.79,55.67,253
1738582061,55.79,55.67,253
1738582110,55.79,55.67,253
1738582175,55.79,55.67,253
1738582229,55.79,55.67,253
1738582302,55.79,55.67,253
1738582343,55.79,55.67,253
1738582421,55.79,55.67,253
1738582456,55.79,55.67,253
1738582528,55.79,55.67,253
1738582582,55.79,55.67,253
1738582679,55.79,55.67,253
1738582735,55.79,55.67,253
1738582789,55.79,55.67,253
1738582835,55.79,55.67,253
1738582914,55.79,55.67,253
1738582976,55.79,55.67,253
1738583030,55.79,55.67,253
1738583096,55.79,55.67,253
1738583147,55.79,55.67,253
1738583214,55.79,55.67,253
1738583279,55.79,55.67,253
1738583331,55.79,55.67,253
1738583398,55.79,55.67,253
1738583453,55.79,55.67,253
1738583519,55.79,55.67,253
1738583579,55.79,55.67,253
1738583639,55.79,55.67,253
1738583696,55.79,55.67,253
1738583756,55.79,55.67,253
1738583818,55.79,55.67,253
1738583851,55.79,55.67,253
1738583927,55.79,55.67,253
1738583992,55.79,55.67,253
1738584009,55.79,55.67,253
1738584092,55.79,55.67,253
1738584158,55.79,55.67,253
1738584239,55.79,55.67,253
1738584293,55.79,55.67,253
1738584344,55.79,55.67,253
1738584416,55.79,55.67,253
1738584474,55.79,55.67,253
1738584539,55.75,55.67,393
1738584599,55.75,55.67,393
1738584655,55.75,55.67,393
1738584718,55.75,55.67,393
1738584777,55.75,55.67,393
1738584839,55.75,55.67,393
1738584898,55.75,55.67,393
1738584953,55.75,55.67,393
1738585019,55.75,55.67,393
1738585079,55.75,55.67,393
1738585139,55.75,55.67,393
1738585195,55.75,55.67,393
1738585257,55.75,55.67,393
1738585318,55.75,55.67,393
1738585378,55.75,55.67,393
1738585433,55.75,55.67,393
1738585499,55.75,55.67,393
1738585559,55.75,55.67,393
1738585594,55.75,55.67,393
1738585679,55.75,55.67,393
1738585733,55.75,55.67,393
1738585799,55.75,55.67,393
1738585856,55.75,55.67,393
1738585917,55.75,55.67,393
1738585979,55.75,55.67,393
1738586038,55.75,55.67,393
1738586096,55.75,55.67,393
1738586137,55.75,55.67,393
1738586212,55.75,55.67,393
1738586279,55.75,55.67,393
1738586322,55.75,55.67,393
1738586382,55.75,55.67,393
1738586455,55.75,55.67,393
1738586516,55.75,55.67,393
1738586578,55.75,55.67,393
1738586635,55.75,55.67,393
1738586690,55.75,55.67,393
1738586754,55.75,55.67,393
1738586812,55.75,55.67,393
1738586872,55.73,55.65,473
1738586917,55.73,55.65,473
1738586992,55.73,55.65,473
1738587057,55.73,55.65,473
1738587107,55.73,55.65,473
1738587147,55.73,55.65,473
1738587238,55.73,55.65,473
1738587299,55.73,55.65,473
1738587321,55.73,55.65,473
1738587407,55.73,55.65,473
1738587462,55.73,55.65,473
1738587590,55.73,55.65,473
1738587627,55.73,55.65,473
1738587818,55.73,55.65,473
1738587884,55.73,55.65,473
1738587957,55.73,55.65,473
1738588008,55.73,55.65,473
1738588079,55.81,56.07,623
1738588108,55.81,56.07,623
1738588152,55.81,56.07,623
1738588214,55.81,56.07,623
1738588264,55.81,56.07,623
1738588437,55.81,56.07,623
1738588468,55.81,56.07,623
1738588891,55.81,56.07,623
1738589564,55.81,55.95,646
1738589636,55.81,55.95,646
1738589650,55.81,55.95,646
1738589757,55.81,55.95,646
1738589817,55.81,55.95,646
1738589878,55.81,55.95,646
1738589938,55.81,55.95,646
1738589999,55.81,55.95,646
1738590058,55.81,55.95,646
1738590118,55.81,55.95,646
1738590179,55.81,55.95,646
1738590239,55.81,55.95,646
1738590299,55.81,55.95,646
1738590359,55.81,55.95,646
1738590419,55.81,55.95,646
1738590477,55.81,55.95,646
1738590536,55.81,55.95,646
1738590555,55.81,55.95,646
1738590657,55.81,55.95,646
1738590714,55.81,55.95,646
1738590777,55.81,55.95,646
1738590829,55.81,55.95,646
1738590898,55.81,55.95,646
1738590959,55.81,55.95,646
1738591016,55.81,55.95,646
1738591076,55.81,55.95,646
1738591136,55.81,55.95,646
1738591199,55.81,55.95,646
1738591259,55.81,55.95,646
1738591319,55.81,55.95,646
1738591378,55.81,55.95,646
1738591431,55.81,55.95,646
1738591499,55.81,55.95,646
1738591559,55.81,55.95,646
1738591604,55.81,55.95,646
1738591628,55.81,55.95,646
1738591703,55.81,55.95,646
1738591770,55.81,55.95,646
1738591859,55.81,55.95,646
1738591919,55.81,55.95,646
1738591977,55.81,55.95,646
1738592026,55.81,55.95,646
1738592098,55.81,55.95,646
1738592141,55.81,55.95,646
1738592219,55.81,55.95,646
1738592276,55.81,55.95,646
1738592322,55.81,55.95,646
1738592399,55.81,55.95,646
1738592443,55.81,55.95,646
1738592519,55.82,56.26,656
1738592579,55.82,56.26,656
1738592639,55.82,56.26,656
1738592699,55.82,56.26,656
1738592759,55.82,56.26,656
1738592818,55.82,56.26,656
1738592878,55.82,56.26,656
1738592938,55.82,56.26,656
1738592994,55.82,56.26,656
1738593059,55.82,56.26,656
1738593117,55.82,56.26,656
1738593178,55.82,56.26,656
1738593234,55.82,56.26,656
1738593270,55.82,56.26,656
1738593351,55.82,56.26,656
1738593415,55.82,56.26,656
1738593531,55.82,56.26,656
1738593598,55.82,56.26,656
1738593658,55.82,56.26,656
1738593718,55.82,56.26,656
1738593779,55.82,56.26,656
1738593838,55.82,56.26,656
1738593898,55.82,56.26,656
1738593959,55.82,56.26,656
1738594017,55.82,56.26,656
1738594035,55.82,56.26,656
1738594146,55.82,56.26,656
1738594435,55.82,56.26,656
1738594441,55.82,56.26,656
1738594890,55.82,56.26,656
1738595145,55.82,56.26,656
1738595217,55.82,56.26,656
1738595253,55.82,55.85,661
1738595307,55.82,55.85,661
1738595381,55.82,55.85,661
1738595458,55.82,55.85,661
1738595519,55.82,55.85,661
1738595579,55.82,55.85,661
1738595612,55.82,55.85,661
1738595692,55.82,55.85,661
1738595754,55.82,55.85,661
1738595809,55.82,55.93,667
1738595846,55.82,55.93,667
1738595990,55.82,55.93,667
1738596009,55.82,55.93,667
1738596136,55.82,55.93,667
1738596231,55.82,55.93,667
1738596292,55.82,55.93,667
1738596357,55.82,55.93,667
1738596413,55.82,55.93,667
1738596479,55.82,55.93,667
1738596509,55.82,55.65,675
1738596599,55.82,55.65,675
1738596603,55.82,55.65,675
1738596684,55.82,55.65,675
1738597201,55.82,55.65,675
1738598400,55.82,55.65,675
1738598483,55.82,55.65,675
