t,ap,cp,v
1738573740,1131.30,1131.30,130
1738574159,1134.60,1139.15,1728
1738574219,1134.48,1119.35,1925
1738574279,1132.34,1118.80,2249
1738574339,1132.18,1132.00,2514
1738574399,1132.38,1139.55,2697
1738574459,1132.64,1135.70,3233
1738574518,1132.55,1130.20,3350
1738574579,1132.74,1137.80,3652
1738574639,1133.82,1142.55,4311
1738574699,1134.61,1141.65,4677
1738574758,1135.27,1150.00,4885
1738574819,1135.35,1154.95,4908
1738574879,1135.35,1154.95,4908
1738574939,1136.03,1147.45,5098
1738574999,1136.28,1148.35,5200
1738575059,1136.49,1143.80,5326
1738575119,1137.97,1145.00,6421
1738575179,1137.98,1144.00,6435
1738575239,1138.50,1146.00,6935
1738575295,1138.50,1146.00,6935
1738575357,1138.59,1145.00,7035
1738575419,1138.59,1145.00,7035
1738575478,1138.59,1145.00,7035
1738575539,1138.59,1145.00,7035
1738575598,1138.59,1145.00,7035
1738575659,1138.61,1145.00,7061
1738575717,1138.62,1145.00,7070
1738575779,1138.67,1144.50,7133
1738575839,1138.67,1144.50,7133
1738575899,1138.94,1141.35,7582
1738575959,1138.94,1141.35,7582
1738576019,1138.91,1136.65,7674
1738576079,1138.91,1136.65,7674
1738576139,1138.91,1139.85,7675
1738576199,1138.91,1139.85,7675
1738576257,1138.91,1144.10,7678
1738576319,1138.91,1144.10,7678
1738576378,1138.92,1143.10,7699
1738576439,1139.00,1141.45,7945
1738576499,1139.01,1140.00,7965
1738576559,1138.99,1136.90,8028
1738576619,1138.99,1136.65,8029
1738576679,1138.98,1135.00,8039
1738576739,1138.94,1132.00,8096
1738576799,1138.94,1132.00,8096
1738576859,1138.92,1133.95,8118
1738576918,1138.85,1135.70,8247
1738576977,1138.84,1132.75,8268
1738577039,1138.76,1135.20,8440
1738577099,1138.76,1136.40,8441
1738577159,1138.76,1136.40,8441
1738577219,1138.78,1140.60,8553
1738577279,1138.80,1140.95,8653
1738577339,1138.83,1140.75,8787
1738577398,1138.84,1139.40,8812
1738577459,1138.84,1139.40,8812
1738577519,1138.87,1141.30,8927
1738577579,1138.87,1141.30,8927
1738577639,1138.88,1141.30,8952
1738577699,1138.88,1141.30,8952
1738577759,1138.88,1141.30,8952
1738577818,1138.88,1141.70,8953
1738577877,1138.88,1141.70,8953
1738577938,1138.89,1143.35,8977
1738577996,1138.93,1140.85,9177
1738578059,1138.93,1140.85,9177
1738578116,1138.93,1140.85,9177
1738578177,1138.96,1140.50,9311
1738578234,1138.96,1140.50,9311
1738578293,1138.96,1137.50,9325
1738578357,1138.95,1137.40,9336
1738578418,1138.94,1135.20,9391
1738578478,1138.89,1131.30,9455
1738578539,1138.67,1130.00,9696
1738578598,1138.67,1130.00,9696
1738578656,1138.67,1130.00,9696
1738578719,1138.61,1132.05,9798
1738578779,1138.60,1131.25,9816
1738578839,1138.46,1137.30,10165
1738578899,1138.46,1137.30,10165
1738578958,1138.46,1137.30,10165
1738579017,1138.46,1136.90,10524
1738579079,1138.46,1136.90,10524
1738579133,1138.46,1136.90,10524
1738579196,1138.46,1136.90,10524
1738579259,1138.46,1136.90,10524
1738579315,1138.45,1134.30,10526
1738579377,1138.45,1134.30,10526
1738579439,1138.45,1134.30,10526
1738579494,1138.44,1135.20,10562
1738579558,1138.44,1134.30,10573
1738579610,1138.44,1134.30,10573
1738579679,1138.44,1134.30,10573
1738579737,1138.44,1134.30,10573
1738579795,1138.44,1134.30,10573
1738579858,1138.44,1134.30,10573
1738579917,1138.44,1134.30,10573
1738579976,1138.43,1136.95,10679
1738580039,1138.43,1136.95,10679
1738580099,1138.43,1137.65,10681
1738580156,1138.43,1137.65,10681
1738580215,1138.43,1137.65,10681
1738580279,1138.43,1138.35,10683
1738580337,1138.43,1138.35,10683
1738580399,1138.43,1138.35,10683
1738580456,1138.54,1143.45,11063
1738580516,1138.55,1139.70,11101
1738580577,1138.55,1139.70,11101
1738580638,1138.55,1139.70,11101
1738580699,1138.55,1139.70,11101
1738580758,1138.55,1139.70,11101
1738580798,1138.55,1139.70,11101
1738580879,1138.55,1139.70,11101
1738580937,1138.55,1135.25,11106
1738580995,1138.53,1131.40,11134
1738581053,1138.53,1135.35,11138
1738581119,1138.53,1135.35,11138
1738581179,1138.53,1135.35,11138
1738581237,1138.47,1133.15,11260
1738581295,1138.47,1133.15,11260
1738581359,1138.47,1133.15,11260
1738581419,1138.46,1134.65,11295
1738581479,1138.40,1136.90,11576
1738581539,1138.40,1136.90,11576
1738581596,1138.34,1135.50,11824
1738581652,1138.34,1135.50,11824
1738581719,1138.34,1135.50,11824
1738581779,1138.34,1135.50,11824
1738581834,1138.34,1135.50,11824
1738581898,1138.34,1135.50,11824
1738581959,1138.34,1135.50,11824
1738582017,1138.33,1132.45,11845
1738582079,1138.33,1132.45,11845
1738582139,1138.33,1132.45,11845
1738582197,1138.31,1132.85,11886
1738582257,1138.31,1132.85,11886
1738582316,1138.31,1132.85,11886
1738582378,1138.31,1132.85,11886
1738582438,1137.99,1131.95,12486
1738582498,1137.99,1131.95,12486
1738582556,1137.99,1131.95,12486
1738582619,1137.89,1130.25,12654
1738582679,1137.89,1130.25,12654
1738582738,1137.89,1130.25,12654
1738582798,1137.87,1130.35,12686
1738582858,1137.87,1130.35,12686
1738582919,1137.87,1130.35,12686
1738582978,1137.87,1130.35,12686
1738583038,1137.84,1130.30,12746
1738583098,1137.81,1130.30,12796
1738583152,1137.79,1128.70,12816
1738583213,1137.79,1128.70,12816
1738583272,1137.73,1130.90,12917
1738583338,1137.73,1130.90,12917
1738583398,1137.73,1130.90,12917
1738583459,1137.73,1130.90,12922
1738583514,1137.73,1130.90,12922
1738583577,1137.73,1130.90,12922
1738583639,1137.45,1129.05,13394
1738583699,1137.18,1127.05,13805
1738583759,1137.18,1128.90,13810
1738583817,1137.18,1128.90,13810
1738583879,1137.18,1128.90,13816
1738583935,1137.18,1128.90,13816
1738583993,1137.12,1130.90,13925
1738584059,1137.11,1130.05,13946
1738584113,1137.11,1131.50,13955
1738584179,1137.07,1128.75,14030
1738584239,1136.95,1124.05,14183
1738584299,1136.95,1124.05,14183
1738584359,1136.95,1124.05,14183
1738584419,1136.95,1124.05,14183
1738584479,1136.90,1127.00,14251
1738584538,1136.90,1127.00,14251
1738584599,1136.90,1127.00,14251
1738584656,1136.89,1130.80,14270
1738584717,1136.86,1132.40,14360
1738584774,1136.86,1132.40,14360
1738584836,1136.86,1132.40,14360
1738584899,1136.86,1132.40,14360
1738584936,1136.86,1132.40,14360
1738585011,1136.86,1132.40,14360
1738585078,1136.86,1132.40,14360
1738585138,1136.83,1132.80,14467
1738585196,1136.83,1132.80,14467
1738585258,1136.83,1132.80,14467
1738585318,1136.83,1132.80,14467
1738585379,1136.83,1132.80,14467
1738585439,1136.83,1132.80,14467
1738585497,1136.83,1132.80,14467
1738585559,1136.70,1127.25,14674
1738585613,1136.70,1127.25,14674
1738585678,1136.70,1127.25,14674
1738585739,1136.70,1127.25,14674
1738585798,1136.70,1127.25,14674
1738585859,1136.65,1128.55,14753
1738585919,1136.65,1128.55,14753
1738585975,1136.65,1128.55,14753
1738586036,1136.65,1129.75,14754
1738586099,1136.65,1129.75,14754
1738586159,1136.65,1129.75,14754
1738586218,1136.65,1128.75,14760
1738586274,1136.65,1128.75,14760
1738586339,1136.65,1128.75,14760
1738586398,1136.52,1131.35,15070
1738586459,1136.52,1131.35,15070
1738586508,1136.52,1131.35,15070
1738586579,1136.52,1131.35,15070
1738586639,1136.51,1132.00,15110
1738586699,1136.50,1132.00,15160
1738586757,1136.47,1130.65,15230
1738586819,1136.47,1129.75,15235
1738586879,1136.47,1129.75,15235
1738586935,1136.47,1129.75,15235
1738586986,1136.47,1129.75,15235
1738587057,1136.44,1132.05,15335
1738587119,1136.44,1132.05,15335
1738587176,1136.44,1132.05,15335
1738587234,1135.89,1126.00,16335
1738587298,1135.89,1126.00,16335
1738587356,1135.89,1126.00,16335
1738587419,1135.89,1131.70,16366
1738587479,1135.88,1131.70,16375
1738587539,1135.88,1131.70,16375
1738587599,1135.88,1131.70,16375
1738587657,1135.88,1134.00,16408
1738587715,1135.88,1134.00,16408
1738587778,1135.88,1134.00,16408
1738587835,1135.87,1134.35,16482
1738587898,1135.87,1134.35,16482
1738587958,1135.87,1134.35,16482
1738588019,1135.87,1134.35,16482
1738588079,1135.87,1134.35,16482
1738588138,1135.87,1132.10,16483
1738588199,1135.87,1132.20,16504
1738588259,1135.86,1131.50,16526
1738588317,1135.86,1131.50,16526
1738588375,1135.86,1131.50,16526
1738588439,1135.86,1131.50,16526
1738588488,1135.86,1131.50,16526
1738588559,1135.86,1132.70,16530
1738588614,1135.86,1132.70,16530
1738588675,1135.86,1134.00,16564
1738588739,1135.86,1134.00,16564
1738588798,1135.86,1134.35,16566
1738588859,1135.86,1134.35,16566
1738588919,1135.86,1134.35,16566
1738588969,1135.86,1134.35,16566
1738589034,1135.86,1134.35,16566
1738589097,1135.85,1131.50,16576
1738589156,1135.85,1131.50,16576
1738589219,1135.85,1131.50,16576
1738589277,1135.85,1131.50,16576
1738589339,1135.85,1131.30,16586
1738589384,1135.85,1131.30,16586
1738589459,1135.84,1131.55,16621
1738589519,1135.84,1131.55,16621
1738589576,1135.84,1131.55,16621
1738589633,1135.84,1131.55,16621
1738589699,1135.83,1132.00,16661
1738589759,1135.79,1132.85,16887
1738589816,1135.79,1132.85,16887
1738589878,1135.79,1132.85,16887
1738589939,1135.79,1132.85,16887
1738589999,1135.79,1132.85,16887
1738590059,1135.79,1132.85,16887
1738590119,1135.79,1132.70,16908
1738590178,1135.79,1132.70,16908
1738590237,1135.79,1132.40,16915
1738590299,1135.79,1132.40,16915
1738590359,1135.79,1132.40,16915
1738590418,1135.79,1132.40,16915
1738590479,1135.79,1132.40,16915
1738590538,1135.79,1132.40,16915
1738590599,1135.79,1132.40,16915
1738590658,1135.79,1132.40,16915
1738590718,1135.79,1133.10,16916
1738590777,1135.79,1133.10,16916
1738590838,1135.78,1131.10,16944
1738590891,1135.77,1131.95,17002
1738590957,1135.77,1131.95,17002
1738591015,1135.77,1131.95,17002
1738591078,1135.77,1131.95,17002
1738591139,1135.77,1131.95,17002
1738591199,1135.77,1131.95,17002
1738591259,1135.77,1131.95,17002
1738591317,1135.77,1131.95,17004
1738591375,1135.77,1131.95,17004
1738591439,1135.77,1131.95,17004
1738591494,1135.77,1131.95,17004
1738591548,1135.77,1131.95,17004
1738591615,1135.77,1131.95,17004
1738591679,1135.76,1131.95,17049
1738591738,1135.76,1131.95,17049
1738591796,1135.76,1131.95,17049
1738591849,1135.76,1131.95,17049
1738591910,1135.76,1131.95,17049
1738591973,1135.76,1131.95,17049
1738592038,1135.76,1131.95,17049
1738592098,1135.76,1131.95,17049
1738592159,1135.60,1128.55,17334
1738592219,1135.60,1128.55,17334
1738592279,1135.60,1128.55,17334
1738592339,1135.60,1128.55,17334
1738592399,1135.60,1128.55,17334
1738592457,1135.60,1130.85,17336
1738592518,1135.60,1130.85,17336
1738592579,1135.60,1130.85,17336
1738592639,1135.58,1130.20,17388
1738592695,1135.58,1130.20,17388
1738592755,1135.58,1130.20,17388
1738592814,1135.58,1130.30,17390
1738592875,1135.58,1130.30,17390
1738592938,1135.58,1130.30,17390
1738592997,1135.56,1131.30,17482
1738593058,1135.53,1130.45,17582
1738593118,1135.53,1130.75,17584
1738593179,1135.53,1130.75,17584
1738593239,1135.53,1130.75,17584
1738593299,1135.53,1130.75,17584
1738593358,1135.53,1130.75,17584
1738593419,1135.51,1131.15,17669
1738593479,1135.51,1131.15,17669
1738593539,1135.51,1132.20,17671
1738593589,1135.51,1132.20,17671
1738593649,1135.51,1132.20,17671
1738593718,1135.51,1132.20,17671
1738593778,1135.51,1132.20,17671
1738593837,1135.51,1132.20,17671
1738593899,1135.51,1132.20,17671
1738593957,1135.51,1132.20,17671
1738594018,1135.48,1132.35,17793
1738594069,1135.48,1132.35,17793
1738594139,1135.48,1132.00,17795
1738594198,1135.48,1132.00,17795
1738594250,1135.48,1132.00,17795
1738594319,1135.48,1132.00,17795
1738594369,1135.48,1131.95,17825
1738594439,1135.48,1131.95,17825
1738594499,1135.45,1130.50,17948
1738594559,1135.42,1132.40,18089
1738594619,1135.40,1132.40,18167
1738594678,1135.40,1132.40,18167
1738594738,1135.40,1132.75,18195
1738594799,1135.40,1132.75,18195
1738594857,1135.40,1132.75,18195
1738594919,1135.39,1132.75,18282
1738594979,1135.39,1132.75,18282
1738595035,1135.39,1132.75,18282
1738595099,1135.34,1133.30,18587
1738595155,1135.33,1133.30,18687
1738595217,1135.33,1133.30,18687
1738595279,1135.32,1132.00,18697
1738595338,1135.25,1132.00,19101
1738595399,1135.21,1134.75,19380
1738595459,1135.21,1135.55,19395
1738595518,1135.21,1135.00,19466
1738595579,1135.21,1138.00,19508
1738595639,1135.22,1138.00,19608
1738595694,1135.22,1138.00,19608
1738595759,1135.22,1135.40,19740
1738595819,1135.23,1133.70,19856
1738595879,1135.24,1139.00,19981
1738595936,1135.24,1136.90,19986
1738595999,1135.24,1135.70,20011
1738596059,1135.24,1135.95,20022
1738596119,1135.24,1135.50,20222
1738596178,1135.24,1135.50,20222
1738596239,1135.25,1138.00,20327
1738596299,1135.27,1136.35,20415
1738596359,1135.27,1136.35,20415
1738596419,1135.27,1136.60,20420
1738596479,1135.27,1141.20,20428
1738596539,1135.28,1138.45,20519
1738596596,1135.29,1137.10,20584
1738596600,1135.29,1137.10,20584
1738596678,1135.29,1137.10,20584
1738596902,1135.29,1137.10,20584
1738597239,1135.29,1137.10,20584
1738598126,1135.29,1137.10,20584
1738598251,1135.29,1137.10,20584
1738598402,1135.29,1137.10,20584
1738598486,1135.29,1137.10,20584
t,ap,cp,v
1738573635,1131.30,1131.30,130
1738573682,1131.30,1131.30,130
