t,ap,cp,v
1738595159,984.75,985.00,6950
1738595219,984.75,985.00,6951
1738595279,984.75,983.95,6960
1738595339,984.75,985.00,6984
1738595398,984.76,985.00,7028
1738595459,984.76,985.00,7143
1738595519,984.76,985.00,7154
1738595579,984.76,985.00,7154
1738595638,984.76,985.00,7166
1738595698,984.76,985.00,7166
1738595759,984.76,985.00,7183
1738595818,984.76,985.00,7183
1738595879,984.66,982.15,7533
1738595939,984.66,981.10,7538
1738595999,984.66,981.10,7538
1738596059,984.66,985.00,7548
1738596119,984.65,985.00,7601
1738596179,984.65,985.00,7601
1738596239,984.65,985.00,7601
1738596298,984.66,984.95,7619
1738596359,984.66,984.95,7619
1738596418,984.68,985.00,7857
1738596479,984.68,985.00,7857
1738596539,984.68,985.00,7857
1738596599,984.68,981.10,7861
1738596602,984.68,981.10,7861
1738596676,984.68,981.10,7861
1738597202,984.68,981.10,7861
1738597412,984.68,981.10,7861
1738597676,984.68,984.40,7862
1738597962,984.68,984.40,7862
1738598401,984.68,984.40,7862
1738598486,984.68,984.40,7862
t,ap,cp,v
1738574159,996.60,986.00,474
1738574219,996.50,986.85,479
1738574278,996.46,987.10,481
1738574339,996.46,987.10,481
1738574399,996.46,987.10,481
1738574459,995.11,981.85,530
1738574516,994.09,982.60,573
1738574577,991.53,984.05,794
1738574639,991.53,984.05,794
1738574696,991.53,984.05,794
1738574759,989.52,985.50,1125
1738574818,988.66,985.95,1436
1738574879,988.66,985.95,1436
1738574939,988.66,985.95,1436
1738574998,988.01,986.00,1905
1738575058,987.76,985.00,2150
1738575118,987.76,985.00,2150
1738575179,987.73,983.50,2170
1738575239,987.73,983.50,2170
1738575299,987.73,983.50,2170
1738575359,987.73,983.50,2170
1738575419,987.40,985.00,2430
1738575478,986.86,984.45,3194
1738575537,986.86,984.45,3194
1738575597,986.65,981.00,3318
1738575659,986.62,978.50,3330
1738575718,986.61,982.35,3340
1738575776,986.61,982.35,3340
1738575835,986.61,982.35,3340
1738575899,986.61,982.35,3340
1738575959,986.53,982.45,3410
1738576016,986.52,982.40,3419
1738576079,986.52,982.40,3419
1738576139,986.52,982.40,3419
1738576199,986.52,982.40,3419
1738576259,986.52,982.40,3419
1738576318,986.51,981.10,3421
1738576379,986.48,981.65,3444
1738576437,986.48,981.65,3444
1738576499,986.48,981.65,3444
1738576558,986.48,981.65,3444
1738576616,986.26,981.65,3598
1738576679,986.21,980.00,3625
1738576739,986.20,978.00,3630
1738576799,986.15,977.65,3651
1738576859,986.15,977.65,3651
1738576919,986.14,978.55,3656
1738576979,986.14,978.55,3656
1738577039,986.12,977.25,3668
1738577098,985.94,976.85,3740
1738577159,985.94,976.85,3740
1738577219,985.94,976.85,3740
1738577278,985.94,976.85,3740
1738577337,985.94,976.85,3740
1738577399,985.93,976.85,3744
1738577459,985.92,977.45,3745
1738577519,985.92,977.45,3745
1738577578,985.92,979.95,3746
1738577639,985.92,979.95,3746
1738577699,985.92,980.65,3750
1738577759,985.92,980.65,3750
1738577819,985.92,980.65,3750
1738577878,985.92,980.65,3750
1738577939,985.86,979.25,3785
1738577997,985.86,979.25,3785
1738578058,985.86,979.25,3785
1738578119,985.86,979.25,3785
1738578178,985.79,980.05,3831
1738578239,985.78,980.05,3838
1738578297,985.78,980.05,3838
1738578358,985.77,981.40,3840
1738578419,985.77,981.45,3844
1738578479,985.77,981.45,3844
1738578538,985.77,981.45,3844
1738578598,985.76,979.95,3851
1738578659,985.76,979.95,3851
1738578719,985.76,979.95,3851
1738578779,985.76,979.95,3851
1738578839,985.75,979.85,3856
1738578898,985.74,979.70,3865
1738578957,985.74,979.70,3865
1738579018,985.73,979.10,3868
1738579079,985.73,979.10,3870
1738579139,985.73,979.10,3870
1738579195,985.69,979.10,3890
1738579259,985.69,979.10,3890
1738579319,985.69,979.10,3890
1738579379,985.68,979.55,3895
1738579438,985.68,979.55,3895
1738579499,985.68,979.00,3896
1738579558,985.68,979.00,3896
1738579619,985.68,979.00,3896
1738579679,985.68,979.00,3896
1738579739,985.68,979.00,3896
1738579799,985.68,979.00,3896
1738579859,985.68,979.00,3896
1738579919,985.68,979.00,3896
1738579979,985.68,979.00,3896
1738580037,985.68,979.00,3896
1738580098,985.68,979.00,3900
1738580157,985.66,979.00,3912
1738580219,985.60,978.95,3943
1738580279,985.60,978.95,3943
1738580339,985.60,978.35,3945
1738580398,985.59,979.00,3951
1738580458,985.58,979.00,3956
1738580518,985.56,979.00,3964
1738580579,985.56,979.00,3969
1738580639,985.54,979.00,3979
1738580695,985.53,978.95,3984
1738580759,985.51,978.00,3994
1738580815,985.51,978.00,3994
1738580879,985.47,976.60,4015
1738580939,985.46,976.85,4020
1738580997,985.46,976.85,4020
1738581059,985.22,975.40,4121
1738581119,985.22,975.90,4122
1738581179,985.11,973.30,4162
1738581238,984.83,975.95,4284
1738581298,984.83,975.95,4284
1738581359,984.83,975.95,4284
1738581418,984.83,975.95,4284
1738581476,984.83,975.95,4285
1738581536,984.81,976.00,4295
1738581599,984.61,978.35,4395
1738581659,984.61,978.35,4395
1738581718,984.52,981.45,4523
1738581779,984.52,983.95,4524
1738581839,984.52,983.95,4524
1738581898,984.55,985.00,4763
1738581959,984.55,985.00,4763
1738582019,984.55,985.00,4763
1738582079,984.55,985.55,4780
1738582139,984.54,985.55,4899
1738582196,984.54,984.55,4901
1738582258,984.54,984.85,4923
1738582316,984.54,984.85,4923
1738582379,984.54,985.50,4924
1738582439,984.54,985.50,4924
1738582498,984.54,985.50,4924
1738582558,984.54,984.65,4934
1738582619,984.54,984.65,4934
1738582679,984.54,984.95,4939
1738582739,984.54,984.40,4972
1738582796,984.54,984.40,4972
1738582859,984.54,984.40,4972
1738582918,984.54,984.40,4972
1738582978,984.54,984.75,4984
1738583039,984.54,984.90,4990
1738583099,984.54,984.90,4990
1738583157,984.54,984.90,4990
1738583218,984.54,984.90,4990
1738583278,984.54,984.90,4990
1738583338,984.54,984.90,4990
1738583399,984.54,984.90,4990
1738583458,984.54,984.90,4990
1738583519,984.54,984.90,4990
1738583578,984.54,982.15,4992
1738583638,984.54,982.15,4992
1738583699,984.54,982.15,4992
1738583758,984.54,982.15,4992
1738583819,984.53,982.15,4997
1738583879,984.53,982.15,4997
1738583937,984.53,982.15,4997
1738583999,984.53,982.15,4997
1738584058,984.53,982.15,4997
1738584119,984.53,982.35,4999
1738584179,984.53,982.35,4999
1738584238,984.53,982.35,4999
1738584299,984.53,982.35,4999
1738584359,984.53,982.35,4999
1738584419,984.53,982.35,4999
1738584479,984.53,982.35,4999
1738584539,984.54,984.75,5099
1738584598,984.54,984.75,5099
1738584659,984.54,984.75,5099
1738584719,984.54,984.75,5099
1738584779,984.54,984.75,5099
1738584836,984.54,984.75,5099
1738584899,984.54,984.75,5102
1738584959,984.54,984.75,5102
1738585019,984.54,984.75,5102
1738585079,984.54,984.75,5102
1738585139,984.54,984.75,5102
1738585199,984.54,984.75,5102
1738585259,984.54,984.75,5102
1738585318,984.54,984.75,5102
1738585379,984.54,984.75,5102
1738585437,984.54,983.90,5106
1738585499,984.54,983.90,5106
1738585559,984.54,983.90,5106
1738585618,984.54,983.90,5106
1738585679,984.54,983.90,5106
1738585736,984.54,983.90,5106
1738585799,984.54,984.70,5107
1738585858,984.54,984.70,5107
1738585919,984.54,984.70,5107
1738585978,984.54,984.70,5107
1738586039,984.54,984.70,5107
1738586099,984.54,984.70,5107
1738586158,984.54,984.70,5107
1738586218,984.54,984.70,5107
1738586279,984.53,983.30,5123
1738586339,984.53,984.95,5127
1738586399,984.53,984.95,5127
1738586458,984.53,984.95,5127
1738586519,984.53,984.95,5127
1738586576,984.53,984.95,5127
1738586636,984.53,984.95,5127
1738586699,984.53,984.95,5127
1738586758,984.53,984.95,5135
1738586819,984.53,984.95,5135
1738586878,984.53,984.70,5140
1738586939,984.53,984.70,5140
1738586997,984.53,984.70,5143
1738587056,984.53,984.70,5147
1738587118,984.53,984.95,5151
1738587179,984.53,984.95,5151
1738587239,984.53,985.00,5153
1738587299,984.53,985.00,5153
1738587359,984.53,985.00,5153
1738587416,984.53,985.00,5153
1738587477,984.53,985.00,5153
1738587539,984.53,985.00,5156
1738587598,984.53,985.00,5156
1738587657,984.53,984.75,5157
1738587719,984.53,984.75,5157
1738587778,984.53,984.75,5157
1738587839,984.57,984.95,5582
1738587898,984.57,984.95,5588
1738587958,984.57,984.95,5590
1738588019,984.57,984.70,5591
1738588079,984.57,984.70,5593
1738588136,984.57,984.70,5593
1738588197,984.57,984.70,5593
1738588259,984.57,984.70,5593
1738588316,984.57,984.70,5593
1738588378,984.57,984.70,5593
1738588438,984.57,984.70,5593
1738588498,984.57,984.70,5593
1738588559,984.57,984.70,5593
1738588618,984.57,984.70,5593
1738588679,984.57,984.70,5593
1738588739,984.57,984.70,5593
1738588799,984.57,984.70,5593
1738588858,984.57,984.70,5593
1738588917,984.57,984.70,5593
1738588979,984.57,984.70,5593
1738589036,984.57,984.70,5593
1738589098,984.57,984.70,5593
1738589159,984.57,984.70,5593
1738589218,984.57,984.70,5593
1738589279,984.57,984.70,5593
1738589339,984.57,985.00,5594
1738589399,984.57,985.00,5594
1738589458,984.57,985.00,5595
1738589517,984.57,985.00,5595
1738589579,984.57,985.00,5595
1738589638,984.57,985.00,5595
1738589698,984.57,985.00,5595
1738589758,984.57,985.00,5595
1738589818,984.57,985.00,5595
1738589879,984.57,985.00,5595
1738589938,984.57,985.00,5595
1738589999,984.57,985.00,5597
1738590056,984.57,985.00,5597
1738590118,984.57,985.00,5607
1738590179,984.57,985.00,5607
1738590238,984.57,985.00,5607
1738590298,984.57,985.00,5607
1738590359,984.57,985.00,5607
1738590419,984.57,985.00,5607
1738590477,984.57,985.00,5607
1738590539,984.57,985.00,5607
1738590597,984.57,985.00,5607
1738590659,984.57,985.00,5607
1738590719,984.57,985.00,5607
1738590779,984.57,985.00,5607
1738590837,984.57,985.00,5607
1738590899,984.57,985.00,5607
1738590958,984.57,984.95,5610
1738591017,984.57,984.95,5610
1738591078,984.57,984.95,5610
1738591138,984.57,984.95,5610
1738591199,984.57,984.95,5610
1738591256,984.57,984.95,5610
1738591319,984.57,984.75,5618
1738591377,984.57,984.75,5618
1738591436,984.57,984.75,5618
1738591499,984.57,984.75,5618
1738591557,984.57,984.75,5618
1738591618,984.58,985.40,5708
1738591679,984.58,984.75,5712
1738591739,984.58,984.35,5713
1738591798,984.58,984.35,5713
1738591858,984.58,984.95,5717
1738591919,984.58,984.95,5717
1738591979,984.58,985.00,5719
1738592038,984.58,985.00,5719
1738592098,984.58,985.00,5719
1738592159,984.58,985.00,5719
1738592219,984.58,984.95,5721
1738592279,984.58,984.95,5721
1738592339,984.58,985.00,5771
1738592397,984.59,985.00,5821
1738592459,984.59,985.00,5821
1738592519,984.59,985.00,5821
1738592579,984.59,985.00,5821
1738592636,984.59,985.00,5821
1738592698,984.59,985.00,5821
1738592759,984.59,985.00,5821
1738592817,984.59,985.00,5821
1738592879,984.59,984.90,5825
1738592939,984.59,984.75,5831
1738592997,984.59,984.85,5834
1738593059,984.59,984.90,5842
1738593118,984.59,984.90,5846
1738593179,984.59,984.75,5852
1738593239,984.59,984.75,5852
1738593298,984.59,984.75,5852
1738593359,984.59,984.90,5856
1738593418,984.59,984.90,5862
1738593478,984.59,984.90,5872
1738593539,984.59,985.00,5902
1738593599,984.59,985.00,5902
1738593659,984.59,985.00,5919
1738593718,984.59,985.00,5919
1738593778,984.59,984.90,5922
1738593838,984.59,984.90,5940
1738593899,984.59,984.90,5945
1738593957,984.60,985.00,5988
1738594018,984.71,990.15,6253
1738594079,984.71,990.15,6253
1738594139,984.71,987.80,6263
1738594198,984.71,987.80,6263
1738594257,984.72,986.00,6292
1738594319,984.73,986.00,6326
1738594379,984.73,985.00,6512
1738594437,984.73,985.00,6512
1738594499,984.73,985.00,6512
1738594559,984.73,985.00,6519
1738594619,984.73,984.95,6521
1738594678,984.73,984.95,6521
1738594739,984.73,984.95,6521
1738594799,984.73,984.95,6521
1738594859,984.74,985.00,6601
1738594919,984.75,985.50,6683
1738594979,984.75,985.00,6831
1738595039,984.75,985.00,6950
1738595099,984.75,985.00,6950
1738595159,984.75,985.00,6950
1738595219,984.75,985.00,6951
1738595279,984.75,983.95,6960
1738595339,984.75,985.00,6984
1738595398,984.76,985.00,7028
1738595459,984.76,985.00,7143
1738595519,984.76,985.00,7154
1738595579,984.76,985.00,7154
1738595638,984.76,985.00,7166
1738595698,984.76,985.00,7166
1738595759,984.76,985.00,7183
1738595818,984.76,985.00,7183
1738595879,984.66,982.15,7533
1738595939,984.66,981.10,7538
1738595999,984.66,981.10,7538
1738596059,984.66,985.00,7548
1738596119,984.65,985.00,7601
1738596179,984.65,985.00,7601
1738596239,984.65,985.00,7601
1738596298,984.66,984.95,7619
1738596359,984.66,984.95,7619
1738596418,984.68,985.00,7857
1738596479,984.68,985.00,7857
1738596539,984.68,985.00,7857
1738596599,984.68,981.10,7861
1738596602,984.68,981.10,7861
1738596676,984.68,981.10,7861
1738597202,984.68,981.10,7861
1738597412,984.68,981.10,7861
1738597676,984.68,984.40,7862
1738597962,984.68,984.40,7862
1738598401,984.68,984.40,7862
1738598486,984.68,984.40,7862
1738574159,996.60,986.00,474
1738574219,996.50,986.85,479
1738574278,996.46,987.10,481
1738574339,996.46,987.10,481
1738574399,996.46,987.10,481
1738574459,995.11,981.85,530
1738574516,994.09,982.60,573
1738574577,991.53,984.05,794
1738574639,991.53,984.05,794
1738574696,991.53,984.05,794
1738574759,989.52,985.50,1125
1738574818,988.66,985.95,1436
1738574879,988.66,985.95,1436
1738574939,988.66,985.95,1436
1738574998,988.01,986.00,1905
1738575058,987.76,985.00,2150
1738575118,987.76,985.00,2150
1738575179,987.73,983.50,2170
1738575239,987.73,983.50,2170
1738575299,987.73,983.50,2170
1738575359,987.73,983.50,2170
1738575419,987.40,985.00,2430
1738575478,986.86,984.45,3194
1738575537,986.86,984.45,3194
1738575597,986.65,981.00,3318
1738575659,986.62,978.50,3330
1738575718,986.61,982.35,3340
1738575776,986.61,982.35,3340
1738575835,986.61,982.35,3340
1738575899,986.61,982.35,3340
1738575959,986.53,982.45,3410
1738576016,986.52,982.40,3419
1738576079,986.52,982.40,3419
1738576139,986.52,982.40,3419
1738576199,986.52,982.40,3419
1738576259,986.52,982.40,3419
1738576318,986.51,981.10,3421
1738576379,986.48,981.65,3444
1738576437,986.48,981.65,3444
1738576499,986.48,981.65,3444
1738576558,986.48,981.65,3444
1738576616,986.26,981.65,3598
1738576679,986.21,980.00,3625
1738576739,986.20,978.00,3630
1738576799,986.15,977.65,3651
1738576859,986.15,977.65,3651
1738576919,986.14,978.55,3656
1738576979,986.14,978.55,3656
1738577039,986.12,977.25,3668
1738577098,985.94,976.85,3740
1738577159,985.94,976.85,3740
1738577219,985.94,976.85,3740
1738577278,985.94,976.85,3740
1738577337,985.94,976.85,3740
1738577399,985.93,976.85,3744
1738577459,985.92,977.45,3745
1738577519,985.92,977.45,3745
1738577578,985.92,979.95,3746
1738577639,985.92,979.95,3746
1738577699,985.92,980.65,3750
1738577759,985.92,980.65,3750
1738577819,985.92,980.65,3750
1738577878,985.92,980.65,3750
1738577939,985.86,979.25,3785
1738577997,985.86,979.25,3785
1738578058,985.86,979.25,3785
1738578119,985.86,979.25,3785
1738578178,985.79,980.05,3831
1738578239,985.78,980.05,3838
1738578297,985.78,980.05,3838
1738578358,985.77,981.40,3840
1738578419,985.77,981.45,3844
1738578479,985.77,981.45,3844
1738578538,985.77,981.45,3844
1738578598,985.76,979.95,3851
1738578659,985.76,979.95,3851
1738578719,985.76,979.95,3851
1738578779,985.76,979.95,3851
1738578839,985.75,979.85,3856
1738578898,985.74,979.70,3865
1738578957,985.74,979.70,3865
1738579018,985.73,979.10,3868
1738579079,985.73,979.10,3870
1738579139,985.73,979.10,3870
1738579195,985.69,979.10,3890
1738579259,985.69,979.10,3890
1738579319,985.69,979.10,3890
1738579379,985.68,979.55,3895
1738579438,985.68,979.55,3895
1738579499,985.68,979.00,3896
1738579558,985.68,979.00,3896
1738579619,985.68,979.00,3896
1738579679,985.68,979.00,3896
1738579739,985.68,979.00,3896
1738579799,985.68,979.00,3896
1738579859,985.68,979.00,3896
1738579919,985.68,979.00,3896
1738579979,985.68,979.00,3896
1738580037,985.68,979.00,3896
1738580098,985.68,979.00,3900
1738580157,985.66,979.00,3912
1738580219,985.60,978.95,3943
1738580279,985.60,978.95,3943
1738580339,985.60,978.35,3945
1738580398,985.59,979.00,3951
1738580458,985.58,979.00,3956
1738580518,985.56,979.00,3964
1738580579,985.56,979.00,3969
1738580639,985.54,979.00,3979
1738580695,985.53,978.95,3984
1738580759,985.51,978.00,3994
1738580815,985.51,978.00,3994
1738580879,985.47,976.60,4015
1738580939,985.46,976.85,4020
1738580997,985.46,976.85,4020
1738581059,985.22,975.40,4121
1738581119,985.22,975.90,4122
1738581179,985.11,973.30,4162
1738581238,984.83,975.95,4284
1738581298,984.83,975.95,4284
1738581359,984.83,975.95,4284
1738581418,984.83,975.95,4284
1738581476,984.83,975.95,4285
1738581536,984.81,976.00,4295
1738581599,984.61,978.35,4395
1738581659,984.61,978.35,4395
1738581718,984.52,981.45,4523
1738581779,984.52,983.95,4524
1738581839,984.52,983.95,4524
1738581898,984.55,985.00,4763
1738581959,984.55,985.00,4763
1738582019,984.55,985.00,4763
1738582079,984.55,985.55,4780
1738582139,984.54,985.55,4899
1738582196,984.54,984.55,4901
1738582258,984.54,984.85,4923
1738582316,984.54,984.85,4923
1738582379,984.54,985.50,4924
1738582439,984.54,985.50,4924
1738582498,984.54,985.50,4924
1738582558,984.54,984.65,4934
1738582619,984.54,984.65,4934
1738582679,984.54,984.95,4939
1738582739,984.54,984.40,4972
1738582796,984.54,984.40,4972
1738582859,984.54,984.40,4972
1738582918,984.54,984.40,4972
1738582978,984.54,984.75,4984
1738583039,984.54,984.90,4990
1738583099,984.54,984.90,4990
1738583157,984.54,984.90,4990
1738583218,984.54,984.90,4990
1738583278,984.54,984.90,4990
1738583338,984.54,984.90,4990
1738583399,984.54,984.90,4990
1738583458,984.54,984.90,4990
1738583519,984.54,984.90,4990
1738583578,984.54,982.15,4992
1738583638,984.54,982.15,4992
1738583699,984.54,982.15,4992
1738583758,984.54,982.15,4992
1738583819,984.53,982.15,4997
1738583879,984.53,982.15,4997
1738583937,984.53,982.15,4997
1738583999,984.53,982.15,4997
1738584058,984.53,982.15,4997
1738584119,984.53,982.35,4999
1738584179,984.53,982.35,4999
1738584238,984.53,982.35,4999
1738584299,984.53,982.35,4999
1738584359,984.53,982.35,4999
1738584419,984.53,982.35,4999
1738584479,984.53,982.35,4999
1738584539,984.54,984.75,5099
1738584598,984.54,984.75,5099
1738584659,984.54,984.75,5099
1738584719,984.54,984.75,5099
1738584779,984.54,984.75,5099
1738584836,984.54,984.75,5099
1738584899,984.54,984.75,5102
1738584959,984.54,984.75,5102
1738585019,984.54,984.75,5102
1738585079,984.54,984.75,5102
1738585139,984.54,984.75,5102
1738585199,984.54,984.75,5102
1738585259,984.54,984.75,5102
1738585318,984.54,984.75,5102
1738585379,984.54,984.75,5102
1738585437,984.54,983.90,5106
1738585499,984.54,983.90,5106
1738585559,984.54,983.90,5106
1738585618,984.54,983.90,5106
1738585679,984.54,983.90,5106
1738585736,984.54,983.90,5106
1738585799,984.54,984.70,5107
1738585858,984.54,984.70,5107
1738585919,984.54,984.70,5107
1738585978,984.54,984.70,5107
1738586039,984.54,984.70,5107
1738586099,984.54,984.70,5107
1738586158,984.54,984.70,5107
1738586218,984.54,984.70,5107
1738586279,984.53,983.30,5123
1738586339,984.53,984.95,5127
1738586399,984.53,984.95,5127
1738586458,984.53,984.95,5127
1738586519,984.53,984.95,5127
1738586576,984.53,984.95,5127
1738586636,984.53,984.95,5127
1738586699,984.53,984.95,5127
1738586758,984.53,984.95,5135
1738586819,984.53,984.95,5135
1738586878,984.53,984.70,5140
1738586939,984.53,984.70,5140
1738586997,984.53,984.70,5143
1738587056,984.53,984.70,5147
1738587118,984.53,984.95,5151
1738587179,984.53,984.95,5151
1738587239,984.53,985.00,5153
1738587299,984.53,985.00,5153
1738587359,984.53,985.00,5153
1738587416,984.53,985.00,5153
1738587477,984.53,985.00,5153
1738587539,984.53,985.00,5156
1738587598,984.53,985.00,5156
1738587657,984.53,984.75,5157
1738587719,984.53,984.75,5157
1738587778,984.53,984.75,5157
1738587839,984.57,984.95,5582
1738587898,984.57,984.95,5588
1738587958,984.57,984.95,5590
1738588019,984.57,984.70,5591
1738588079,984.57,984.70,5593
1738588136,984.57,984.70,5593
1738588197,984.57,984.70,5593
1738588259,984.57,984.70,5593
1738588316,984.57,984.70,5593
1738588378,984.57,984.70,5593
1738588438,984.57,984.70,5593
1738588498,984.57,984.70,5593
1738588559,984.57,984.70,5593
1738588618,984.57,984.70,5593
1738588679,984.57,984.70,5593
1738588739,984.57,984.70,5593
1738588799,984.57,984.70,5593
1738588858,984.57,984.70,5593
1738588917,984.57,984.70,5593
1738588979,984.57,984.70,5593
1738589036,984.57,984.70,5593
1738589098,984.57,984.70,5593
1738589159,984.57,984.70,5593
1738589218,984.57,984.70,5593
1738589279,984.57,984.70,5593
1738589339,984.57,985.00,5594
1738589399,984.57,985.00,5594
1738589458,984.57,985.00,5595
1738589517,984.57,985.00,5595
1738589579,984.57,985.00,5595
1738589638,984.57,985.00,5595
1738589698,984.57,985.00,5595
1738589758,984.57,985.00,5595
1738589818,984.57,985.00,5595
1738589879,984.57,985.00,5595
1738589938,984.57,985.00,5595
1738589999,984.57,985.00,5597
1738590056,984.57,985.00,5597
1738590118,984.57,985.00,5607
1738590179,984.57,985.00,5607
1738590238,984.57,985.00,5607
1738590298,984.57,985.00,5607
1738590359,984.57,985.00,5607
1738590419,984.57,985.00,5607
1738590477,984.57,985.00,5607
1738590539,984.57,985.00,5607
1738590597,984.57,985.00,5607
1738590659,984.57,985.00,5607
1738590719,984.57,985.00,5607
1738590779,984.57,985.00,5607
1738590837,984.57,985.00,5607
1738590899,984.57,985.00,5607
1738590958,984.57,984.95,5610
1738591017,984.57,984.95,5610
1738591078,984.57,984.95,5610
1738591138,984.57,984.95,5610
1738591199,984.57,984.95,5610
1738591256,984.57,984.95,5610
1738591319,984.57,984.75,5618
1738591377,984.57,984.75,5618
1738591436,984.57,984.75,5618
1738591499,984.57,984.75,5618
1738591557,984.57,984.75,5618
1738591618,984.58,985.40,5708
1738591679,984.58,984.75,5712
1738591739,984.58,984.35,5713
1738591798,984.58,984.35,5713
1738591858,984.58,984.95,5717
1738591919,984.58,984.95,5717
1738591979,984.58,985.00,5719
1738592038,984.58,985.00,5719
1738592098,984.58,985.00,5719
1738592159,984.58,985.00,5719
1738592219,984.58,984.95,5721
1738592279,984.58,984.95,5721
1738592339,984.58,985.00,5771
1738592397,984.59,985.00,5821
1738592459,984.59,985.00,5821
1738592519,984.59,985.00,5821
1738592579,984.59,985.00,5821
1738592636,984.59,985.00,5821
1738592698,984.59,985.00,5821
1738592759,984.59,985.00,5821
1738592817,984.59,985.00,5821
1738592879,984.59,984.90,5825
1738592939,984.59,984.75,5831
1738592997,984.59,984.85,5834
1738593059,984.59,984.90,5842
1738593118,984.59,984.90,5846
1738593179,984.59,984.75,5852
1738593239,984.59,984.75,5852
1738593298,984.59,984.75,5852
1738593359,984.59,984.90,5856
1738593418,984.59,984.90,5862
1738593478,984.59,984.90,5872
1738593539,984.59,985.00,5902
1738593599,984.59,985.00,5902
1738593659,984.59,985.00,5919
1738593718,984.59,985.00,5919
1738593778,984.59,984.90,5922
1738593838,984.59,984.90,5940
1738593899,984.59,984.90,5945
1738593957,984.60,985.00,5988
1738594018,984.71,990.15,6253
1738594079,984.71,990.15,6253
1738594139,984.71,987.80,6263
1738594198,984.71,987.80,6263
1738594257,984.72,986.00,6292
1738594319,984.73,986.00,6326
1738594379,984.73,985.00,6512
1738594437,984.73,985.00,6512
1738594499,984.73,985.00,6512
1738594559,984.73,985.00,6519
1738594619,984.73,984.95,6521
1738594678,984.73,984.95,6521
1738594739,984.73,984.95,6521
1738594799,984.73,984.95,6521
1738594859,984.74,985.00,6601
1738594919,984.75,985.50,6683
1738594979,984.75,985.00,6831
1738595039,984.75,985.00,6950
1738595099,984.75,985.00,6950
1738595159,984.75,985.00,6950
1738595219,984.75,985.00,6951
1738595279,984.75,983.95,6960
1738595339,984.75,985.00,6984
1738595398,984.76,985.00,7028
1738595459,984.76,985.00,7143
1738595519,984.76,985.00,7154
1738595579,984.76,985.00,7154
1738595638,984.76,985.00,7166
1738595698,984.76,985.00,7166
1738595759,984.76,985.00,7183
1738595818,984.76,985.00,7183
1738595879,984.66,982.15,7533
1738595939,984.66,981.10,7538
1738595999,984.66,981.10,7538
1738596059,984.66,985.00,7548
1738596119,984.65,985.00,7601
1738596179,984.65,985.00,7601
1738596239,984.65,985.00,7601
1738596298,984.66,984.95,7619
1738596359,984.66,984.95,7619
1738596418,984.68,985.00,7857
1738596479,984.68,985.00,7857
1738596539,984.68,985.00,7857
1738596599,984.68,981.10,7861
1738596602,984.68,981.10,7861
1738596676,984.68,981.10,7861
1738597202,984.68,981.10,7861
1738597412,984.68,981.10,7861
1738597676,984.68,984.40,7862
1738597962,984.68,984.40,7862
1738598401,984.68,984.40,7862
1738598486,984.68,984.40,7862
1738574159,996.60,986.00,474
1738574219,996.50,986.85,479
1738574278,996.46,987.10,481
1738574339,996.46,987.10,481
1738574399,996.46,987.10,481
1738574459,995.11,981.85,530
1738574516,994.09,982.60,573
1738574577,991.53,984.05,794
1738574639,991.53,984.05,794
1738574696,991.53,984.05,794
1738574759,989.52,985.50,1125
1738574818,988.66,985.95,1436
1738574879,988.66,985.95,1436
1738574939,988.66,985.95,1436
1738574998,988.01,986.00,1905
1738575058,987.76,985.00,2150
1738575118,987.76,985.00,2150
1738575179,987.73,983.50,2170
1738575239,987.73,983.50,2170
1738575299,987.73,983.50,2170
1738575359,987.73,983.50,2170
1738575419,987.40,985.00,2430
1738575478,986.86,984.45,3194
1738575537,986.86,984.45,3194
1738575597,986.65,981.00,3318
1738575659,986.62,978.50,3330
1738575718,986.61,982.35,3340
1738575776,986.61,982.35,3340
1738575835,986.61,982.35,3340
1738575899,986.61,982.35,3340
1738575959,986.53,982.45,3410
1738576016,986.52,982.40,3419
1738576079,986.52,982.40,3419
1738576139,986.52,982.40,3419
1738576199,986.52,982.40,3419
1738576259,986.52,982.40,3419
1738576318,986.51,981.10,3421
1738576379,986.48,981.65,3444
1738576437,986.48,981.65,3444
1738576499,986.48,981.65,3444
1738576558,986.48,981.65,3444
1738576616,986.26,981.65,3598
1738576679,986.21,980.00,3625
1738576739,986.20,978.00,3630
1738576799,986.15,977.65,3651
1738576859,986.15,977.65,3651
1738576919,986.14,978.55,3656
1738576979,986.14,978.55,3656
1738577039,986.12,977.25,3668
1738577098,985.94,976.85,3740
1738577159,985.94,976.85,3740
1738577219,985.94,976.85,3740
1738577278,985.94,976.85,3740
1738577337,985.94,976.85,3740
1738577399,985.93,976.85,3744
1738577459,985.92,977.45,3745
1738577519,985.92,977.45,3745
1738577578,985.92,979.95,3746
1738577639,985.92,979.95,3746
1738577699,985.92,980.65,3750
1738577759,985.92,980.65,3750
1738577819,985.92,980.65,3750
1738577878,985.92,980.65,3750
1738577939,985.86,979.25,3785
1738577997,985.86,979.25,3785
1738578058,985.86,979.25,3785
1738578119,985.86,979.25,3785
1738578178,985.79,980.05,3831
1738578239,985.78,980.05,3838
1738578297,985.78,980.05,3838
1738578358,985.77,981.40,3840
1738578419,985.77,981.45,3844
1738578479,985.77,981.45,3844
1738578538,985.77,981.45,3844
1738578598,985.76,979.95,3851
1738578659,985.76,979.95,3851
