t,ap,cp,v
1738573634,613.20,613.20,582
1738573682,613.20,613.20,582
1738573740,613.20,613.20,582
1738574159,613.73,611.40,2700
1738574219,613.92,618.95,4174
1738574279,615.12,618.80,5534
1738574339,616.25,622.50,6626
1738574399,616.91,623.60,7275
1738574459,618.30,626.50,8664
1738574519,619.09,626.80,9511
1738574578,619.42,629.60,9888
1738574639,619.86,628.75,10364
1738574699,619.99,628.70,10514
1738574759,620.69,627.10,11485
1738574819,620.87,626.90,11800
1738574879,620.96,627.75,11997
1738574939,621.31,624.70,12974
1738574999,621.38,625.35,13233
1738575059,621.40,625.15,13301
1738575119,621.46,625.55,13502
1738575179,621.53,624.75,13706
1738575239,621.67,623.70,14668
1738575299,621.71,622.75,15150
1738575359,621.71,619.75,15308
1738575419,621.68,619.10,15580
1738575479,621.61,619.05,16035
1738575539,621.52,618.60,16587
1738575599,621.49,619.10,16874
1738575659,621.47,619.10,16997
1738575719,621.44,618.10,17135
1738575779,621.40,617.00,17328
1738575839,621.38,616.45,17398
1738575899,621.35,616.00,17504
1738575959,621.28,617.15,17760
1738576019,621.26,617.40,17841
1738576079,621.20,616.35,18051
1738576139,621.18,615.45,18141
1738576199,621.17,614.60,18153
1738576259,621.15,615.00,18213
1738576319,621.15,613.70,18230
1738576379,621.08,613.25,18381
1738576439,621.06,613.75,18433
1738576499,621.06,614.95,18439
1738576559,621.06,614.10,18444
1738576619,621.06,615.25,18446
1738576679,621.05,615.00,18471
1738576739,620.68,616.30,19958
1738576799,620.68,616.30,19958
1738576859,620.66,616.25,20059
1738576919,620.66,615.50,20067
1738576979,620.66,615.50,20067
1738577039,620.65,616.00,20082
1738577099,620.65,615.50,20098
1738577159,620.64,615.85,20123
1738577219,620.63,615.00,20178
1738577279,620.63,615.00,20178
1738577339,620.56,614.00,20403
1738577399,620.55,614.75,20410
1738577459,620.55,614.85,20415
1738577519,620.55,614.85,20415
1738577579,620.55,614.85,20418
1738577639,620.52,614.70,20537
1738577698,620.50,614.45,20587
1738577759,620.50,614.05,20591
1738577819,620.39,615.90,21047
1738577879,620.38,614.80,21069
1738577939,620.38,614.45,21076
1738577999,620.38,615.25,21091
1738578059,620.35,616.40,21228
1738578119,620.35,616.40,21228
1738578179,620.35,616.40,21228
1738578239,620.35,618.45,21240
1738578299,620.34,617.50,21250
1738578359,620.34,617.15,21256
1738578419,620.34,617.15,21256
1738578479,620.34,617.15,21266
1738578539,620.34,617.15,21266
1738578599,620.34,617.15,21266
1738578659,620.34,617.15,21266
1738578719,620.31,619.50,21715
1738578779,620.31,619.50,21715
1738578839,620.31,619.30,21721
1738578899,620.31,620.90,21723
1738578959,620.32,620.05,21830
1738579019,620.32,620.60,21832
1738579079,620.32,619.70,21842
1738579139,620.32,620.35,21843
1738579199,620.32,620.35,21843
1738579259,620.31,619.15,21902
1738579319,620.31,620.05,21956
1738579379,620.31,620.20,21984
1738579439,620.31,620.95,22071
1738579499,620.31,620.50,22094
1738579559,620.31,621.20,22164
1738579618,620.32,622.90,22215
1738579678,620.32,622.80,22233
1738579739,620.32,622.80,22243
1738579799,620.32,622.80,22243
1738579859,620.33,622.80,22293
1738579919,620.33,622.80,22293
1738579979,620.36,623.05,22603
1738580039,620.37,623.00,22649
1738580099,620.37,623.45,22660
1738580159,620.37,623.45,22660
1738580219,620.37,624.00,22670
1738580279,620.37,623.90,22676
1738580338,620.38,623.25,22755
1738580399,620.40,624.95,22823
1738580459,620.42,626.30,22953
1738580519,620.42,626.45,22959
1738580578,620.43,626.65,22982
1738580639,620.45,626.00,23061
1738580699,620.46,626.10,23122
1738580759,620.49,626.20,23222
1738580819,620.50,627.00,23277
1738580879,620.51,627.45,23287
1738580939,620.51,626.65,23294
1738580999,620.52,626.70,23334
1738581059,620.52,626.70,23334
1738581119,620.53,626.60,23361
1738581179,620.53,626.25,23396
1738581239,620.53,626.25,23396
1738581299,620.53,626.25,23396
1738581359,620.53,626.25,23396
1738581419,620.63,627.40,23723
1738581479,620.63,628.00,23726
1738581539,620.67,628.15,23851
1738581598,620.67,627.60,23857
1738581658,620.82,627.65,24359
1738581719,620.83,627.35,24409
1738581779,620.83,628.50,24413
1738581839,620.84,627.40,24463
1738581899,620.85,627.30,24469
1738581959,620.85,627.30,24469
1738582019,620.85,626.40,24484
1738582079,620.85,626.80,24487
1738582139,620.85,626.80,24487
1738582199,620.85,626.05,24492
1738582259,620.85,626.05,24492
1738582319,620.89,623.85,24713
1738582379,620.89,623.85,24713
1738582439,620.89,623.85,24713
1738582499,620.93,625.00,24962
1738582559,620.94,625.00,25018
1738582619,620.94,624.60,25028
1738582678,620.94,624.60,25028
1738582739,620.94,623.95,25036
1738582799,621.00,622.80,25856
1738582859,621.01,621.70,26037
1738582919,621.01,621.05,26134
1738582979,621.01,622.15,26227
1738583039,621.01,622.15,26227
1738583099,621.01,621.90,26297
1738583159,621.01,621.90,26297
1738583219,621.02,622.30,26306
1738583279,621.02,622.30,26306
1738583339,621.02,622.90,26309
1738583399,621.02,622.90,26309
1738583459,621.02,622.90,26309
1738583518,621.02,622.90,26309
1738583579,621.02,622.30,26312
1738583639,621.02,622.40,26317
1738583699,621.02,621.70,26411
1738583759,621.02,621.70,26411
1738583819,621.02,621.70,26411
1738583877,621.02,621.70,26411
1738583938,621.04,621.05,27086
1738583998,621.04,621.05,27086
1738584059,621.04,621.05,27086
1738584119,621.04,621.05,27086
1738584178,621.04,621.05,27086
1738584239,621.04,622.00,27087
1738584299,621.04,622.05,27297
1738584359,621.04,622.05,27297
1738584419,621.07,623.15,27656
1738584479,621.07,622.20,27707
1738584539,621.07,622.40,27712
1738584599,621.07,622.40,27712
1738584659,621.08,622.50,27812
1738584718,621.08,622.50,27812
1738584779,621.08,622.50,27812
1738584837,621.08,622.35,27818
1738584899,621.08,622.35,27818
1738584958,621.08,622.25,27821
1738585019,621.08,621.55,27887
1738585079,621.08,621.90,28001
1738585139,621.08,621.90,28001
1738585199,621.08,621.25,28005
1738585259,621.08,620.80,28109
1738585319,621.08,620.80,28109
1738585379,621.08,620.00,28159
1738585438,621.08,620.20,28169
1738585499,621.08,620.20,28169
1738585559,621.08,620.20,28169
1738585619,621.08,622.05,28243
1738585679,621.08,622.05,28243
1738585739,621.08,620.90,28248
1738585799,621.08,620.90,28248
1738585859,621.08,620.90,28248
1738585919,621.08,620.90,28248
1738585978,621.08,620.85,28280
1738586039,621.08,621.40,28285
1738586099,621.08,621.40,28291
1738586159,621.08,621.40,28291
1738586219,621.08,621.40,28291
1738586279,621.08,621.35,28305
1738586338,621.08,621.35,28305
1738586399,621.08,621.35,28305
1738586458,621.08,621.00,28329
1738586519,621.08,621.00,28329
1738586578,621.08,621.20,28339
1738586639,621.08,622.10,28397
1738586699,621.08,621.00,28408
1738586759,621.08,622.00,28417
1738586819,621.08,622.00,28417
1738586879,621.08,622.00,28417
1738586939,621.08,622.00,28417
1738586999,621.08,622.00,28417
1738587059,621.08,622.00,28417
1738587119,621.08,621.15,28424
1738587178,621.08,621.15,28424
1738587239,621.08,621.15,28424
1738587299,621.11,622.00,30422
1738587358,621.11,622.00,30422
1738587419,621.11,622.10,30428
1738587479,621.11,622.10,30428
1738587539,621.11,622.10,30428
1738587599,621.11,622.10,30428
1738587659,621.11,621.95,30433
1738587719,621.11,621.95,30433
1738587778,621.11,621.95,30433
1738587838,621.11,624.15,30438
1738587899,621.11,624.20,30443
1738587959,621.14,624.15,30693
1738588019,621.14,624.15,30693
1738588079,621.14,625.15,30704
1738588139,621.14,625.15,30713
1738588198,621.14,625.15,30713
1738588259,621.16,625.75,30816
1738588319,621.16,625.60,30866
1738588379,621.19,625.70,31071
1738588439,621.19,625.70,31071
1738588499,621.19,625.70,31071
1738588559,621.28,625.00,31776
1738588619,621.29,624.05,31824
1738588679,621.29,624.05,31824
1738588739,621.29,624.05,31824
1738588799,621.29,625.20,31829
1738588858,621.29,625.00,31838
1738588919,621.29,625.00,31838
1738588979,621.29,624.65,31858
1738589039,621.29,625.50,31859
1738589099,621.29,624.55,31889
1738589159,621.29,624.55,31889
1738589219,621.30,624.60,31921
1738589279,621.30,624.60,31921
1738589339,621.30,624.00,31938
1738589399,621.30,623.60,31965
1738589459,621.30,623.60,32038
1738589519,621.30,623.60,32038
1738589579,621.31,623.00,32059
1738589639,621.31,623.00,32059
1738589698,621.31,623.95,32069
1738589759,621.31,623.95,32069
1738589819,621.31,624.45,32084
1738589879,621.31,624.45,32084
1738589939,621.31,624.45,32084
1738589998,621.31,623.95,32086
1738590059,621.31,623.95,32086
1738590119,621.31,624.30,32091
1738590178,621.31,624.30,32091
1738590239,621.31,623.95,32139
1738590299,621.31,624.60,32151
1738590359,621.31,624.60,32151
1738590419,621.31,624.60,32151
1738590478,621.31,624.60,32151
1738590539,621.31,624.60,32151
1738590599,621.31,624.60,32151
1738590659,621.31,624.60,32151
1738590719,621.32,622.25,32361
1738590779,621.33,622.25,32365
1738590839,621.33,622.25,32365
1738590898,621.33,622.25,32365
1738590959,621.33,621.60,32425
1738591019,621.33,621.60,32425
1738591079,621.33,621.60,32425
1738591139,621.33,621.60,32425
1738591199,621.33,621.60,32425
1738591259,621.33,621.30,32475
1738591319,621.33,621.30,32475
1738591378,621.33,622.40,32487
1738591439,621.33,622.40,32487
1738591499,621.33,622.40,32487
1738591559,621.33,622.85,32490
1738591619,621.33,622.60,32582
1738591679,621.33,622.60,32582
1738591739,621.33,622.60,32583
1738591799,621.33,622.25,32586
1738591858,621.33,622.25,32586
1738591919,621.33,622.25,32586
1738591978,621.33,622.25,32586
1738592039,621.33,622.25,32586
1738592099,621.33,622.75,32591
1738592159,621.33,622.15,32691
1738592219,621.33,622.80,32693
1738592278,621.33,622.70,32708
1738592339,621.33,622.70,32708
1738592399,621.33,622.70,32708
1738592459,621.33,622.70,32708
1738592519,621.33,622.70,32708
1738592579,621.33,622.00,32712
1738592639,621.33,622.00,32732
1738592699,621.33,622.00,32732
1738592759,621.34,622.55,32742
1738592819,621.34,622.55,32742
1738592879,621.33,621.30,32792
1738592939,621.33,621.30,32792
1738592999,621.34,622.05,32802
1738593059,621.34,622.05,32802
1738593119,621.33,620.90,32907
1738593179,621.33,620.90,32907
1738593239,621.33,620.90,32907
1738593299,621.33,620.90,32907
1738593359,621.33,620.90,32907
1738593419,621.33,620.90,32907
1738593479,621.34,621.30,33079
1738593538,621.34,621.30,33079
1738593599,621.34,621.30,33079
1738593659,621.34,622.50,33094
1738593718,621.34,622.50,33094
1738593779,621.34,622.50,33094
1738593839,621.34,622.05,33174
1738593899,621.34,622.05,33174
1738593959,621.34,622.05,33175
1738594019,621.34,622.50,33181
1738594079,621.34,622.05,33182
1738594139,621.34,622.05,33182
1738594199,621.34,622.05,33182
1738594259,621.34,621.70,33183
1738594319,621.34,621.70,33183
1738594379,621.34,621.30,33185
1738594439,621.34,621.30,33185
1738594499,621.34,621.30,33185
1738594559,621.34,621.65,33258
1738594617,621.34,621.65,33258
1738594677,621.34,621.65,33258
1738594739,621.34,621.65,33258
1738594799,621.34,621.65,33258
1738594859,621.34,620.90,33263
1738594919,621.34,620.75,33492
1738594979,621.33,621.00,33560
1738595038,621.33,621.00,33560
1738595099,621.33,621.50,33561
1738595159,621.33,621.95,33565
1738595219,621.34,622.35,33573
1738595279,621.34,622.25,33581
1738595339,621.34,621.60,33617
1738595399,621.34,621.60,33624
1738595459,621.34,622.10,33630
1738595519,621.34,622.00,33636
1738595579,621.34,621.15,33647
1738595639,621.34,622.05,33653
1738595699,621.34,621.55,33686
1738595759,621.35,621.55,34136
1738595819,621.35,621.20,34218
1738595879,621.35,621.00,34223
1738595939,621.34,620.85,34360
1738595999,621.34,620.70,34496
1738596059,621.34,620.70,34499
1738596119,621.34,620.70,34499
1738596179,621.34,620.70,34499
1738596239,621.33,620.70,35128
1738596299,621.33,620.70,35128
1738596359,621.33,621.70,35157
1738596419,621.33,621.20,35207
1738596479,621.33,621.20,35207
1738596539,621.33,620.85,35334
1738596599,621.33,620.80,35357
1738596638,621.33,620.80,35357
1738596683,621.33,620.80,35357
1738596750,621.33,620.80,35357
1738596913,621.33,620.80,35357
1738596977,621.33,620.80,35357
1738597200,621.33,620.80,35357
1738598207,621.33,620.80,35357
1738598221,621.33,620.80,35357
1738598401,621.33,620.80,35357
1738598487,621.33,620.80,35357
t,ap,cp,v
1738573634,613.20,613.20,582
