t,ap,cp,v
1738573635,751.80,751.80,114
1738573696,751.80,751.80,114
1738573740,751.80,751.80,114
1738574159,738.93,739.50,1282
1738574218,738.90,737.00,1394
1738574279,738.22,736.35,1996
1738574339,738.08,737.50,2264
1738574399,738.08,736.10,2449
1738574459,738.01,737.20,2542
1738574519,737.94,736.10,2606
1738574579,737.93,737.65,2650
1738574639,737.91,737.30,2710
1738574699,737.89,736.60,2739
1738574759,737.89,739.00,2766
1738574819,738.14,741.45,3034
1738574879,738.22,740.40,3110
1738574939,738.37,740.40,3320
1738574999,738.39,741.00,3343
1738575059,738.41,739.60,3413
1738575119,738.44,740.75,3482
1738575179,738.48,740.05,3542
1738575239,738.51,739.80,3715
1738575299,738.53,738.70,3776
1738575359,738.53,737.45,3826
1738575419,738.51,736.40,3972
1738575479,737.67,736.80,5473
1738575539,737.63,734.65,5550
1738575599,737.03,732.55,6347
1738575659,736.76,733.20,6748
1738575719,736.74,731.90,6768
1738575779,736.45,733.25,7287
1738575839,736.43,732.10,7325
1738575899,736.40,732.30,7393
1738575959,735.70,731.80,8353
1738576016,735.43,731.30,8870
1738576079,735.31,729.90,9069
1738576139,735.14,729.75,9328
1738576199,735.13,728.50,9351
1738576259,735.09,730.20,9410
1738576319,734.99,729.35,9596
1738576379,734.91,728.50,9740
1738576439,734.61,730.00,10305
1738576499,734.60,729.05,10337
1738576559,734.53,729.30,10461
1738576619,734.46,730.80,10671
1738576679,734.32,729.20,11006
1738576739,734.30,728.00,11035
1738576799,734.29,727.95,11058
1738576859,734.21,727.85,11189
1738576919,734.15,729.15,11292
1738576979,734.15,729.30,11299
1738577039,734.11,728.65,11363
1738577099,734.10,729.40,11383
1738577159,734.05,728.70,11493
1738577219,734.05,728.00,11499
1738577279,734.04,729.25,11512
1738577338,733.99,728.00,11620
1738577399,733.97,728.60,11660
1738577459,733.95,730.85,11702
1738577519,733.95,730.00,11717
1738577579,733.94,730.00,11743
1738577639,733.86,728.15,11924
1738577699,733.84,728.60,11964
1738577759,733.73,727.65,12200
1738577819,733.72,727.20,12225
1738577879,733.72,728.30,12230
1738577939,733.70,728.50,12268
1738577999,733.69,728.55,12304
1738578059,733.64,728.00,12406
1738578119,733.54,729.00,12633
1738578179,733.54,728.75,12635
1738578239,733.54,729.75,12639
1738578299,733.52,728.00,12683
1738578358,733.52,728.70,12693
1738578419,733.51,728.55,12718
1738578478,733.50,727.20,12746
1738578539,733.49,727.00,12753
1738578599,733.40,725.00,12901
1738578659,733.36,725.80,12977
1738578719,733.33,727.05,13019
1738578779,733.26,726.05,13151
1738578839,733.26,726.05,13151
1738578897,733.25,725.95,13169
1738578959,733.22,727.70,13234
1738579019,733.22,727.50,13245
1738579079,733.21,726.75,13255
1738579139,733.21,726.00,13259
1738579199,733.18,725.40,13312
1738579259,733.18,725.40,13312
1738579319,733.18,725.40,13312
1738579379,733.18,725.40,13312
1738579439,733.18,725.40,13312
1738579499,733.09,726.75,13498
1738579559,733.08,727.25,13518
1738579619,733.06,727.80,13573
1738579679,733.06,727.80,13573
1738579739,733.06,727.80,13573
1738579799,733.04,727.75,13628
1738579859,733.03,727.70,13663
1738579919,733.01,727.05,13696
1738579979,732.99,725.10,13738
1738580039,732.99,725.10,13738
1738580099,732.37,725.25,14893
1738580159,732.32,724.00,14981
1738580219,732.32,725.95,14986
1738580279,732.32,726.05,14988
1738580338,732.32,726.05,14988
1738580399,732.31,726.60,15025
1738580457,732.28,727.25,15112
1738580519,732.27,726.95,15122
1738580579,732.26,726.05,15163
1738580639,732.26,726.05,15163
1738580699,732.25,726.40,15166
1738580759,732.23,726.05,15222
1738580819,732.21,726.55,15283
1738580878,732.21,726.55,15283
1738580939,732.21,727.25,15293
1738580999,732.21,727.25,15293
1738581059,732.20,727.25,15296
1738581119,732.20,727.25,15296
1738581179,732.13,728.65,15606
1738581239,732.12,728.00,15626
1738581299,732.09,728.05,15744
1738581359,732.09,728.75,15748
1738581419,732.08,730.00,15861
1738581479,732.05,731.65,16187
1738581539,732.02,730.55,16534
1738581599,732.02,730.55,16534
1738581659,732.02,730.55,16534
1738581718,732.02,730.10,16564
1738581779,732.02,729.65,16595
1738581839,732.02,729.65,16595
1738581899,732.02,728.60,16596
1738581959,732.01,727.80,16604
1738582019,732.01,727.25,16615
1738582079,731.98,726.25,16705
1738582139,731.89,724.50,16947
1738582198,731.72,724.45,17297
1738582259,731.72,724.45,17297
1738582319,731.72,724.65,17303
1738582379,731.69,725.05,17390
1738582439,731.68,724.10,17400
1738582499,731.68,724.10,17411
1738582559,731.68,723.00,17417
1738582619,731.60,722.35,17556
1738582679,731.60,722.35,17556
1738582739,731.57,722.30,17621
1738582799,731.54,721.00,17672
1738582859,731.45,720.10,17806
1738582919,731.45,720.10,17806
1738582979,731.11,719.85,18344
1738583039,731.11,719.85,18344
1738583099,731.10,721.35,18359
1738583159,731.09,722.50,18386
1738583219,731.08,722.80,18392
1738583279,731.08,723.35,18394
1738583339,731.08,724.05,18401
1738583399,731.07,723.60,18440
1738583459,731.07,723.60,18440
1738583519,731.07,724.00,18441
1738583579,731.01,722.50,18566
1738583639,731.00,722.50,18586
1738583699,731.00,722.50,18591
1738583759,730.99,723.00,18616
1738583819,730.99,723.00,18621
1738583879,730.97,722.60,18651
1738583939,730.86,722.50,18889
1738583999,730.86,722.50,18889
1738584059,730.86,722.50,18889
1738584119,730.84,721.05,18921
1738584179,730.84,722.95,18941
1738584239,730.82,721.00,18972
1738584299,730.81,721.00,18995
1738584358,730.81,721.60,18996
1738584419,730.81,721.60,18996
1738584479,730.79,721.00,19021
1738584538,730.72,721.00,19159
1738584599,730.72,721.70,19165
1738584659,730.68,720.70,19236
1738584719,730.68,720.70,19236
1738584779,730.68,722.55,19237
1738584839,730.67,722.55,19259
1738584899,730.67,722.55,19259
1738584959,730.67,722.55,19259
1738585018,730.67,722.55,19259
1738585079,730.65,722.55,19309
1738585138,730.64,722.50,19337
1738585199,730.64,721.70,19345
1738585259,730.63,721.70,19355
1738585319,730.63,721.70,19355
1738585379,730.63,721.70,19355
1738585439,730.63,721.80,19361
1738585499,730.19,718.05,20242
1738585559,730.18,719.50,20267
1738585619,730.18,719.70,20272
1738585679,730.18,719.70,20272
1738585739,730.17,719.40,20285
1738585799,730.17,719.40,20285
1738585859,730.15,719.00,20319
1738585919,730.13,719.00,20359
1738585979,730.13,719.00,20359
1738586039,730.13,719.00,20359
1738586099,730.07,718.80,20461
1738586159,730.07,718.80,20461
1738586218,729.94,717.55,20693
1738586279,729.92,717.50,20719
1738586339,729.35,717.90,21759
1738586399,729.33,717.95,21786
1738586459,729.33,718.60,21788
1738586518,729.32,718.00,21808
1738586579,729.32,718.15,21822
1738586639,729.25,717.00,21939
1738586699,729.23,717.30,21974
1738586759,729.23,717.30,21974
1738586819,729.23,717.80,21984
1738586879,729.03,717.30,22347
1738586939,729.00,717.20,22397
1738586999,728.97,716.00,22454
1738587059,728.81,715.00,22707
1738587119,728.81,715.30,22710
1738587179,728.81,715.30,22710
1738587239,728.81,715.15,22711
1738587299,728.79,715.35,22742
1738587359,728.79,715.35,22742
1738587418,728.71,715.00,22883
1738587479,728.71,716.20,22888
1738587539,728.70,716.25,22893
1738587599,728.70,716.05,22895
1738587659,728.70,716.05,22900
1738587719,728.70,716.55,22904
1738587779,728.69,716.15,22909
1738587839,728.69,718.80,22926
1738587899,728.66,718.80,22981
1738587959,728.66,718.80,22981
1738588019,728.66,718.80,22986
1738588079,728.66,718.20,22991
1738588139,728.66,718.90,22996
1738588198,728.61,720.00,23116
1738588259,728.56,719.00,23260
1738588319,728.54,718.00,23297
1738588379,728.52,718.00,23347
1738588439,728.52,718.00,23347
1738588499,728.52,718.00,23347
1738588559,728.52,718.00,23349
1738588619,728.51,718.75,23359
1738588679,728.51,718.75,23359
1738588739,728.51,718.75,23359
1738588799,728.41,717.00,23569
1738588859,728.34,716.80,23701
1738588918,728.22,717.90,23966
1738588979,728.21,717.00,23989
1738589039,728.21,717.00,23989
1738589099,728.20,717.60,24004
1738589159,728.20,717.00,24008
1738589219,728.09,717.00,24242
1738589279,728.09,717.00,24242
1738589338,728.05,715.80,24326
1738589399,728.04,716.45,24341
1738589459,728.04,716.45,24341
1738589519,728.04,716.50,24342
1738589579,728.04,716.20,24349
1738589639,728.01,715.45,24400
1738589699,727.99,717.60,24444
1738589759,727.99,717.45,24456
1738589818,727.98,718.00,24470
1738589878,727.98,718.00,24470
1738589939,727.98,717.90,24472
1738589999,727.97,718.05,24487
1738590059,727.97,718.05,24498
1738590119,727.97,718.15,24499
1738590179,727.96,718.15,24509
1738590239,727.96,717.30,24510
1738590299,727.96,718.10,24511
1738590359,727.96,718.10,24511
1738590419,727.95,718.60,24551
1738590479,727.94,718.95,24584
1738590539,727.94,718.95,24584
1738590599,727.93,718.75,24590
1738590659,727.90,719.00,24690
1738590719,727.89,718.00,24718
1738590779,727.83,717.70,24845
1738590839,727.83,717.10,24846
1738590899,727.83,716.70,24856
1738590959,727.82,716.60,24871
1738591019,727.82,715.50,24878
1738591079,727.80,715.45,24915
1738591139,727.80,715.70,24918
1738591199,727.63,715.45,25251
1738591259,727.61,715.75,25302
1738591319,727.52,716.45,25498
1738591379,727.52,716.45,25498
1738591439,727.52,716.45,25498
1738591499,727.52,716.45,25498
1738591559,727.52,717.20,25503
1738591619,727.50,718.15,25560
1738591679,727.50,718.35,25561
1738591739,727.50,718.35,25561
1738591799,727.50,718.35,25561
1738591859,727.49,718.35,25564
1738591917,727.49,718.00,25584
1738591979,727.49,718.00,25584
1738592039,727.47,717.90,25621
1738592099,727.47,718.40,25631
1738592159,727.46,718.40,25653
1738592219,727.46,718.40,25653
1738592279,727.45,718.95,25678
1738592339,727.45,718.75,25698
1738592399,727.45,718.50,25699
1738592459,727.45,718.50,25699
1738592519,727.44,717.35,25704
1738592579,727.44,717.90,25711
1738592639,727.44,717.90,25711
1738592699,727.44,717.90,25711
1738592759,727.44,717.90,25711
1738592819,727.42,718.00,25766
1738592879,727.42,718.00,25766
1738592939,727.42,718.75,25781
1738592999,727.42,718.75,25781
1738593059,727.42,718.75,25781
1738593118,727.42,718.75,25781
1738593179,727.42,718.75,25781
1738593238,727.42,718.75,25781
1738593299,727.42,718.75,25781
1738593359,727.40,719.85,25844
1738593419,727.40,719.85,25844
1738593479,727.35,719.95,26000
